time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
24.52,0.0,0.0,1.5,-3.884856797311661e-06,8.247883720104547e-10,1.5000000021504525,7.167323742454494e-11,-1.2732667593745546e-07,-1.140450075768945e-07,14.14464110473554,-14.144641911998772,14.144641132504209,-14.144641937837385,14.144641103712663,-14.14464191373021,14.144641128841377,-14.144641938885476,0.0,0.0,0.0,0.0
24.53,0.0,0.0,1.5,-3.826420794627143e-06,8.284067374116897e-10,1.5000000021348194,7.241300189245962e-11,-1.3302733780566232e-07,-1.1408909057481189e-07,14.144641104652528,-14.144641912207884,14.144641132334565,-14.144641937998951,14.14464110364059,-14.144641913926115,14.144641128712562,-14.144641939035823,0.0,0.0,0.0,0.0
24.54,0.0,0.0,1.5,-3.767984791942645e-06,8.320251028129235e-10,1.5000000021191868,7.315276610907188e-11,-1.387279996738669e-07,-1.1413317357272512e-07,14.14464110456943,-14.144641912416905,14.144641132164832,-14.144641938160431,14.144641103568514,-14.144641914122024,14.14464112858375,-14.144641939186176,0.0,0.0,0.0,0.0
24.55,0.0,0.0,1.5,-3.709548789258125e-06,8.356434682141585e-10,1.5000000021035542,7.38925300743821e-11,-1.4442866154207376e-07,-1.141772565706341e-07,14.144641104486332,-14.144641912625929,14.1446411319951,-14.144641938321914,14.144641103496438,-14.144641914317928,14.144641128454936,-14.144641939336523,0.0,0.0,0.0,0.0
24.56,0.0,0.0,1.5,-3.6511127865736074e-06,8.392618336153935e-10,1.5000000020879216,7.463229378839005e-11,-1.5012932341028065e-07,-1.1422133956853889e-07,14.144641104403233,-14.144641912834947,14.144641131825368,-14.144641938483394,14.144641103424362,-14.144641914513835,14.144641128326125,-14.144641939486876,0.0,0.0,0.0,0.0
24.57,0.0,0.0,1.5,-3.592676783889108e-06,8.428801990166274e-10,1.5000000020722888,7.537205725109548e-11,-1.558299852784855e-07,-1.1426542256643941e-07,14.144641104320222,-14.14464191304406,14.144641131655725,-14.144641938644964,14.144641103352289,-14.144641914709744,14.14464112819731,-14.144641939637223,0.0,0.0,0.0,0.0
24.58,0.0,0.0,1.5,-3.5342407812045894e-06,8.464985644178623e-10,1.5000000020566562,7.61118204624989e-11,-1.615306471466924e-07,-1.1430950556433573e-07,14.144641104237124,-14.144641913253084,14.144641131485995,-14.144641938806444,14.144641103280213,-14.144641914905648,14.144641128068498,-14.144641939787576,0.0,0.0,0.0,0.0
24.59,0.0,0.0,1.5,-3.475804778520091e-06,8.50116929819096e-10,1.5000000020410236,7.685158342259979e-11,-1.6723130901489733e-07,-1.1435358856222785e-07,14.144641104154024,-14.144641913462104,14.14464113131626,-14.144641938967924,14.144641103208135,-14.144641915101555,14.144641127939684,-14.144641939937925,0.0,0.0,0.0,0.0
24.6,0.0,0.0,1.5,-3.417368775835572e-06,8.537352952203312e-10,1.5000000020253907,7.759134613139869e-11,-1.7293197088310432e-07,-1.1439767156011574e-07,14.144641104071011,-14.144641913671212,14.144641131146615,-14.14464193912949,14.14464110313606,-14.144641915297465,14.144641127810871,-14.144641940088276,0.0,0.0,0.0,0.0
24.61,0.0,0.0,1.5,-3.3589327731510737e-06,8.573536606215648e-10,1.500000002009758,7.833110858889504e-11,-1.7863263275130933e-07,-1.1444175455799941e-07,14.144641103987912,-14.144641913880236,14.144641130976884,-14.144641939290972,14.144641103063986,-14.144641915493368,14.14464112768206,-14.144641940238628,0.0,0.0,0.0,0.0
24.62,0.0,0.0,1.5,-3.3004967704665546e-06,8.609720260228e-10,1.5000000019941255,7.907087079508945e-11,-1.8433329461951645e-07,-1.1448583755587893e-07,14.144641103904815,-14.14464191408926,14.144641130807154,-14.144641939452452,14.14464110299191,-14.144641915689276,14.144641127553244,-14.144641940388976,0.0,0.0,0.0,0.0
24.63,0.0,0.0,1.5,-3.242060767782056e-06,8.645903914240336e-10,1.500000001978493,7.981063274998125e-11,-1.9003395648772146e-07,-1.1452992055375412e-07,14.144641103821716,-14.144641914298283,14.144641130637424,-14.144641939613932,14.144641102919834,-14.14464191588518,14.144641127424432,-14.144641940539326,0.0,0.0,0.0,0.0
24.64,0.0,0.0,1.5,-3.1836247650975374e-06,8.682087568252687e-10,1.50000000196286,8.055039445357109e-11,-1.9573461835592858e-07,-1.1457400355162517e-07,14.144641103738705,-14.144641914507392,14.144641130467775,-14.1446419397755,14.14464110284776,-14.144641916081088,14.144641127295618,-14.144641940689676,0.0,0.0,0.0,0.0
24.65,0.0,0.0,1.5,-3.125188762413018e-06,8.718271222265037e-10,1.5000000019472275,8.129015590585869e-11,-2.0143528022413578e-07,-1.1461808654949201e-07,14.144641103655609,-14.144641914716416,14.144641130298048,-14.144641939936982,14.144641102775685,-14.144641916276996,14.144641127166803,-14.144641940840026,0.0,0.0,0.0,0.0
24.66,0.0,0.0,1.5,-3.06675275972852e-06,8.754454876277375e-10,1.5000000019315949,8.202991710684374e-11,-2.071359420923409e-07,-1.1466216954735457e-07,14.144641103572503,-14.144641914925437,14.144641130128312,-14.14464194009846,14.14464110270361,-14.1446419164729,14.144641127037993,-14.144641940990375,0.0,0.0,0.0,0.0
24.67,0.0,0.0,1.5,-3.008316757044001e-06,8.790638530289725e-10,1.500000001915962,8.276967805652678e-11,-2.1283660396054813e-07,-1.1470625254521299e-07,14.144641103489496,-14.144641915134548,14.14464112995867,-14.144641940260028,14.144641102631534,-14.144641916668808,14.144641126909178,-14.144641941140726,0.0,0.0,0.0,0.0
24.68,0.0,0.0,1.5,-2.9498807543595026e-06,8.826822184302064e-10,1.5000000019003294,8.350943875490734e-11,-2.185372658287534e-07,-1.1475033554306709e-07,14.144641103406396,-14.144641915343572,14.14464112978894,-14.144641940421508,14.144641102559458,-14.144641916864714,14.144641126780366,-14.144641941291075,0.0,0.0,0.0,0.0
24.69,0.0,0.0,1.5,-2.9051586508494862e-06,8.845743942833515e-10,1.5000000018877384,8.39568426963643e-11,-2.225387320797433e-07,-1.1479317653850248e-07,14.144641103315402,-14.144641915540989,14.14464112961691,-14.14464194056684,14.144641102477086,-14.144641917051333,14.144641126640249,-14.144641941427658,0.0,0.0,0.0,0.0
24.7,0.0,0.0,1.5,-2.893723692130812e-06,8.822766661060403e-10,1.50000000188253,8.369462245388194e-11,-2.2241581548239825e-07,-1.1483300287605662e-07,14.144641103205208,-14.1446419157102,14.144641129439265,-14.144641940672932,14.144641102369722,-14.144641917215406,14.144641126472692,-14.14464194153082,0.0,0.0,0.0,0.0
24.71,0.0,0.0,1.5,-2.8822887334121336e-06,8.79978937928728e-10,1.500000001877322,8.343240221629483e-11,-2.222928988850531e-07,-1.1487282921361075e-07,14.144641103095008,-14.144641915879408,14.144641129261617,-14.144641940779024,14.144641102262357,-14.14464191737948,14.144641126305135,-14.144641941633983,0.0,0.0,0.0,0.0
24.72,0.0,0.0,1.5,-2.8708537746934592e-06,8.776812097514166e-10,1.5000000018721136,8.317018198360307e-11,-2.2216998228770787e-07,-1.1491265555116477e-07,14.144641102984814,-14.144641916048618,14.144641129083972,-14.144641940885116,14.144641102154994,-14.144641917543552,14.144641126137582,-14.144641941737149,0.0,0.0,0.0,0.0
