"Time","referenceVector[1]","referenceVector[2]","referenceVector[3]","referenceVector[4]","referenceVector[5]","referenceVector[6]","referenceVector[7]","referenceVector[8]","referenceVector[9]","referenceVector[10]","referenceVector[11]","quadChassisTest17_1.body.r_0[1]","quadChassisTest17_1.body.r_0[2]","quadChassisTest17_1.body.r_0[3]","quadChassisTest17_1.body.v_0[1]","quadChassisTest17_1.body.v_0[2]","quadChassisTest17_1.body.v_0[3]","sensors1_1.AngleMea[1]","sensors1_1.AngleMea[2]","sensors1_1.AngleMea[3]","quadChassisTest17_1.body.frame_b.R.w[1]","quadChassisTest17_1.body.frame_b.R.w[2]","quadChassisTest17_1.body.frame_b.R.w[3]","quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]","motorCommand[1]","motorCommand[2]","motorCommand[3]","motorCommand[4]","speedSensor[1].w","speedSensor[2].w","speedSensor[3].w","speedSensor[4].w","controllerDiagnostics[1]","controllerDiagnostics[2]","controllerDiagnostics[3]","controllerDiagnostics[4]","controllerDiagnostics[5]","controllerDiagnostics[6]","controllerDiagnostics[7]","controllerDiagnostics[8]","controllerDiagnostics[9]","controllerDiagnostics[10]","controllerDiagnostics[11]","controllerDiagnostics[12]"
11.14,0,0,2,0,0,0,0,0,0,0,0,5.62088627936945e-12,9.54939260296065e-11,1.68111644611272,-6.93773014826746e-12,-1.86334180008169e-10,0.55990469448573,1.14938830156138e-11,4.66667466875203e-13,-3.16489902579039e-09,-2.11490062017098e-10,2.28012859386009e-11,-5.05399475153383e-10,1,-3.16489902579039e-09,-4.66667503252182e-13,3.16489902579039e-09,1,1.14938830141369e-11,4.66667466875203e-13,-1.14938830156138e-11,1,13.738632108991,-13.7386321090158,13.7386321090009,-13.7386321089761,13.7394911869933,-13.7394911870253,13.7394911870129,-13.7394911869808,5.52847120337088e-13,4.2905536607267e-11,1.51000009781068,1.15664316407533e-13,-6.97109250443531e-14,0,1.86628685185449e-18,0,0.318883553887285,3.99082704721743e-11,0,0
11.15,0,0,2,0,0,0,0,0,0,0,0,5.55343154614719e-12,9.36279993047645e-11,1.68668776226442,-6.02117798357206e-12,-1.86574284376158e-10,0.554353507167181,9.4788381226258e-12,6.23634510056162e-13,-3.16999700310127e-09,-1.81758498810523e-10,-1.39666581109112e-11,-5.39317627505902e-10,1,-3.16999700310126e-09,-6.23634540104051e-13,3.16999700310127e-09,1,9.47883812064888e-12,6.23634510056162e-13,-9.4788381226258e-12,1,13.737351142748,-13.7373511427573,13.7373511427648,-13.7373511427555,13.7381070055151,-13.73810700554,13.7381070055237,-13.7381070054995,1.38339925460127e-13,4.39668195974899e-11,1.50971853135512,4.34577421750322e-14,3.49839529377051e-14,0,2.2209357444101e-16,0,0.313312237735579,3.86050315449406e-11,0,0
11.16,0,0,2,0,0,0,0,0,0,0,0,5.49374862117437e-12,9.17587611297041e-11,1.69220347719447,-6.1458380609526e-12,-1.87300699001113e-10,0.548785070659238,7.68669473615913e-12,4.72645490021746e-13,-3.17539899234845e-09,-1.79011179746859e-10,-6.6418623614516e-12,-5.45060836647662e-10,1,-3.17539899234845e-09,-4.72645514430069e-13,3.17539899234845e-09,1,7.68669473465829e-12,4.72645490021746e-13,-7.68669473615913e-12,1,13.7362284611552,-13.7362284611653,13.7362284611687,-13.7362284611586,13.7368834533571,-13.7368834533623,13.7368834533748,-13.7368834533694,2.29544071220865e-13,4.5267811778712e-11,1.50947177869788,4.72472461505616e-14,1.57580937228601e-14,0,5.22915255213842e-18,0,0.307796522805528,3.76772325347546e-11,0,0
11.17,0,0,2,0,0,0,0,0,0,0,0,5.4325468372565e-12,8.98831611412211e-11,1.69766342933004,-5.0652310039558e-12,-1.87146808762712e-10,0.54320151529885,5.92509213156507e-12,4.03732402580551e-13,-3.18090273355158e-09,-1.46226457989744e-10,-5.04537487611065e-11,-5.51893426660183e-10,1,-3.18090273355157e-09,-4.03732421427693e-13,3.18090273355158e-09,1,5.92509213028083e-12,4.03732402580551e-13,-5.92509213156507e-12,1,13.7352601925617,-13.735260192554,13.7352601925848,-13.7352601925925,13.7358171193874,-13.7358171193963,13.7358171194005,-13.7358171193926,-2.68425732790261e-13,4.61411388070767e-11,1.5092589804615,-3.57834546043802e-14,1.43800639643957e-13,0,4.58623726643687e-18,0,0.302336570669956,3.65017741702903e-11,0,0
11.18,0,0,2,0,0,0,0,0,0,0,0,5.37935377450609e-12,8.80078570950601e-11,1.70306747785872,-6.75970467463122e-12,-1.8890408959816e-10,0.537604925079179,4.40679081887764e-12,9.21734518203197e-15,-3.18636803555536e-09,-2.00268665573687e-10,2.06849955264906e-11,-4.95606989772924e-10,1,-3.18636803555536e-09,-9.21735922368937e-15,3.18636803555536e-09,1,4.40679081884827e-12,9.21734518203197e-15,-4.40679081887764e-12,1,13.7344425056165,-13.7344425056445,13.7344425056323,-13.7344425056043,13.7349035827095,-13.734903582696,13.7349035827352,-13.7349035827464,5.87872674471363e-13,4.79497771569386e-11,1.50907928752242,1.30453201819438e-13,-5.71105694530744e-14,0,2.43026987719147e-18,0,0.296932522141279,3.61829832615697e-11,0,0
11.19,0,0,2,0,0,0,0,0,0,0,0,5.30790594262844e-12,8.61152906650214e-11,1.70841550271089,-8.05238045887366e-12,-1.90248498769117e-10,0.531997325747968,2.32672128772173e-12,3.79916123662506e-13,-3.19115502224508e-09,-2.44220463874082e-10,7.52987705953795e-11,-4.78097961304518e-10,1,-3.19115502224508e-09,-3.79916131087434e-13,3.19115502224508e-09,1,2.32672128650936e-12,3.79916123662506e-13,-2.32672128772173e-12,1,13.7337716335556,-13.7337716336146,13.7337716335674,-13.7337716335084,13.7341392865753,-13.7341392866121,13.7341392865903,-13.7341392865543,1.25673605092091e-12,4.95650582589783e-11,1.50893186626255,2.75392907027411e-13,-2.20007981328044e-13,0,4.38475302094179e-18,0,0.291584497289113,3.51774150446886e-11,0,0
11.2,0,0,2,0,0,0,0,0,0,0,0,5.22922130897917e-12,8.42150118484367e-11,1.71370740420396,-7.56237920914372e-12,-1.90095309287438e-10,0.526380696611917,6.73448351039816e-15,1.06581762432311e-12,-3.19604525883212e-09,-2.33423888821133e-10,5.63091461090178e-11,-5.5473416594867e-10,1,-3.19604525883212e-09,-1.06581762434463e-12,3.19604525883212e-09,1,6.73448010399679e-15,1.06581762432311e-12,-6.73448351039816e-15,1,13.7332438517869,-13.7332438518439,13.7332438518066,-13.7332438517497,13.7335203276611,-13.7335203277306,13.7335203276707,-13.7335203276018,1.05669267785024e-12,5.04512104856224e-11,1.50881589354332,2.65495075635057e-13,-1.7367857442702e-13,0,5.69721081728736e-18,0,0.286292595796042,3.34463499770059e-11,0,0
11.21,0,0,2,0,0,0,0,0,0,0,0,5.1598285239046e-12,8.23206650053432e-11,1.71894310079343,-5.96058978334778e-12,-1.89095756430763e-10,0.520756966191666,-2.06557880350916e-12,1.39275118695411e-12,-3.20170031501553e-09,-1.95935247576705e-10,-5.63835562513837e-12,-5.72357592666431e-10,1,-3.20170031501553e-09,-1.39275118034074e-12,3.20170031501553e-09,1,-2.06557880796833e-12,1.39275118695411e-12,2.06557880350916e-12,1,13.7328554920141,-13.7328554920519,13.7328554920522,-13.7328554920144,13.73304333597,-13.7330433360294,13.7330433359901,-13.733043335931,3.07762604102348e-13,5.09200928796103e-11,1.50873055972052,1.75904506288964e-13,1.46114198641406e-15,0,4.93142591264221e-18,0,0.281056899206567,3.17070029761429e-11,0,0
11.22,0,0,2,0,0,0,0,0,0,0,0,5.10323025069509e-12,8.04345012655914e-11,1.72412253137018,-5.3085141774144e-12,-1.88031054210878e-10,0.515128011058391,-3.87675943611942e-12,1.23747657847432e-12,-3.2075575709172e-09,-1.63177502484859e-10,-2.74969942074598e-11,-6.15214713481979e-10,1,-3.2075575709172e-09,-1.23747656603939e-12,3.2075575709172e-09,1,-3.8767594400887e-12,1.23747657847432e-12,3.87675943611942e-12,1,13.7326029398496,-13.7326029398705,13.7326029398848,-13.7326029398639,13.7327043787387,-13.7327043787726,13.732704378784,-13.7327043787509,1.72177217468742e-14,5.13529477145813e-11,1.5086750680324,9.74306436012076e-14,6.65521486975939e-14,0,2.22081265542505e-16,0,0.275877468629815,3.01865911358564e-11,0,0
11.23,0,0,2,0,0,0,0,0,0,0,0,5.05316243531065e-12,7.85673202153775e-11,1.72924565275148,-5.53069534429031e-12,-1.86310689106961e-10,0.509495661678925,-5.04144839076651e-12,8.55546723912924e-13,-3.21373698438229e-09,-1.08540841833295e-10,-1.44094123198763e-11,-6.53353665295588e-10,1,-3.2137369843823e-09,-8.55546707711035e-13,3.21373698438229e-09,1,-5.04144839351602e-12,8.55546723912924e-13,5.04144839076651e-12,1,13.7324826290315,-13.7324826290203,13.7324826290275,-13.7324826290387,13.7324999667012,-13.7324999667168,13.7324999667366,-13.7324999667216,1.51292335124123e-13,5.14552740303077e-11,1.50864863325277,-5.22278796551497e-14,3.34098124613916e-14,0,4.44103433942948e-16,0,0.270754347248516,2.90752268670346e-11,0,0
11.24,0,0,2,0,0,0,0,0,0,0,0,4.99199683842928e-12,7.6703679693564e-11,1.73431243979294,-5.83981947562561e-12,-1.86493216982399e-10,0.50386169685438,-6.25475547612064e-12,9.74911032654429e-13,-3.22030039348251e-09,-1.3804186108295e-10,2.14390514312853e-12,-6.59443508215583e-10,1,-3.22030039348251e-09,-9.74911012512237e-13,3.22030039348251e-09,1,-6.25475547926014e-12,9.74911032654429e-13,6.25475547612064e-12,1,13.7324910526348,-13.7324910526441,13.7324910526406,-13.7324910526313,13.7324266467491,-13.7324266467276,13.7324266467354,-13.7324266467562,3.33536025245607e-13,5.2487218722882e-11,1.50865048408619,4.31564749380494e-14,-1.6231488632534e-14,0,2.22114712689926e-16,0,0.26568756020706,2.85460403450828e-11,0,0
11.25,0,0,2,0,0,0,0,0,0,0,0,4.93210530400477e-12,7.4838724304506e-11,1.73932288635873,-5.9663244116132e-12,-1.87420196111566e-10,0.498227851621617,-7.76593380510571e-12,1.07838132535879e-12,-3.22692322813533e-09,-2.0380127169784e-10,1.14835372216585e-11,-6.65042619130366e-10,1,-3.22692322813534e-09,-1.07838130029872e-12,3.22692322813533e-09,1,-7.76593380858557e-12,1.07838132535879e-12,7.76593380510571e-12,1,13.7326247455077,-13.7326247455609,13.7326247455513,-13.7326247454981,13.7324796606766,-13.7324796606776,13.7324796606718,-13.7324796606694,4.2574868572647e-13,5.3884215050407e-11,1.50867985921223,2.48051186509594e-13,-4.48009761179261e-14,0,4.80583433452548e-18,0,0.260677113641274,2.79615398098779e-11,0,0
11.26,0,0,2,0,0,0,0,0,0,0,0,4.88276470095917e-12,7.29760113927861e-11,1.74427700178545,-5.62806512297454e-12,-1.85073729798584e-10,0.492595810586528,-9.48399346399451e-12,7.79886794932536e-13,-3.23345294385959e-09,-1.38895560446344e-10,1.23830053700331e-12,-6.47391841955402e-10,1,-3.2334529438596e-09,-7.7988676426649e-13,3.23345294385959e-09,1,-9.48399346651623e-12,7.79886794932536e-13,9.48399346399451e-12,1,13.7328803058191,-13.7328803058357,13.7328803058332,-13.7328803058166,13.7326584366996,-13.7326584367691,13.732658436756,-13.7326584366898,2.85136666583409e-13,5.3677823654128e-11,1.50873601195318,7.74644773810205e-14,-1.13965549108781e-14,0,5.49389975484176e-18,0,0.255722998214553,2.61007052269944e-11,0,0
11.27,0,0,2,0,0,0,0,0,0,0,0,4.82834902350867e-12,7.11342620752025e-11,1.74917481187392,-4.79405664718076e-12,-1.83362619433616e-10,0.486967217420932,-1.06873957816077e-11,7.28984962362667e-13,-3.23984329638587e-09,-1.06204781463542e-10,-3.07275193825758e-11,-5.83116937440998e-10,1,-3.23984329638587e-09,-7.28984927737179e-13,3.23984329638587e-09,1,-1.06873957839695e-11,7.28984962362667e-13,1.06873957816077e-11,1,13.7332543739785,-13.7332543739773,13.7332543739948,-13.7332543739961,13.7329572442933,-13.732957244304,13.7329572443019,-13.732957244293,-9.55628328114555e-14,5.37718168801996e-11,1.50881820560499,-5.74828076965966e-15,8.18823823316813e-14,0,2.22092965316338e-16,0,0.250825188126077,2.49635481261308e-11,0,0
11.28,0,0,2,0,0,0,0,0,0,0,0,4.78070900682395e-12,6.9308006848148e-11,1.75401635844941,-3.73758688827695e-12,-1.81524844719515e-10,0.481343669414718,-1.16539840136913e-11,4.21504268950809e-13,-3.24563991264197e-09,-7.24343354685445e-11,-7.27234199883772e-11,-5.59453666745302e-10,1,-3.24563991264198e-09,-4.21504231126173e-13,3.24563991264197e-09,1,-1.16539840150593e-11,4.21504268950809e-13,1.16539840136913e-11,1,13.7337436449871,-13.7337436449668,13.7337436450114,-13.7337436450317,13.7333733195867,-13.7333733195768,13.7333733196006,-13.7333733196072,-5.88577500479784e-13,5.37959750109741e-11,1.50892571605246,-9.46690938414324e-14,2.07619872826905e-13,0,3.54639175363113e-18,0,0.245983641550595,2.40115729002491e-11,0,0
11.29,0,0,2,0,0,0,0,0,0,0,0,4.73467937589705e-12,6.74954726437398e-11,1.75880170119164,-5.51981271158112e-12,-1.82699743408148e-10,0.475726713675564,-1.24951316935369e-11,6.21756062794645e-14,-3.25128352682236e-09,-1.68495610094767e-10,2.80318507879416e-12,-5.66566212953075e-10,1,-3.25128352682236e-09,-6.21755656542486e-14,3.25128352682236e-09,1,-1.2495131693739e-11,6.21756062794645e-14,1.24951316935369e-11,1,13.734344872177,-13.7343448722182,13.7343448722167,-13.7343448721756,13.7339036040148,-13.7339036039874,13.7339036040406,-13.7339036040693,3.07049795966762e-13,5.52878066515207e-11,1.50905783254753,1.91638624085801e-13,-6.57271313284026e-15,0,2.22066403071695e-16,0,0.241198298808362,2.41425831803658e-11,0,0
11.3,0,0,2,0,0,0,0,0,0,0,0,4.67545612714497e-12,6.56722408190971e-11,1.76353091241821,-5.2523939765907e-12,-1.81522570560212e-10,0.47011786137021,-1.42765435635891e-11,2.61213302330184e-13,-3.25692281492407e-09,-1.71110496322156e-10,-7.9777830714516e-12,-5.54425868041096e-10,1,-3.25692281492407e-09,-2.61213255832584e-13,3.25692281492407e-09,1,-1.42765435644399e-11,2.61213302330184e-13,1.42765435635891e-11,1,13.7350548505614,-13.7350548506085,13.7350548506133,-13.7350548505662,13.734544472479,-13.7345444725347,13.7345444725245,-13.7345444724679,2.06110607379724e-13,5.56337804183115e-11,1.50921385398914,2.19710741436415e-13,2.23129623023098e-14,0,1.74137966305444e-18,0,0.236469087581786,2.25865552816327e-11,0,0
11.31,0,0,2,0,0,0,0,0,0,0,0,4.62135251624688e-12,6.38625182233803e-11,1.76820408110337,-7.75247345802683e-12,-1.80136710697191e-10,0.464518576441901,-1.60454391931507e-11,2.52494376789283e-13,-3.26249706880049e-09,-1.72099895540986e-10,9.82571475997118e-11,-5.60727280559663e-10,1,-3.26249706880049e-09,-2.52494324441084e-13,3.26249706880049e-09,1,-1.60454391939745e-11,2.52494376789283e-13,1.60454391931507e-11,1,13.7358704307705,-13.7358704308228,13.7358704307615,-13.7358704307093,13.7352929347697,-13.7352929348237,13.7352929348272,-13.7352929347731,1.45718947497673e-12,5.58707753658926e-11,1.50939309192633,2.43690314086663e-13,-2.85503485969454e-13,0,5.8798563278733e-18,0,0.231795918896627,2.09820668735604e-11,0,0
11.32,0,0,2,0,0,0,0,0,0,0,0,4.54775757204425e-12,6.20785315043899e-11,1.77282131005241,-5.93205641456025e-12,-1.75984642674852e-10,0.458930283291911,-1.73570557043618e-11,1.08158797966875e-12,-3.26805835513533e-09,-6.28010430237983e-11,2.43555492903523e-11,-5.893500646842e-10,1,-3.26805835513535e-09,-1.08158792294488e-12,3.26805835513533e-09,1,-1.73570557078964e-11,1.08158797966875e-12,1.73570557043618e-11,1,13.7367885100589,-13.7367885100466,13.736788510029,-13.7367885100413,13.736146072979,-13.7361460730346,13.7361460729548,-13.7361460729018,6.03373121920783e-13,5.47407774229394e-11,1.5095948685574,-5.73598403130264e-14,-8.1931294889045e-14,0,6.10679079314612e-18,0,0.227178689947591,1.89171377620634e-11,0,0
11.33,0,0,2,0,0,0,0,0,0,0,0,4.48933869481813e-12,6.03273343084633e-11,1.777382716571,-7.31973331064582e-12,-1.75214378099849e-10,0.453354361834636,-1.79619494209861e-11,1.30921971392027e-12,-3.27394010442877e-09,-9.84870198621804e-11,8.72146489216039e-11,-5.66541763016557e-10,1,-3.27394010442879e-09,-1.30921965511392e-12,3.27394010442877e-09,1,-1.79619494252724e-11,1.30921971392027e-12,1.79619494209861e-11,1,13.7378060411118,-13.7378060411233,13.7378060410659,-13.7378060410545,13.737100584359,-13.7371005843291,13.7371005843156,-13.7371005843448,1.31214683830976e-12,5.52494865166632e-11,1.50981851858063,5.32513967312807e-14,-2.6736581716758e-13,0,4.80086875977319e-18,0,0.222617283428997,1.86367106992771e-11,0,0
