"Time","referenceVector[1]","referenceVector[2]","referenceVector[3]","referenceVector[4]","referenceVector[5]","referenceVector[6]","referenceVector[7]","referenceVector[8]","referenceVector[9]","referenceVector[10]","referenceVector[11]","quadChassisTest17_1.body.r_0[1]","quadChassisTest17_1.body.r_0[2]","quadChassisTest17_1.body.r_0[3]","quadChassisTest17_1.body.v_0[1]","quadChassisTest17_1.body.v_0[2]","quadChassisTest17_1.body.v_0[3]","sensors1_1.AngleMea[1]","sensors1_1.AngleMea[2]","sensors1_1.AngleMea[3]","quadChassisTest17_1.body.frame_b.R.w[1]","quadChassisTest17_1.body.frame_b.R.w[2]","quadChassisTest17_1.body.frame_b.R.w[3]","quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]","motorCommand[1]","motorCommand[2]","motorCommand[3]","motorCommand[4]","speedSensor[1].w","speedSensor[2].w","speedSensor[3].w","speedSensor[4].w","controllerDiagnostics[1]","controllerDiagnostics[2]","controllerDiagnostics[3]","controllerDiagnostics[4]","controllerDiagnostics[5]","controllerDiagnostics[6]","controllerDiagnostics[7]","controllerDiagnostics[8]","controllerDiagnostics[9]","controllerDiagnostics[10]","controllerDiagnostics[11]","controllerDiagnostics[12]"
1.74,0,0,0.522,0,0,0,0,0,0,0,0,3.39227540303719e-11,2.65568197934722e-12,0.251186983890599,-2.96048852496677e-11,6.58336555231879e-12,0.272363844447742,4.63824990838412e-12,-9.65830152339228e-12,-4.24073868336632e-10,7.04184973835909e-11,3.67629687869949e-11,-5.00425826848563e-10,1,-4.24073868336677e-10,9.65830152142531e-12,4.24073868336632e-10,1,4.63824991247995e-12,-9.65830152339228e-12,-4.63824990838412e-12,1,14.2000853013668,-14.2000853013181,14.2000853013168,-14.2000853013655,14.200674935482,-14.200674935468,14.2006749354714,-14.200674935484,-2.66693986259474e-12,-4.56556630230592e-12,1.61313938052306,-2.34759663671789e-13,-6.22337505249632e-15,0,4.44093311662617e-16,0,0.270813016109401,8.20667965975967e-12,0,0
1.75,0,0,0.525,0,0,0,0,0,0,0,0,3.36154558486782e-11,2.7217494021522e-12,0.253914491993947,-3.1572154495254e-11,7.50444426888545e-12,0.273134398396927,5.45428958068579e-12,-9.01400969957133e-12,-4.2907694990405e-10,1.28957997175449e-10,8.05951055086036e-11,-5.18695814164125e-10,1,-4.29076949904099e-10,9.01400969723102e-12,4.2907694990405e-10,1,5.4542895845535e-12,-9.01400969957133e-12,-5.45428958068579e-12,1,14.1991782789777,-14.1991782788911,14.1991782788627,-14.1991782789492,14.199762759502,-14.1997627594455,14.1997627594425,-14.1997627595006,-1.54859345045409e-12,-5.04982270863829e-12,1.61293331037247,-4.17078944227629e-13,-1.37084620865701e-13,0,3.79922110036912e-18,0,0.271085508006053,8.38234790772491e-12,0,0
1.76,0,0,0.528,0,0,0,0,0,0,0,0,3.32952813624108e-11,2.78999475838215e-12,0.256649642337625,-3.24967898729504e-11,6.02148360167502e-12,0.273892322051929,6.58246691660539e-12,-8.20129584970006e-12,-4.34235940952897e-10,9.16525960888159e-11,8.45737286900457e-11,-4.43113534551505e-10,1,-4.34235940952951e-10,8.20129584684171e-12,4.34235940952897e-10,1,6.58246692016669e-12,-8.20129584970006e-12,-6.58246691660539e-12,1,14.1982792246151,-14.1982792245476,14.1982792245155,-14.198279224583,14.198858513073,-14.1988585129723,14.1988585129361,-14.1988585130357,-9.34072440861538e-13,-4.35847540040956e-12,1.61272906350978,-3.25396752769272e-13,-1.54633776966418e-13,0,4.94355533374955e-18,0,0.271350357662375,8.55279593131001e-12,0,0
1.77,0,0,0.531,0,0,0,0,0,0,0,0,3.29687141429796e-11,2.84381364245863e-12,0.259392309176285,-3.21803025384771e-11,5.83123656422573e-12,0.274637727170515,7.37150061776436e-12,-7.45199712549602e-12,-4.38690200707608e-10,1.12008755285147e-10,3.93708257035284e-11,-4.01045861621363e-10,1,-4.38690200707663e-10,7.45199712226222e-12,4.38690200707609e-10,1,7.37150062103348e-12,-7.45199712549602e-12,-7.37150061776436e-12,1,14.1973881940559,-14.1973881939735,14.1973881939675,-14.1973881940499,14.1979622561788,-14.1979622561117,14.1979622560755,-14.1979622561432,-9.23810476584468e-13,-4.29257599615015e-12,1.6125266522517,-3.97249531648405e-13,-2.86841658010929e-14,0,2.22094554459376e-16,0,0.271607690823716,8.3367409302086e-12,0,0
1.78,0,0,0.534,0,0,0,0,0,0,0,0,3.26419941292427e-11,2.89416902541844e-12,0.262142367885993,-3.39741511037666e-11,3.55445745299147e-12,0.275370726264043,8.31758208055299e-12,-7.00434605968614e-12,-4.42731402997409e-10,4.89242714643988e-11,8.44670865015115e-11,-3.96147610825842e-10,1,-4.42731402997468e-10,7.00434605600368e-12,4.42731402997409e-10,1,8.31758208365403e-12,-7.00434605968614e-12,-8.31758208055299e-12,1,14.1965052391569,-14.1965052391094,14.1965052390759,-14.1965052391234,14.1970740434403,-14.197074043355,14.1970740433559,-14.1970740434406,1.19474991464929e-13,-3.20362983982815e-12,1.61232608803407,-2.2907088212192e-13,-1.61381447640724e-13,0,1.99576314560784e-18,0,0.271857632114007,9.49637667661811e-12,0,0
1.79,0,0,0.537,0,0,0,0,0,0,0,0,3.22899043676485e-11,2.92452533846893e-12,0.264899694971541,-3.53724789363872e-11,3.83001145223084e-12,0.276091432528374,8.76423035285483e-12,-5.77726840500939e-12,-4.46610008645675e-10,9.60785494621961e-11,1.17268781591112e-10,-3.81173543704307e-10,1,-4.46610008645726e-10,5.77726840109519e-12,4.46610008645675e-10,1,8.76423035543502e-12,-5.77726840500939e-12,-8.76423035285483e-12,1,14.1956304080424,-14.1956304079645,14.1956304079087,-14.1956304079866,14.1961939260341,-14.1961939259954,14.1961939259559,-14.1961939259956,9.81996562124117e-13,-3.35385905982959e-12,1.61212738143872,-3.75125529612982e-13,-2.68783154176155e-13,0,2.2211828606941e-16,0,0.272100305028459,9.24444552133221e-12,0,0
1.8,0,0,0.54,0,0,0,0,0,0,0,0,3.19404764840663e-11,2.9527244020537e-12,0.267664168073142,-3.38675843499605e-11,2.35184996384359e-12,0.276799959823891,9.48909098807486e-12,-4.89760446808611e-12,-4.50519687546598e-10,7.17691954841056e-11,3.26859181741316e-11,-4.07241551159871e-10,1,-4.50519687546644e-10,4.89760446381108e-12,4.50519687546598e-10,1,9.48909099028133e-12,-4.89760446808611e-12,-9.48909098807486e-12,1,14.1947637449835,-14.1947637449176,14.1947637449112,-14.194763744977,14.1953219495368,-14.1953219494537,14.1953219493898,-14.1953219494723,4.2213136447682e-13,-2.64460596293411e-12,1.61193054219896,-3.17337382847077e-13,-3.09844645896011e-14,0,4.60275379317155e-18,0,0.272335831926858,9.39246379721744e-12,0,0
1.81,0,0,0.543,0,0,0,0,0,0,0,0,3.16042543897098e-11,2.96326857650972e-12,0.270435665972666,-3.28721111983493e-11,-1.08427296423986e-13,0.277496422610836,9.86313064424352e-12,-4.77426937214251e-12,-4.54667716553783e-10,9.04144894179552e-12,-3.00065588277061e-11,-4.53635849356683e-10,1,-4.5466771655383e-10,4.77426936765807e-12,4.54667716553783e-10,1,9.86313064641422e-12,-4.77426937214251e-12,-9.86313064424352e-12,1,14.1939052907615,-14.1939052907317,14.1939052907634,-14.1939052907932,14.194458156711,-14.1944581566461,14.194458156651,-14.1944581567146,1.0493340340159e-13,-1.44570701728979e-12,1.61173557922508,-1.43684204867341e-13,1.52931554236306e-13,0,4.50831426404582e-18,0,0.272564334027334,1.01887816452871e-11,0,0
1.82,0,0,0.546,0,0,0,0,0,0,0,0,3.12713122620935e-11,2.95359659232396e-12,0.273214068522446,-3.47321131223127e-11,-2.85940402539841e-12,0.278180935474975,9.79752374619413e-12,-4.9985408640649e-12,-4.5911734981264e-10,-6.57518825488014e-11,2.74307688844509e-11,-4.12234937129137e-10,1,-4.59117349812689e-10,4.99854085956668e-12,4.5911734981264e-10,1,9.79752374848904e-12,-4.9985408640649e-12,-9.79752374619413e-12,1,14.1930550835902,-14.1930550836048,14.1930550836032,-14.1930550835885,14.1936026267662,-14.193602626745,14.1936026267918,-14.1936026268121,1.18374601571197e-12,-9.42943432187887e-14,1.61154250084808,7.06484930922373e-14,-7.76222653146666e-15,0,3.9842576773563e-18,0,0.272785931477555,1.13011766752071e-11,0,0
1.83,0,0,0.549,0,0,0,0,0,0,0,0,3.09273614124875e-11,2.91958416151502e-12,0.275999256957949,-3.32827444758656e-11,-2.6155168335637e-12,0.278853615149203,9.11078219826259e-12,-4.96838903704254e-12,-4.63260717183349e-10,-1.63682726218323e-11,-5.38202907060055e-11,-3.90203701925242e-10,1,-4.63260717183394e-10,4.96838903282187e-12,4.63260717183349e-10,1,9.11078220056425e-12,-4.96838903704254e-12,-9.11078219826259e-12,1,14.1922131544566,-14.1922131544426,14.1922131544906,-14.1922131545046,14.192755253246,-14.1927552532768,14.1927552532695,-14.1927552532394,6.48288897218517e-13,-1.96466817869008e-13,1.61135131377611,-6.7750303037028e-14,2.31280170528426e-13,0,4.12300376540127e-18,0,0.273000743042051,1.04711080981315e-11,0,0
