time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],quadChassisTest17_1.perRotorDisturbance
11.98,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014231803215227973,3.155113020548568e-12,1.5000125674961127,-0.005259705081785375,-4.4044741018185036e-11,0.00028892000900398876,-8.306951267171592e-12,0.0009916137696447857,-4.797231935012418e-09,-3.5094652634808267e-11,0.001187490600891089,-1.012605391774261e-09,0.9999995083511064,-4.797240172298329e-09,-0.0009916136071361763,4.7972295764586435e-09,1.0,-1.3063951730518116e-11,0.0009916136071361763,8.306947183068192e-12,0.9999995083511064,14.144201200619975,-14.144201200629535,14.143911981207077,-14.143911981197517,14.144197172081078,-14.144197172053868,14.14390491439097,-14.14390491436264,0.0018546438357056403,1.9962770564455983e-11,1.6004336427043764,4.590641196286138e-14,-1.388559386690724e-06,0.0,1.1473295986243826e-16,0.0,0.0014232358095299159,0.00016722403199865725,0.0,0.0,0.0
11.99,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013710857971579319,2.719531433815991e-12,1.5000154157068415,-0.005159032030286667,-4.295091427454254e-11,0.0002807553419062321,-8.569819141395063e-12,0.0010028891013988247,-4.807465948545601e-09,-2.3419746690415453e-11,0.001068104059826212,-1.0390329660041434e-09,0.9999994971067672,-4.807474543122377e-09,-0.0010028889332834383,4.807463530903508e-09,0.9999999999999998,-1.3391173538328413e-11,0.0010028889332834383,8.56981483169101e-12,0.9999994971067672,14.14420820758944,-14.144208207593115,14.143924262694872,-14.143924262691197,14.144204250880435,-14.1442042508963,14.143917175075577,-14.143917175071056,0.0018317160584883478,1.9647686078004812e-11,1.6004358453145489,1.7647488284442994e-14,-1.3632370165422933e-06,0.0,2.468008281680514e-16,0.0,0.0013711724571277037,0.00014162116637971874,0.0,0.0,0.0
12.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013200030694057463,2.294380205959501e-12,1.5000181829373582,-0.005057363134112518,-4.210135134405309e-11,0.00027272443374724896,-8.74757114835953e-12,0.0010129814007471994,-4.8179041177203815e-09,-2.287521383497973e-11,0.0009509124319937506,-1.0441659325022147e-09,0.9999994869343847,-4.817912978845741e-09,-0.001012981227505218,4.817901645819441e-09,1.0,-1.3628017575530364e-11,0.001012981227505218,8.747566660281556e-12,0.9999994869343847,14.144215049964966,-14.144215049969283,14.143936521052803,-14.143936521048484,14.144211004206495,-14.14421100421209,14.143929136119313,-14.143929136134805,0.0018077890928473402,1.944688588630121e-11,1.6004380286382145,2.0730617920314932e-14,-1.3372354560836546e-06,0.0,1.0920453908860262e-16,0.0,0.0013201282977239614,0.00011657706460750753,0.0,0.0,0.0
12.01,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001269941529305996,1.878608099076832e-12,1.5000208705076779,-0.004954814179456802,-4.1122085823954696e-11,0.00026482424474907467,-8.891595817253493e-12,0.0010219127319960621,-4.828336283787884e-09,-1.7557806235550897e-11,0.0008359450507494522,-1.043219818389269e-09,0.9999994778472294,-4.828345370221276e-09,-0.001021912554131201,4.828333762658717e-09,1.0,-1.382573328122352e-11,0.001021912554131201,8.891591174482102e-12,0.9999994778472294,14.144221726667967,-14.144221726669967,14.143948764971665,-14.143948764969664,14.144217808111224,-14.144217808110625,14.143941433421173,-14.143941433420903,0.001782914862803147,1.9177856335858718e-11,1.6004401933683585,9.59641247881481e-15,-1.310507755806041e-06,0.0,1.0516188991995373e-16,0.0,0.0012701130130609573,9.210210741863975e-05,0.0,0.0,0.0
12.02,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001220909401278818,1.4719285079962848e-12,1.500023479727963,-0.0048514996205036515,-4.025042979704204e-11,0.00025705421929570534,-9.020083591052954e-12,0.0010297057720958745,-4.8387579920493535e-09,-1.7301800572570917e-11,0.0007232722615204165,-1.0421031511886822e-09,0.9999994698530585,-4.838767280079853e-09,-0.0010297055901307465,4.8387554267966046e-09,1.0000000000000004,-1.4002579744756003e-11,0.0010297055901307465,9.020078809083227e-12,0.9999994698530585,14.14422824548604,-14.144228245488756,14.143960984634848,-14.14396098463213,14.144224435957478,-14.144224435955909,14.143953701108046,-14.143953701105106,0.001757145230456963,1.895689954498632e-11,1.6004423391084561,1.3039059727038955e-14,-1.2831384624929628e-06,0.0,1.0357566551462828e-16,0.0,0.0012211351537631775,6.820602477448366e-05,0.0,0.0,0.0
12.030000000000001,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011729137792109256,1.0721651686257924e-12,1.5000260118960476,-0.004747531381027819,-3.9548946138768854e-11,0.00024941342862794074,-9.229971984899204e-12,0.001036383785125279,-4.849203851057903e-09,-2.4843309221992437e-11,0.000612953005866892,-1.0446787752788312e-09,0.9999994629543729,-4.849213416849492e-09,-0.0010363835995968122,4.849201246814181e-09,0.9999999999999998,-1.4255607327237316e-11,0.0010363835995968122,9.229967027983112e-12,0.9999994629543729,14.144234612747118,-14.144234612755506,14.143973173169137,-14.143973173160749,14.144230892805313,-14.144230892807025,14.143965916608936,-14.143965916607076,0.0017305313911580335,1.8815738890887205e-11,1.6004444656323968,4.0268997031443667e-14,-1.2551909643024563e-06,0.0,1.0452305247554005e-16,0.0,0.0011732021787393874,4.489754256140161e-05,0.0,0.0,0.0
12.040000000000001,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011259606508028542,6.828471311782321e-13,1.5000284682983722,-0.004643018862445603,-3.8366485724291816e-11,0.00024190072879824126,-9.380903118004695e-12,0.0010419705612122769,-4.859623345460969e-09,-1.3067835237804442e-11,0.0005050372368263153,-1.0418079577128524e-09,0.9999994571487241,-4.8596331200840866e-09,-0.001041970372667254,4.8596207074082346e-09,1.0,-1.444448666629715e-11,0.001041970372667254,9.380898025569468e-12,0.9999994571487241,14.144240833694004,-14.144240833696237,14.14398532564672,-14.143985325644486,14.144237199265207,-14.144237199266412,14.1439780956452,-14.143978095634365,0.0017031238651298557,1.8433871434360317e-11,1.600446572814442,1.0721095951832256e-14,-1.2267140099954066e-06,0.0,2.4470578113353446e-16,0.0,0.0011263204833299432,2.2184438498733922e-05,0.0,0.0,0.0
12.05,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010800549220798406,3.022571657386769e-13,1.500030850209974,-0.004538068998288241,-3.762809611245242e-11,0.000234514959967974,-9.552286026768723e-12,0.0010464903660770194,-4.870045219519347e-09,-2.0507959539193446e-11,0.00039957024997387615,-1.0421834620732671e-09,0.9999994524290068,-4.870055215892823e-09,-0.001046490175067756,4.870042552823849e-09,1.0,-1.464874050113141e-11,0.001046490175067756,9.552280796213975e-12,0.9999994524290068,14.144246913337632,-14.144246913345409,14.143997437452082,-14.143997437444305,14.144243362313693,-14.144243362330965,14.14399023757591,-14.143990237577604,0.0016749725117360154,1.8264948802503883e-11,1.6004486605414343,3.734017367265208e-14,-1.1977539293976505e-06,0.0,9.582984779208613e-17,0.0,0.001080495428108943,7.360157879106105e-08,0.0,0.0,0.0
12.06,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010352004421582558,-6.796366736445925e-14,1.5000331588944198,-0.004432786229215043,-3.6472076735342395e-11,0.00022725497382136573,-9.681102202224517e-12,0.0010499678998917542,-4.880484107038116e-09,-1.1109968262974926e-11,0.00029659350194123093,-1.0438614287428622e-09,0.9999994487837551,-4.880494271882796e-09,-0.0010499677069719592,4.8804814168359934e-09,1.0,-1.4805452909004417e-11,0.0010499677069719592,9.681096865843715e-12,0.9999994487837551,14.144252856665831,-14.144252856668867,14.144009503963055,-14.144009503960019,14.144249386242567,-14.144249386245864,14.144002337243295,-14.144002337234454,0.0016461265047233587,1.788636434865499e-11,1.600450728700756,1.457825485805234e-14,-1.1683567550350088e-06,0.0,9.622007585974025e-17,0.0,0.0010357313685139557,2.142894224702436e-05,0.0,0.0,0.0
12.07,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009914000283797032,-4.2811604887915486e-13,1.500035395603815,-0.004327272461617884,-3.552695417158787e-11,0.00022011962525878408,-9.786285303094512e-12,0.0010524282583514494,-4.890955191946591e-09,-1.1055250656101478e-11,0.00019614458144056362,-1.0474378442220657e-09,0.9999994461974315,-4.890965491307886e-09,-0.0010524280640722846,4.890952483323043e-09,1.0,-1.493366380721915e-11,0.0010524280640722846,9.786279883424576e-12,0.9999994461974315,14.144258668582099,-14.144258668585998,14.144021520640694,-14.144021520636795,14.144255275792503,-14.144255275802731,14.144014389772035,-14.144014389759004,0.001616634299247665,1.7605915089965878e-11,1.6004527771839805,1.8725219058544787e-14,-1.1385678969097282e-06,0.0,2.420407345821e-16,0.0,0.0009920316855023877,4.2318011737541356e-05,0.0,0.0,0.0
12.08,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009486554918632643,-7.781026558436177e-13,1.5000375615788095,-0.004221627028903905,-3.4530795169330743e-11,0.00021310776921190658,-9.867692265999062e-12,0.001053896893037322,-4.901431073305853e-09,-9.24934960773574e-12,9.825713198270924e-05,-1.0476809442007717e-09,0.999999444650721,-4.901441472834148e-09,-0.0010538966979436882,4.90142835129964e-09,1.0,-1.503329428935469e-11,0.0010538966979436882,9.867686785983277e-12,0.999999444650721,14.144264353889596,-14.144264353893249,14.14403348305451,-14.144033483050857,14.144261035866753,-14.144261035853363,14.14402639061812,-14.14402639062609,0.001586543599998722,1.7295343319464685e-11,1.600454805888277,1.7537373339741932e-14,-1.1084316542143062e-06,0.0,2.3866885161506895e-16,0.0,0.0009493988173812919,6.258925063585989e-05,0.0,0.0,0.0
12.09,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009069676633782471,-1.1212805867443442e-12,1.5000396580486024,-0.004115946662314998,-3.374627606099398e-11,0.00020621826020207463,-1.006985212132098e-11,0.0010543995730967833,-4.911892292386943e-09,-1.6782633338189585e-11,2.961013806402986e-06,-1.0460563603525013e-09,0.9999994441208218,-4.911902910032754e-09,-0.0010543993777238534,4.911889561968292e-09,1.0,-1.5248948297860367e-11,0.0010543993777238534,1.0069846523699858e-11,0.9999994441208218,14.144269917294189,-14.144269917303582,14.144045386878217,-14.144045386868822,14.144266671209246,-14.144266671220612,14.144038335461818,-14.144038335435061,0.001555901333831277,1.70849192077181e-11,1.600456814716598,4.510630733005913e-14,-1.0779914251804005e-06,0.0,8.682739647413496e-17,0.0,0.0009078342928270267,8.223910644316853e-05,0.0,0.0,0.0
12.1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008663364195159417,-1.4538328224780324e-12,1.5000416862309331,-0.004010325462279957,-3.277588120871343e-11,0.00019944995229291885,-1.0239791675741275e-11,0.0010539623473227544,-4.922386390063494e-09,-1.7379363320581772e-11,-8.97176682951503e-05,-1.0497157752291657e-09,0.9999994445817366,-4.922397182416366e-09,-0.0010539621521927682,4.922383656080194e-09,1.0,-1.5427800629336987e-11,0.0010539621521927682,1.0239785988373964e-11,0.9999994445817366,14.144275363399334,-14.144275363410209,14.144057227892642,-14.144057227881767,14.144272186526972,-14.14427218654057,14.144050219934423,-14.144050219931131,0.0015247536225054673,1.6778140161033003e-11,1.6004588035777094,5.221209346212876e-14,-1.0472895189201033e-06,0.0,2.3743520433690743e-16,0.0,0.0008673387652060258,0.00010126480952350411,0.0,0.0,0.0
12.11,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008267607091170578,-1.7750566463041372e-12,1.5000436473320795,-0.003904854875474596,-3.154956438862732e-11,0.00019280169885216078,-1.0355514095578024e-11,0.0010526115071799586,-4.93290630070018e-09,-7.909518243398181e-12,-0.00017975645192125556,-1.052114440837491e-09,0.9999994460045587,-4.932917201031467e-09,-0.0010526113127992927,4.932903567892578e-09,1.0,-1.554794707267394e-11,0.0010526113127992927,1.0355508358670422e-11,0.9999994460045587,14.144280696698669,-14.144280696704804,14.144069001991836,-14.1440690019857,14.144277586389713,-14.144277586403366,14.14406203991603,-14.144062039893042,0.001493145758091818,1.6340365226480507e-11,1.600460772386291,2.9459897444079674e-14,-1.0163672136138224e-06,0.0,8.554095584228464e-17,0.0,0.0008279120483103259,0.00011966435149058377,0.0,0.0,0.0
12.120000000000001,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007882385771459178,-2.0875874663256265e-12,1.5000455425466812,-0.0037996232876827724,-3.114990739622738e-11,0.00018627143991569283,-1.0533201270910917e-11,0.0010503735471130028,-4.943355651577923e-09,-3.3663833288886676e-11,-0.0002671568300632312,-1.0347118043236243e-09,0.9999994483577563,-4.943366715371869e-09,-0.0010503733539695222,4.943352924614121e-09,0.9999999999999998,-1.5725570326523012e-11,0.0010503733539695222,1.0533195460352136e-11,0.9999994483577563,14.144285917119474,-14.144285917142367,14.144080713189947,-14.144080713167053,14.144282997114608,-14.144282997070764,14.144074062124838,-14.14407406211396,0.0014611219916136787,1.6302818723580118e-11,1.600462721465064,1.0991709491348715e-13,-9.852050211903336e-07,0.0,8.2400284789557e-17,0.0,0.0007895531508766405,0.0001374365777984637,0.0,0.0,0.0
12.13,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007507815818454198,-2.3985544766170903e-12,1.5000473721831367,-0.0036947217016358746,-3.1267187059998574e-11,0.00017985823458972332,-1.108657046791151e-11,0.001047263650103166,-4.953793721547623e-09,-8.247495609355311e-11,-0.0003518957344671917,-1.0583204165512776e-09,0.9999994516194739,-4.953805332107756e-09,-0.001047263458670162,4.953791004983614e-09,1.0,-1.6274497614278007e-11,0.001047263458670162,1.1086564388252164e-11,0.9999994516194739,14.144291021367225,-14.144291021421871,14.144092368129485,-14.144092368074839,14.14428799733688,-14.14428799737372,14.144085365733147,-14.144085365718682,0.0014287210201885028,1.6517506280025646e-11,1.600464651077563,2.6236168537796883e-13,-9.53755201962557e-07,0.0,7.728662772975902e-17,0.0,0.0007522746223111905,0.00015457249272031784,0.0,0.0,0.0
12.14,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007143574795098925,-2.703388773822571e-12,1.500049139144766,-0.003590227649221591,-2.968607321610602e-11,0.00017356516309647386,-1.1833636384447203e-11,0.0010433314449904937,-4.964382268559248e-09,-6.289821932042958e-11,-0.000433852235569469,-1.0583123250070322e-09,0.9999994557297975,-4.964394614961957e-09,-0.001043331255705748,4.964379566593904e-09,1.0,-1.7013131570506474e-11,0.001043331255705748,1.1833629943751532e-11,0.9999994557297975,14.144296056789308,-14.144296056834905,14.14410389595714,-14.144103895911542,14.144293106056763,-14.144293106131297,14.144097113165733,-14.144097113113299,0.0013959971017592908,1.5897779239252343e-11,1.6004665584457907,2.189208627010326e-13,-9.225849815601663e-07,0.0,7.891377543989587e-17,0.0,0.0007160455740244823,0.0001710878221745057,0.0,0.0,0.0
