time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],motorApplied[1],motorApplied[2],motorApplied[3],motorApplied[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],scenarioDiagnostics[1],scenarioDiagnostics[2],scenarioDiagnostics[3],scenarioDiagnostics[4],scenarioDiagnostics[5],scenarioDiagnostics[6],scenarioDiagnostics[7],scenarioDiagnostics[8],scenarioDiagnostics[9],scenarioDiagnostics[10],scenarioDiagnostics[11],scenarioDiagnostics[12],scenarioDiagnostics[13],scenarioDiagnostics[14],scenarioDiagnostics[15],scenarioDiagnostics[16]
24.76,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010552872598791835,-0.0004212461086332417,1.49882494279709,-0.034969607061069066,-0.04573698421077096,-0.0016818158701133886,-0.001130033879494864,-0.002030302329470504,-0.0006969108616718464,-0.0603335287470462,0.08734023138522398,9.599750086340461e-05,0.9999976960950694,-0.0006946160524931203,0.002031086677897262,0.0006969093688815638,0.9999991202685024,-0.0011286184268145393,-0.002030300934609931,0.001130031309919818,0.9999973004500331,14.158209555721935,-14.15912533580219,14.159908988144641,-14.158993258749716,14.158209555721935,-14.15912533580219,14.159908988144641,-14.158993258749716,14.157700667028966,-14.158506818473079,14.159649218939075,-14.158843137119629,0.015374962834128885,0.021240784981369967,1.6040937900042678,4.4012556213418705e-06,3.7664733518530933e-06,0.0,4.733325452866039e-16,0.0,0.006520929111982646,0.024368060881627743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4673861773355265e-05,3.227110972039029e-05,1.1866559505500015e-06,-6.454221944078057e-07,4.934772354671053e-07,0.0,3600.0,0.0,0.0011149342020680528,0.0018876443027676184,-0.004214171951733942,0.013107446970820542,0.02
24.77,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007046994770438092,-0.0008779079368823333,1.4988091265587582,-0.03513216689060538,-0.0455850959913392,-0.0014791315862169186,-0.0017309077137449861,-0.0011546003277992799,-0.0006969074459642935,-0.05994453045667525,0.08765613386466393,9.614218403000593e-05,0.999999090609293,-0.0006949078408840937,0.001155804343042891,0.0006969069250277247,0.9999982605327697,-0.001730101780983568,-0.0011546000712659786,0.00173090569569573,0.9999978354297314,14.158972271906583,-14.16005619045152,14.160287396500776,-14.159203495655177,14.158972271906583,-14.16005619045152,14.160287396500776,-14.159203495655177,14.15850551373712,-14.159481481932788,14.160071882752893,-14.159095959802865,0.015880908714214798,0.021262735644108063,1.6042144151974769,5.209643676027244e-06,1.1112985145910132e-06,0.0,4.3220346277836803e-16,0.0,0.006586861070876693,0.024279210687649197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4776917979423892e-05,3.2148833517115115e-05,1.0431557525781822e-06,-6.429766703423023e-07,4.955383595884778e-07,0.0,3600.0,0.0,0.0007936004944724234,0.002273977339073101,-0.004606360631471935,0.013683625137553883,0.02
24.78,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003529440873612463,-0.0013327479229419865,1.4987953780268777,-0.03520309259664726,-0.04537268857221843,-0.0012685318380992732,-0.0023275411173178107,-0.00027688352560565683,-0.0006963728060150828,-0.05948606804956184,0.08774367026474048,9.626432392407108e-05,0.9999997192002335,-0.0006957264064077007,0.0002785035396765805,0.0006963727230389536,0.9999970492593029,-0.0023273456377930395,-0.00027688352206780133,0.002327538926543228,0.9999972529452572,14.159668947286475,-14.160918309551104,14.16059696200315,-14.159347571384142,14.159668947286475,-14.160918309551104,14.16059696200315,-14.159347571384142,14.159246774757742,-14.16039004225788,14.160427268650004,-14.159284008659464,0.016344804664597274,0.021258156346366658,1.604318383148883,6.005147267279352e-06,-1.544630119036292e-06,0.0,5.046579096536671e-16,0.0,0.006718323648139243,0.024138552678858095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4771032944084937e-05,3.1926978014743273e-05,8.926160071280336e-07,-6.385395602948654e-07,4.954206588816988e-07,0.0,3600.0,0.0,0.00047059749897366225,0.002652878296093821,-0.0049753384041821315,0.014224903117016904,0.02
24.79,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.380931405819187e-07,-0.0017851631844075012,1.498783771073235,-0.03518229092659197,-0.045100238867277855,-0.0010510877570260762,-0.002919247583733864,0.0006005629357431064,-0.0006953141971140886,-0.05895929535000743,0.08760285582714707,9.636388843136918e-05,0.9999995779312223,-0.0006970643672338234,-0.00059853040422573,0.0006953140156962749,0.9999954960509043,-0.0029196603098539014,0.0006005628996416834,0.002919242910977565,0.9999955586626523,14.160296308541158,-14.161708231099487,14.160835602572467,-14.15942359299902,14.160296308541158,-14.161708231099487,14.160835602572467,-14.15942359299902,14.159920666755005,-14.161228462256396,14.160712917087723,-14.159405078410943,0.016765566092885355,0.021227527338666216,1.6044051701112754,6.786844335099259e-06,-4.194639933822954e-06,0.0,6.570681252550644e-16,0.0,0.006907116695075247,0.023946320193042485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4656337030680422e-05,3.16070005786719e-05,7.366198534407745e-07,-6.321400115734381e-07,4.931267406136085e-07,0.0,3600.0,0.0,0.00014660463172267883,0.003023108805308375,-0.005319246034458168,0.014728140228438717,0.02
24.8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035040173777918683,-0.0022345559341371804,1.498774368692443,-0.03506990708322011,-0.044768293760677876,-0.0008279034165068855,-0.003505352379331487,0.0014754565464619107,-0.0006937420213303086,-0.05836541857455807,0.08723419049402913,9.644100465315305e-05,0.9999986708754631,-0.0006989096849147855,-0.0014730147861839438,0.0006937412105548951,0.9999936120331103,-0.003506367936611156,0.001475456011124033,0.0035053413851505624,0.9999927677795142,14.160851390644053,-14.162422798304748,14.161001570723974,-14.159430005336032,14.160851390644053,-14.162422798304748,14.161001570723974,-14.159430005336032,14.160523937866103,-14.161993279909602,14.160926825780315,-14.159457377431405,0.01714222189174975,0.021171351938345562,1.6044743387574392,7.55379763201007e-06,-6.831914293816061e-06,0.0,8.30253701318144e-16,0.0,0.00714388079709396,0.02370289634176401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4433930974734316e-05,3.119099794046542e-05,5.768174658881514e-07,-6.238199588093085e-07,4.886786194946863e-07,0.0,3600.0,0.0,-0.00017769660899847294,0.0033834588359699536,-0.005636350612380762,0.015190870669839603,0.02
24.810000000000002,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007001613575447793,-0.0026803343326439375,1.4987672225894297,-0.03486633252315422,-0.04437747252180942,-0.0006001163970742225,-0.004085193504460558,0.0023455232372309788,-0.0006916697255436058,-0.05770575642095325,0.08663886776519532,9.649597617809164e-05,0.9999970100587958,-0.0007012457773949821,-0.002342675357006832,0.0006916677677913666,0.999991409779625,-0.004086803476706111,0.002345521086590331,0.004085170904369163,0.9999889048932065,14.161331590453653,-14.163059241173947,14.161093447285204,-14.159365556709162,14.161331590453653,-14.163059241173947,14.161093447285204,-14.159365556709162,14.161054019792957,-14.162681810733067,14.161067469249215,-14.15943949698588,0.017473917589985975,0.02109015433431812,1.6045255426864062,8.305189515266716e-06,-9.449915619818595e-06,0.0,1.0512207045324428e-15,0.0,0.0074190099950262696,0.02340881345303343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4105884593913497e-05,3.068169646090235e-05,4.1490846796632515e-07,-6.13633929218047e-07,4.8211769187827e-07,0.0,3600.0,0.0,-0.0005016240762631577,0.003732750649869708,-0.005925054285443991,0.015611220143954092,0.02
24.82,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010474317621816708,-0.003121912947366391,1.4987623730569275,-0.03457219199076124,-0.043928459675030174,-0.000368885477124404,-0.004658122056674445,0.003208502990847102,-0.0006891136788537726,-0.05698166269402563,0.08581852432294663,9.652933846109506e-05,0.9999946153210948,-0.0007040516634086482,-0.003205251951198858,0.0006891100772788802,0.9999889032336629,-0.004660315100620825,0.0032084974858655048,0.004658081234900622,0.9999840037836065,14.16173463030206,-14.16361510839252,14.16111017771454,-14.159229366945862,14.16173463030206,-14.16361510839252,14.16111017771454,-14.159229366945862,14.161508114653875,-14.163291010516275,14.161133434200337,-14.159350270817857,0.017759915949403154,0.020984477260984312,1.6045585253805512,9.04016967485512e-06,-1.2041884051922232e-05,0.0,1.2339849790696406e-15,0.0,0.0077233316267352374,0.02306475096446937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3675203512074593e-05,3.0082420665031188e-05,2.526145506163696e-07,-6.016484133006238e-07,4.735040702414919e-07,0.0,3600.0,0.0,-0.0008244964093537107,0.0040698426505590074,-0.00618390230994678,0.01598784514633122,0.02
24.830000000000002,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001391311347809046,-0.003558713483614083,1.4987598486975309,-0.03418834783729634,-0.04342200629916555,-0.00013538901007923608,-0.0052235030459912785,0.004062155510254671,-0.0006860930297035465,-0.056194566085478695,0.0847753834502209,9.654175942047611e-05,0.9999915140977791,-0.0007073021377204992,-0.0040585041724281205,0.0006860873152376927,0.9999861076224992,-0.005226265033425936,0.004062144338586504,0.005223436195620339,0.9999781071091922,14.162058625385958,-14.164088372880657,14.161051050185083,-14.159020867279057,14.162058625385958,-14.164088372880657,14.161051050185083,-14.159020867279057,14.161884244145018,-14.163818766876648,14.161123882098147,-14.159188995206192,0.01799960276396587,0.020854881724263034,1.604573124244255,9.758038825259451e-06,-1.4601450976565924e-05,0.0,1.4467373870771895e-15,0.0,0.00804852246555074,0.02267153705561918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3145807141625742e-05,2.939707377162405e-05,9.165953064777986e-08,-5.879414754324811e-07,4.6291614283251486e-07,0.0,3600.0,0.0,-0.0011456344669596445,0.004393633114448763,-0.0064115903812738744,0.016319888467412773,0.02
24.84,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017309084246134945,-0.003990165630101253,1.4987596661921163,-0.03371590433058786,-0.042858931383506785,9.917987207560533e-05,-0.005780716270162214,0.004904266081343228,-0.0006826295435429457,-0.055346009646516134,0.08351241055270038,9.653411489265619e-05,0.9999877411224694,-0.0007109679775382894,-0.004900217272297635,0.0006826212813009679,0.9999830393661076,-0.0057840304552746824,0.0049042464219412945,0.005780614556960629,0.9999712660183673,14.162302029253649,-14.164477336550956,14.160915742599041,-14.158739888108888,14.162302029253649,-14.164477336550956,14.160915742599041,-14.158739888108888,14.162180711639277,-14.164263288009751,14.16103817478114,-14.158955127938695,0.018192482411199473,0.020701941922609407,1.6045692684583137,1.045805303171647e-05,-1.7121955882746018e-05,0.0,1.6398904738967287e-15,0.0,0.008387304085032857,0.022230144231771148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252249815968821e-05,2.8630114552066185e-05,-6.625296075106004e-08,-5.726022910413238e-07,4.5044996319376417e-07,0.0,3600.0,0.0,-0.001464362755707978,0.004703063791591601,-0.00660697120613285,0.016606946292110507,0.02
24.85,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020653434439002884,-0.004415707521812503,1.4987618302954822,-0.033156190184651976,-0.04224011470566636,0.0003336255724857168,-0.006329156691682471,0.005732651120945909,-0.0006787474237571027,-0.05443751470328947,0.08203284643443318,9.650746455146543e-05,0.9999833380553238,-0.0007150161748599931,-0.005728207712870326,0.0006787362187359031,0.999979715983649,-0.006333003900701162,0.005732619722035868,0.006329010438497367,0.9999635396843187,14.162463681190776,-14.164780704400732,14.160704306885293,-14.158386616571967,14.162463681190776,-14.164780704400732,14.160704306885293,-14.158386616571967,14.162395875187844,-14.164622681263218,14.160876158701226,-14.158648767136484,0.018338181876671217,0.02052624450342404,1.60454698123075,1.1139552295392867e-05,-1.9596878782326916e-05,0.0,1.8563505507866716e-15,0.0,0.008733485999574702,0.021741690928454138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181090101507013e-05,2.778651454161839e-05,-2.1946653994494372e-07,-5.557302908323678e-07,4.362180203014026e-07,0.0,3600.0,0.0,-0.0017800108510208517,0.004997123364378386,-0.006769060283629467,0.01684904357266903,0.02
