time_s,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,body_rate_x_radps,body_rate_y_radps,body_rate_z_radps,rotation_11,rotation_12,rotation_13,rotation_21,rotation_22,rotation_23,rotation_31,rotation_32,rotation_33,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,controller_diagnostic_1,controller_diagnostic_2,controller_diagnostic_3,controller_diagnostic_4,controller_diagnostic_5,controller_diagnostic_6,controller_diagnostic_7,controller_diagnostic_8,controller_diagnostic_9,controller_diagnostic_10,controller_diagnostic_11,controller_diagnostic_12,controller_diagnostic_13,controller_diagnostic_14,controller_diagnostic_15,controller_diagnostic_16,event_code,external_force_world_x_n,external_force_world_y_n,external_force_world_z_n,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm,position_error_x_m,position_error_y_m,position_error_z_m
37.85,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7769872665631107e-15,-1.6268103357438231e-15,1.4999999999999938,-9.454883438435412e-16,-1.787208661275614e-15,6.418957225255718e-15,3.823986346181542e-16,-3.342205715778115e-16,-1.2877257809114828e-09,-3.127528992544882e-15,9.511089308528955e-16,-1.3196220946274255e-10,1.0,-1.2877257809114828e-09,3.3422057108538685e-16,1.2877257809114828e-09,1.0,3.8239863504853867e-16,-3.342205715778115e-16,-3.823986346181542e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908191,-14.14464152090819,14.144641520908195,-14.144641520908197,1.361563013586742e-15,1.6976025539877806e-15,1.6005670700400003,-9.376729255224372e-18,1.2550320668135852e-17,0.0,2.9154534150425617e-18,0.0,6.667711749156523e-15,1.8671629914904415e-15,0.999998264368033,1.0,1.0,-1.1347005717557854e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7769872665631107e-15,-1.6268103357438231e-15,-6.217248937900877e-15
37.86,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.786931127908892e-15,-1.645106537337803e-15,1.4999999999999938,-1.007659046231295e-15,-1.842531051607855e-15,6.434339697014076e-15,3.4422004596314625e-16,-3.1401041670841296e-16,-1.2890454030028391e-09,-3.994623485855188e-15,2.2478004190313525e-15,-1.3196220956689617e-10,1.0,-1.2890454030028391e-09,3.1401041626469773e-16,1.2890454030028391e-09,1.0,3.4422004636791996e-16,-3.1401041670841296e-16,-3.4422004596314625e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.397023173591686e-15,1.7339351647642617e-15,1.6005670700400003,-6.574221997186916e-18,8.685525913687316e-18,0.0,3.2202716897830497e-18,0.0,6.6748545100931526e-15,1.8564689222214475e-15,0.9999982656054373,1.0,1.0,-1.1338916007388895e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.786931127908892e-15,-1.645106537337803e-15,-6.217248937900877e-15
37.87,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.797174197415924e-15,-1.6637217647792154e-15,1.4999999999999938,-1.0283360141171473e-15,-1.864261772183584e-15,6.43822531409338e-15,3.059839429896229e-16,-2.9370359341197874e-16,-1.2903650251082927e-09,-3.605888519971924e-15,1.883838743789967e-15,-1.3196221079675414e-10,1.0,-1.2903650251082927e-09,2.9370359301714774e-16,1.2903650251082927e-09,1.0,3.0598394336860777e-16,-2.9370359341197874e-16,-3.059839429896229e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.4123247284276976e-15,1.753987017916326e-15,1.6005670700400003,-7.406221141132788e-18,9.637703322288675e-18,0.0,2.2412651663990837e-18,0.0,6.682214420556049e-15,1.8298483156534007e-15,0.9999982668419425,1.0,1.0,-1.1330832174210031e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.797174197415924e-15,-1.6637217647792154e-15,-6.217248937900877e-15
37.88,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.807590837666055e-15,-1.6825151580180576e-15,1.4999999999999938,-1.0461976156754286e-15,-1.8841923624264457e-15,6.438125095761127e-15,2.722306331732732e-16,-2.7794554268419554e-16,-1.2916846472175682e-09,-3.286041222459566e-15,1.470938311000268e-15,-1.319622109490395e-10,1.0,-1.2916846472175682e-09,2.779455423325594e-16,1.2916846472175682e-09,1.0,2.722306335322912e-16,-2.7794554268419554e-16,-2.722306331732732e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.426336035364293e-15,1.7732478748969584e-15,1.6005670700400003,-8.083409024121715e-18,1.0785351496848753e-17,0.0,1.9341811748654608e-18,0.0,6.689725424051751e-15,1.8087277855079642e-15,0.9999982680775493,1.0,1.0,-1.1322754213520347e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.807590837666055e-15,-1.6825151580180576e-15,-6.217248937900877e-15
37.89,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.818196984330003e-15,-1.7016476794899866e-15,1.4999999999999938,-1.0651879638880097e-15,-1.923416625185835e-15,6.438124746136444e-15,2.3467647529061393e-16,-2.6539584485449637e-16,-1.2930042693283188e-09,-3.922138195106508e-15,1.1610125856952194e-15,-1.3196221111965317e-10,1.0,-1.2930042693283188e-09,2.6539584455105866e-16,1.2930042693283188e-09,1.0,2.346764756337719e-16,-2.6539584485449637e-16,-2.3467647529061393e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.4409956796224965e-15,1.802123932985206e-15,1.6005670700400003,-5.9214489021646284e-18,1.1671050011013346e-17,0.0,4.240058068606642e-18,0.0,6.697434542776059e-15,1.791675178644265e-15,0.9999982693122584,1.0,1.0,-1.1314682121761404e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.818196984330003e-15,-1.7016476794899866e-15,-6.217248937900877e-15
37.9,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.828968993316637e-15,-1.720926913147122e-15,1.4999999999999938,-1.0820555980362756e-15,-1.930628125713987e-15,6.43803079149987e-15,1.976645404489667e-16,-2.521691269342617e-16,-1.2943238914400002e-09,-3.3630554542768728e-15,8.01171654179813e-16,-1.3196221132879875e-10,1.0,-1.2943238914400002e-09,2.5216912667841983e-16,1.2943238914400002e-09,1.0,1.9766454077535525e-16,-2.521691269342617e-16,-1.976645404489667e-16,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.4547002097116251e-15,1.815404907607753e-15,1.6005670700400003,-7.225411659541838e-18,1.268993532951272e-17,0.0,3.888826047680587e-18,0.0,6.705289059745101e-15,1.7668995574796356e-15,0.9999982705460705,1.0,1.0,-1.1306615894424985e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.828968993316637e-15,-1.720926913147122e-15,-6.217248937900877e-15
37.910000000000004,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8397905233780556e-15,-1.7403919703751037e-15,1.4999999999999938,-1.0821839185987064e-15,-1.9519793209255795e-15,6.438042898651962e-15,1.6676259296200075e-16,-2.530345258529955e-16,-1.2956435135555747e-09,-3.5434748246838718e-15,-2.4998165141513454e-16,-1.3196221159986137e-10,1.0,-1.2956435135555747e-09,2.5303452563693065e-16,1.2956435135555747e-09,1.0,1.667625932898433e-16,-2.530345258529955e-16,-1.6676259296200075e-16,1.0,14.144641520908191,-14.14464152090819,14.144641520908195,-14.144641520908197,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.4602363941619354e-15,1.8357008262309154e-15,1.6005670700400003,-6.447274145422078e-18,1.5899610994388432e-17,0.0,4.665770422536696e-18,0.0,6.713268781769981e-15,1.756071751282809e-15,0.9999982717789861,1.0,1.0,-1.1298555526800562e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8397905233780556e-15,-1.7403919703751037e-15,-6.217248937900877e-15
37.92,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8507725443078257e-15,-1.7600787113937666e-15,1.4999999999999938,-1.1020353555447117e-15,-1.97443369236913e-15,6.4376175383984715e-15,1.3003537595949367e-16,-2.5675652326078874e-16,-1.296963135674287e-09,-3.924340257853947e-15,-4.843706958610921e-16,-1.319622111077471e-10,1.0,-1.296963135674287e-09,2.5675652309213767e-16,1.296963135674287e-09,1.0,1.300353762924974e-16,-2.5675652326078874e-16,-1.3003537595949367e-16,1.0,14.144641520908191,-14.14464152090819,14.144641520908195,-14.144641520908197,14.144641520908191,-14.14464152090819,14.144641520908197,-14.144641520908197,1.475507627403583e-15,1.85664884107747e-15,1.6005670700400003,-4.9973663440739055e-18,1.6775198903995528e-17,0.0,5.288900004413613e-18,0.0,6.721415062090332e-15,1.7473771189326735e-15,0.9999982730110062,1.0,1.0,-1.1290501015381548e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8507725443078257e-15,-1.7600787113937666e-15,-6.217248937900877e-15
37.93,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.862194907709518e-15,-1.779954747569287e-15,1.4999999999999938,-1.1542806709675939e-15,-1.989091549490891e-15,6.4478951944382e-15,8.503233950297784e-17,-2.5608004097523837e-16,-1.298282757712056e-09,-4.144614367882593e-15,6.501058057364697e-16,-1.3196220208402391e-10,1.0,-1.298282757712056e-09,2.560800408648423e-16,1.298282757712056e-09,1.0,8.503233983544213e-17,-2.5608004097523837e-16,-8.503233950297784e-17,1.0,14.144641520908191,-14.144641520908191,14.144641520908195,-14.144641520908195,14.144641520908191,-14.14464152090819,14.144641520908195,-14.144641520908197,1.506857412962173e-15,1.873876438440799e-15,1.6005670700400003,-3.891429176993004e-18,1.3617601892865118e-17,0.0,5.5592452363716054e-18,0.0,6.729798892502159e-15,1.7352499720715339e-15,0.9999982742421313,1.0,1.0,-1.1282452354819026e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.862194907709518e-15,-1.779954747569287e-15,-6.217248937900877e-15
37.94,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.873950064734772e-15,-1.7996936510278964e-15,1.4999999999999938,-1.1831970968209766e-15,-1.9676792044955434e-15,6.442987829923612e-15,4.824836243045353e-17,-2.436123042156461e-16,-1.299602379707533e-09,-2.9950779230912143e-15,8.37903480582307e-16,-1.3196219701390503e-10,1.0,-1.299602379707533e-09,2.436123041529424e-16,1.299602379707533e-09,1.0,4.824836274705266e-17,-2.436123042156461e-16,-4.824836243045353e-17,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908191,-14.144641520908191,14.144641520908195,-14.144641520908195,1.5269567279927157e-15,1.873379392328203e-15,1.6005670700400003,-6.857809740704114e-18,1.3055377366840788e-17,0.0,4.404093902850475e-18,0.0,6.738306199520704e-15,1.7086596755029131e-15,0.9999982754723621,1.0,1.0,-1.1274409539861802e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.873950064734772e-15,-1.7996936510278964e-15,-6.217248937900877e-15
37.95,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.885974922969474e-15,-1.8194823078345186e-15,1.4999999999999938,-1.2056416545913082e-15,-1.9818163769214003e-15,6.44901480782952e-15,1.8065973076507353e-17,-2.3926776365136374e-16,-1.3009220016639728e-09,-3.4789013175949796e-15,7.856203787543738e-16,-1.319621971569412e-10,1.0,-1.3009220016639728e-09,2.392677636278613e-16,1.3009220016639728e-09,1.0,1.8065973387776052e-17,-2.3926776365136374e-16,-1.8065973076507353e-17,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.5440246684366236e-15,1.890307934889306e-15,1.6005670700400003,-5.15146417297843e-18,1.3294375528905697e-17,0.0,5.789126007069495e-18,0.0,6.746969811287295e-15,1.6992030757679755e-15,0.9999982767016993,1.0,1.0,-1.1266372566923957e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.885974922969474e-15,-1.8194823078345186e-15,-6.217248937900877e-15
37.96,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8982559428052294e-15,-1.8393230511558835e-15,1.4999999999999938,-1.2387514589058773e-15,-1.988324260481546e-15,6.455612767257069e-15,-1.7817782233721392e-17,-2.285052113544015e-16,-1.3022416236383343e-09,-3.776632145893957e-15,1.2187055724144925e-15,-1.3196219728736919e-10,1.0,-1.3022416236383343e-09,2.285052113776046e-16,1.3022416236383343e-09,1.0,-1.7817781936152397e-17,-2.285052113544015e-16,1.7817782233721392e-17,1.0,14.144641520908191,-14.144641520908191,14.144641520908195,-14.144641520908195,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,1.5664424905410598e-15,1.9035285136479684e-15,1.6005670700400003,-3.899162014405133e-18,1.2037287040209439e-17,0.0,4.5732607146300844e-18,0.0,6.755787834645071e-15,1.6821498340195009e-15,0.9999982779301435,1.0,1.0,-1.1258341431551329e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8982559428052294e-15,-1.8393230511558835e-15,-6.217248937900877e-15
37.97,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9108998622848464e-15,-1.8590550158141076e-15,1.4999999999999938,-1.2750519244031734e-15,-1.9674490181664725e-15,6.455599864106311e-15,-5.4199464930527617e-17,-2.1689493894072422e-16,-1.303561245607324e-09,-3.075382779949493e-15,1.846745679379807e-15,-1.319621963677156e-10,1.0,-1.303561245607324e-09,2.1689493901137652e-16,1.303561245607324e-09,1.0,-5.419946464779178e-17,-2.1689493894072422e-16,5.4199464930527617e-17,1.0,14.144641520908193,-14.144641520908191,14.144641520908193,-14.144641520908195,14.144641520908191,-14.144641520908191,14.144641520908195,-14.144641520908195,1.5906055951983232e-15,1.903290853666064e-15,1.6005670700400003,-5.528017934121439e-18,1.019848884687042e-17,0.0,4.156136638574689e-18,0.0,6.764747459538561e-15,1.659459017365646e-15,0.9999982791576956,1.0,1.0,-1.1250316130316124e-05,3600.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9108998622848464e-15,-1.8590550158141076e-15,-6.217248937900877e-15
