time_s,ardg_active,ardg_blend,ardg_correction_x_nm,ardg_correction_y_nm,ardg_residual_tau_x_nm,ardg_residual_tau_y_nm,ardg_translation_residual_n,ardg_torque_mode,ardg_translation_score,ardg_safety_valid
42.11,0.0,0.0,0.0,0.0,-2.671479211061502e-18,-1.519015298132475e-17,1.616831459969619e-16,0.0,3.233662919939238e-14,1.0
42.12,0.0,0.0,0.0,0.0,1.6702085027361458e-17,9.350015995230655e-19,1.7216902570197584e-16,0.0,3.4433805140395167e-14,1.0
42.13,0.0,0.0,0.0,0.0,6.8698923908473555e-18,-9.072115030071382e-18,2.1689240669338634e-16,0.0,4.337848133867727e-14,1.0
42.14,0.0,0.0,0.0,0.0,-4.524440830434235e-18,-1.743581402002704e-17,3.010256041716519e-16,0.0,6.020512083433038e-14,1.0
42.15,0.0,0.0,0.0,0.0,-5.228854736163977e-18,-1.6537205473994382e-17,3.7149996699462053e-16,0.0,7.42999933989241e-14,1.0
42.160000000000004,0.0,0.0,0.0,0.0,-5.4452528696121e-18,-7.681622900956415e-18,4.110805597341832e-16,0.0,8.221611194683664e-14,1.0
42.17,0.0,0.0,0.0,0.0,-2.565663364559663e-18,-1.2518852470608881e-18,3.482488178435473e-16,0.0,6.964976356870946e-14,1.0
42.18,0.0,0.0,0.0,0.0,-6.626075224748812e-18,-1.60299833246737e-17,3.850615543794e-16,0.0,7.701231087587999e-14,1.0
42.19,0.0,0.0,0.0,0.0,2.8355642411215137e-18,-2.560597563305219e-17,4.197974207469038e-16,0.0,8.395948414938077e-14,1.0
42.2,0.0,0.0,0.0,0.0,5.917030219208178e-18,-5.878269105879398e-18,3.5698219791681185e-16,0.0,7.139643958336237e-14,1.0
42.21,0.0,0.0,0.0,0.0,-1.1764924799646441e-17,-1.2807613268723407e-17,3.7028694365764993e-16,0.0,7.405738873152998e-14,1.0
42.22,0.0,0.0,0.0,0.0,3.1877778537185534e-18,-1.8608312250147747e-17,3.4224328454023995e-16,0.0,6.844865690804798e-14,1.0
42.230000000000004,0.0,0.0,0.0,0.0,-7.150272129174729e-19,6.769213183510025e-18,3.3853317026902876e-16,0.0,6.770663405380575e-14,1.0
42.24,0.0,0.0,0.0,0.0,-6.3844517929279495e-19,-2.302127229469188e-17,3.1289869239601473e-16,0.0,6.257973847920294e-14,1.0
42.25,0.0,0.0,0.0,0.0,5.578884301867409e-18,2.8234833663357684e-19,2.5648600219536207e-16,0.0,5.129720043907241e-14,1.0
42.26,0.0,0.0,0.0,0.0,8.27973200831702e-18,-6.057783269374108e-19,1.844599583367383e-16,0.0,3.689199166734766e-14,1.0
42.27,0.0,0.0,0.0,0.0,2.4137543307554685e-17,-1.5254160983693215e-17,1.7768251356177463e-16,0.0,3.5536502712354926e-14,1.0
42.28,0.0,0.0,0.0,0.0,2.0260190166727578e-17,-1.3372090206249221e-17,2.350327427603024e-16,0.0,4.700654855206048e-14,1.0
42.29,0.0,0.0,0.0,0.0,1.2510380107248908e-17,-8.930218800447587e-18,2.1704450951437875e-16,0.0,4.340890190287575e-14,1.0
42.300000000000004,0.0,0.0,0.0,0.0,8.743847977317874e-18,5.374846946102005e-19,2.3733699357299187e-16,0.0,4.746739871459837e-14,1.0
42.31,0.0,0.0,0.0,0.0,6.149461377193666e-18,3.10030116648509e-20,2.5501733849167274e-16,0.0,5.1003467698334545e-14,1.0
42.32,0.0,0.0,0.0,0.0,-2.217790086341166e-18,-1.268072324778941e-18,1.9960314979119244e-16,0.0,3.992062995823849e-14,1.0
42.33,0.0,0.0,0.0,0.0,-5.275293381366183e-19,-1.0707568677895931e-18,1.952020545964043e-16,0.0,3.904041091928086e-14,1.0
42.34,0.0,0.0,0.0,0.0,1.967897392284672e-18,-2.128320261306066e-17,1.5262486664001326e-16,0.0,3.052497332800265e-14,1.0
42.35,0.0,0.0,0.0,0.0,2.4974262370398863e-17,2.2935624419969278e-18,1.347373262056229e-16,0.0,2.694746524112458e-14,1.0
42.36,0.0,0.0,0.0,0.0,7.754704194399636e-18,-1.0957749209365699e-17,1.819219893738083e-16,0.0,3.6384397874761656e-14,1.0
42.37,0.0,0.0,0.0,0.0,1.3339415848124902e-17,-1.1057382428526313e-17,2.7750391677435723e-16,0.0,5.5500783354871446e-14,1.0
42.38,0.0,0.0,0.0,0.0,3.332075675693707e-18,-1.7092952429841967e-17,2.2328106260973514e-16,0.0,4.4656212521947025e-14,1.0
42.39,0.0,0.0,0.0,0.0,-2.9370172939237135e-18,-6.022716514875361e-18,1.390045820558224e-16,0.0,2.780091641116448e-14,1.0
42.4,0.0,0.0,0.0,0.0,1.9361824908394895e-17,-3.1942546812001403e-18,1.0600611704613344e-16,0.0,2.120122340922669e-14,1.0
42.410000000000004,0.0,0.0,0.0,0.0,1.7883870561373662e-17,-2.1262477046573266e-17,1.4174167830328752e-16,0.0,2.8348335660657503e-14,1.0
42.42,0.0,0.0,0.0,0.0,4.709268309348484e-18,-1.4881746757819724e-17,1.5403910837687273e-16,0.0,3.0807821675374547e-14,1.0
42.43,0.0,0.0,0.0,0.0,-8.869823059698203e-19,-1.407308904617429e-18,1.0855077388351044e-16,0.0,2.1710154776702085e-14,1.0
42.44,0.0,0.0,0.0,0.0,2.4806327124661067e-17,-5.507627779578117e-18,1.2145913354130272e-16,0.0,2.4291826708260544e-14,1.0
42.45,0.0,0.0,0.0,0.0,-2.692056682761958e-19,-2.1973638184955174e-17,5.658272924965571e-17,0.0,1.1316545849931142e-14,1.0
42.46,0.0,0.0,0.0,0.0,2.614872934281883e-17,1.4252982656577285e-18,5.587674995819246e-17,0.0,1.1175349991638491e-14,1.0
42.47,0.0,0.0,0.0,0.0,1.945442103442872e-18,-2.1115806435876046e-17,6.570354390052623e-17,0.0,1.3140708780105245e-14,1.0
42.480000000000004,0.0,0.0,0.0,0.0,1.3645037079640717e-17,-5.117166921674511e-18,6.767691054975985e-17,0.0,1.353538210995197e-14,1.0
42.49,0.0,0.0,0.0,0.0,7.128398330565535e-18,-8.474611554002961e-18,1.0362058768230907e-16,0.0,2.0724117536461813e-14,1.0
42.5,0.0,0.0,0.0,0.0,-1.6367732710991365e-18,-1.6808615162698758e-17,1.2277249211027268e-16,0.0,2.4554498422054536e-14,1.0
42.51,0.0,0.0,0.0,0.0,-1.1911123435458619e-18,8.790204853140197e-19,7.976155333636392e-17,0.0,1.5952310667272785e-14,1.0
42.52,0.0,0.0,0.0,0.0,-3.9010703966401645e-18,-3.983533419024943e-18,9.374157631757646e-17,0.0,1.874831526351529e-14,1.0
42.53,0.0,0.0,0.0,0.0,8.401428236623744e-19,-6.021384711407051e-19,5.5172560161049756e-17,0.0,1.1034512032209951e-14,1.0
42.54,0.0,0.0,0.0,0.0,1.8040085939060992e-17,-1.3660814576138682e-18,6.244207641353305e-17,0.0,1.248841528270661e-14,1.0
42.550000000000004,0.0,0.0,0.0,0.0,1.3117467175513028e-17,-1.3725500640453528e-17,1.0910551465494712e-16,0.0,2.1821102930989425e-14,1.0
42.56,0.0,0.0,0.0,0.0,1.3415202383397768e-20,-9.598230638252291e-18,7.999722606843413e-17,0.0,1.5999445213686825e-14,1.0
42.57,0.0,0.0,0.0,0.0,-2.8361089530419955e-18,2.6169505644621097e-18,3.6379501855047565e-17,0.0,7.275900371009513e-15,1.0
42.58,0.0,0.0,0.0,0.0,2.142183318850959e-17,-2.0798842678472993e-18,3.762269065516883e-17,0.0,7.524538131033765e-15,1.0
42.59,0.0,0.0,0.0,0.0,1.2167454055330162e-17,-1.0150257110096104e-17,7.389882885842214e-17,0.0,1.4779765771684427e-14,1.0
42.6,0.0,0.0,0.0,0.0,1.1559647285595219e-17,-1.1456200815070472e-17,6.119739599378602e-17,0.0,1.2239479198757202e-14,1.0
42.61,0.0,0.0,0.0,0.0,8.088365897831777e-18,-7.84854109783255e-21,4.183290488294126e-17,0.0,8.366580976588251e-15,1.0
