time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],quadChassisTest17_1.perRotorDisturbance
10.94,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004583913245973104,3.477638795988242e-11,1.4989681685575844,0.008472754276635776,-4.589570881630661e-10,0.00200708783803849,-7.372099010962385e-11,-0.0028085728821015065,1.0841016863489007e-08,-3.355080059255251e-10,-0.007901185627089613,4.906209988874535e-10,0.9999960559617753,1.0841223913990463e-08,0.0028085691897276,-1.0840974106104103e-08,0.9999999999999998,-1.041687360577364e-10,-0.0028085691897276007,7.37206993512209e-11,0.9999960559617753,14.142217841495132,-14.14221784153595,14.143819306169814,-14.143819306128998,14.142206984546343,-14.142206984583531,14.143829244048765,-14.14382924400662,-0.006465637339733744,2.0705634937174553e-10,1.6001879521801665,1.9595444548348675e-13,7.688161237060075e-06,0.0,6.239732932079096e-16,0.0,0.004698610089395066,0.0012319535110929833,1.0000315653178695,1.0,1.0,0.00020400174408605277,3600.0,914.0,0.0
10.950000000000001,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004667171693019707,3.0223430740805795e-11,1.4989881247475574,0.008177801855655868,-4.5166233422683235e-10,0.0019841484920401983,-7.621764603878043e-11,-0.0028842616181952987,1.0845902818042234e-08,-3.308846861966846e-10,-0.007240225665338693,4.87411271540288e-10,0.9999958405203424,1.0846122649368537e-08,0.0028842576191850126,-1.0845857704730093e-08,1.0,-1.0750002387865894e-10,-0.0028842576191850135,7.621732901303218e-11,0.9999958405203424,14.142236184148569,-14.142236184197449,14.143802618558707,-14.143802618509833,14.142224887655457,-14.142224887686659,14.143812628817372,-14.143812628741424,-0.006363377896518035,2.0578860653025103e-10,1.6001882895334136,2.3464225428391476e-13,7.519991629306658e-06,0.0,6.136245986626679e-16,0.0,0.004775602908390756,0.0010923604128238033,1.0000315310962378,1.0,1.0,0.0002035386967345312,3600.0,914.0,0.0
10.96,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004747446250579219,2.5745792038525897e-11,1.4990078514782241,0.0078760908276238,-4.4379870107074953e-10,0.0019611977032145,-7.869161848386456e-11,-0.0029534124237979675,1.0850730458787145e-08,-3.1271496871403753e-10,-0.0065936744660275185,4.879210291246096e-10,0.9999956386806979,1.0850962867252954e-08,0.0029534081302051815,-1.0850683135286951e-08,1.0,-1.1073825403951155e-10,-0.0029534081302051824,7.869127528458996e-11,0.9999956386806979,14.142255103028933,-14.142255103077831,14.143785959926527,-14.143785959877635,14.142243590664062,-14.142243590713399,14.143795826239261,-14.143795826230967,-0.006256301108863234,2.042043193171578e-10,1.6001887442409481,2.3472815987008567e-13,7.349195020529363e-06,0.0,5.979970921108273e-16,0.0,0.004850010782606645,0.0009562944905810165,1.0000314969741881,1.0,1.0,0.00020310248148902943,3600.0,914.0,0.0
10.97,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004824672631018624,2.1348203565943258e-11,1.499027348669032,0.0075682629557685755,-4.3564872910763675e-10,0.001938241538989619,-8.10441004601404e-11,-0.0030161711687329267,1.0855534469120089e-08,-2.926943740270179e-10,-0.005961861414375438,4.721403598292764e-10,0.9999954513591889,1.0855778911628664e-08,0.0030161665955717822,-1.0855485091192974e-08,1.0,-1.1378620090297847e-10,-0.003016166595571783,8.104373181963754e-11,0.9999954513591889,14.142274543433414,-14.142274543481099,14.14376939981003,-14.14376939976235,14.14226260951109,-14.142262609567728,14.143779295383567,-14.143779295334195,-0.006144688584883637,2.024393895702024e-10,1.600189313669357,2.2890737070795244e-13,7.1763678080157494e-06,0.0,5.860162711239715e-16,0.0,0.004921739185301679,0.0008237858796238914,1.000031462947076,1.0,1.0,0.00020269773004314505,3600.0,914.0,0.0
10.98,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048987927444328495,1.7031896759612746e-11,1.4990466162941467,0.007254940453275352,-4.276389379006834e-10,0.0019152860866539277,-8.33220804692919e-11,-0.0030726855603013196,1.0860269605476615e-08,-2.883565212938349e-10,-0.0053448909446949,4.769388163176415e-10,0.9999952793054379,1.0860525627627258e-08,0.0030726807252297915,-1.0860218337460946e-08,1.0,-1.1669222155683886e-10,-0.0030726807252297924,8.332168713119973e-11,0.9999952793054379,14.14229451245713,-14.142294512513104,14.143752944837185,-14.143752944781216,14.142282291212146,-14.142282291253663,14.143762743293374,-14.143762743278913,-0.006028815498254852,2.0070196299913308e-10,1.6001899951496934,2.6869870850341853e-13,7.00150768899789e-06,0.0,5.728681847646671e-16,0.0,0.004990702439887044,0.0006948588573143716,1.0000314290094898,1.0,1.0,0.00020231654670971541,3600.0,914.0,0.0
10.99,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004969754710361976,1.279752809998296e-11,1.4990656543924454,0.006936732817843942,-4.1924604672494593e-10,0.0018923376407558336,-8.559068647803049e-11,-0.0031231051269188055,1.0865002486621314e-08,-2.768934972052416e-10,-0.00474294706082843,4.693635629701201e-10,0.999995123111147,1.0865269794898526e-08,0.0031231000499049606,-1.0864949499211802e-08,1.0,-1.1952317628621503e-10,-0.0031231000499049614,8.559026906176568e-11,0.999995123111147,14.142314986314087,-14.142314986374208,14.143736630601515,-14.143736630541401,14.142302487425765,-14.142302487489422,14.143746315860312,-14.14374631583128,-0.005908953939451906,1.9873557732186456e-10,1.6001907858900355,2.8860638281044437e-13,6.824899783077341e-06,0.0,5.602160776093206e-16,0.0,0.0050568234688904805,0.000569533953800613,1.0000313951573503,1.0,1.0,0.0002019597098037393,3600.0,914.0,0.0
11.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005037512661332529,8.649725971430917e-12,1.4990844630659137,0.00661423420237435,-4.102557191661713e-10,0.0018694026093513598,-8.77475332527848e-11,-0.0031675809964494886,1.0869684035952324e-08,-2.5022469905034e-10,-0.0041561896240826365,4.677290192950524e-10,0.9999949832195103,1.0869961982906341e-08,0.003167575699428202,-1.0869629505133523e-08,1.0,-1.2217808026553006e-10,-0.003167575699428203,8.774709304267196e-11,0.9999949832195103,14.142335941972034,-14.142335942027012,14.143720490265684,-14.14372049021071,14.142323165603619,-14.142323165629644,14.143730055350934,-14.143730055277066,-0.005785371529412546,1.9643298031184048e-10,1.6001916830175678,2.6392755770817035e-13,6.646813879944185e-06,0.0,5.47057684573885e-16,0.0,0.005120033368129712,0.0004478273071002882,1.0000313613864555,1.0,1.0,0.00020162632690387482,3600.0,914.0,0.0
11.01,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102026592846506,4.591543853452768e-12,1.4991030424810392,0.00628802295608439,-4.0133795670330857e-10,0.0018464874632571555,-8.975623873468338e-11,-0.0032062657068433853,1.087432407889319e-08,-2.35282205022993e-10,-0.0035847402340969405,4.6016928027501824e-10,0.9999948599345119,1.0874611860750348e-08,0.0032062602133696,-1.0874268184155289e-08,1.0,-1.2462215137612563e-10,-0.003206260213369601,8.975577738173832e-11,0.9999948599345119,14.142357361606138,-14.142357361662866,14.14370455020102,-14.143704550144296,14.14234428583683,-14.14234428593385,14.143714006014791,-14.143714005986253,-0.005658331119054648,1.9412057322147537e-10,1.6001926836002556,2.723325150094334e-13,6.467462063700008e-06,0.0,5.325394523987556e-16,0.0,0.005180271049369254,0.0003297506645069873,1.000031327692761,1.0,1.0,0.00020131382999435824,3600.0,914.0,0.0
11.02,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051632622073834265,6.24570177430527e-13,1.499121392869416,0.005958662366953875,-3.9203225225658204e-10,0.001823598771860295,-9.163264815476416e-11,-0.003239312929649849,1.0878927025680106e-08,-2.121966572568241e-10,-0.0030287186221208445,4.628086549765801e-10,0.9999947534304598,1.0879223851982944e-08,0.0032393072645543514,-1.087886994863294e-08,1.0,-1.268728354996064e-10,-0.0032393072645543522,9.163216739770346e-11,0.9999947534304598,14.142379221759757,-14.142379221813139,14.143688840611308,-14.143688840557932,14.14236587733788,-14.142365877355095,14.143698155509545,-14.14369815545338,-0.005528091073778877,1.915721482205743e-10,1.6001937846307739,2.562558854254785e-13,6.2871019882418715e-06,0.0,5.563070127047274e-16,0.0,0.005237482898502577,0.0002153118367785145,1.000031294072659,1.0,1.0,0.00020102252017753568,3600.0,914.0,0.0
11.03,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052211907598585395,-3.248528418520358e-12,1.4991395145283033,0.0056266996482840755,-3.8252746665921026e-10,0.0018007431019968609,-9.334087515803299e-11,-0.0032668773516732162,1.0883573113517843e-08,-1.8810044300723838e-10,-0.0024882047817014687,4.678235582243466e-10,0.9999946637609303,1.0883878046166481e-08,0.003266871540724961,-1.0883515036169775e-08,0.9999999999999998,-1.2889611042398376e-10,-0.003266871540724962,9.334037706880817e-11,0.9999946637609303,14.142401504982233,-14.142401505031373,14.143673384201902,-14.143673384152768,14.142387911954362,-14.142387912008273,14.143682537743818,-14.143682537688637,-0.005394904699254863,1.888787982835131e-10,1.600194983070781,2.3588754428182313e-13,6.105926398545898e-06,0.0,4.97799706693292e-16,0.0,0.005291622454203748,0.00010451445742758063,1.0000312605224984,1.0,1.0,0.000200749231575804,3600.0,914.0,0.0
11.040000000000001,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005275788900958093,-7.026885662816656e-12,1.499157407820884,0.005292666558108448,-3.7312748776922564e-10,0.001777927048526695,-9.491424271492573e-11,-0.0032891144274573053,1.0888240732425464e-08,-1.75415178870035e-10,-0.0019632682715571884,4.663844496819132e-10,0.9999945908680179,1.0888552915667667e-08,0.0032891084970371517,-1.088818183649429e-08,1.0,-1.3072684782573234e-10,-0.0032891084970371525,9.491372931125991e-11,0.9999945908680179,14.142424191116538,-14.142424191168141,14.143658204717175,-14.143658204665577,14.142410363181302,-14.14241036323167,14.143667182058419,-14.143667182010837,-0.005259020465365417,1.861888292681684e-10,1.6001962758373216,2.477204722308324e-13,5.924146003342695e-06,0.0,4.857587154719993e-16,0.0,0.005342650101567574,2.641629897866061e-06,1.0000312270391631,1.0,1.0,0.00020049288138341095,3600.0,914.0,0.0
11.05,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005327038520425944,-1.07105134839163e-11,1.499175073176272,0.004957079164194362,-3.6362203823898513e-10,0.001755157200394146,-9.641855195083982e-11,-0.0033061802178481086,1.0892899377078023e-08,-1.646730110269709e-10,-0.0014539613131880661,4.662998871808619e-10,0.999994534591162,1.0893218153606366e-08,0.0033061741946370524,-1.0892839842929496e-08,1.0,-1.324323747761132e-10,-0.0033061741946370533,9.641802498403384e-11,0.999994534591162,14.142447259556373,-14.142447259611586,14.143643324759665,-14.143643324704458,14.142433208952683,-14.142433208972514,14.143652112965423,-14.14365211291262,-0.005120681811918517,1.8339932274349857e-10,1.6001976598177758,2.6504258540194663e-13,5.741968249450671e-06,0.0,4.658785015933415e-16,0.0,0.005390532780960308,0.00010616033152973016,1.000031193619724,1.0,1.0,0.00020025219790988723,3600.0,914.0,0.0
11.06,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005374926589889326,-1.4297141732346628e-11,1.499192511089348,0.004620437776543727,-3.536307393282848e-10,0.0017324401188365207,-9.782027825381093e-11,-0.0033182312129852467,1.089758980427227e-08,-1.3988820469283427e-10,-0.0009603180753225745,4.753761175395007e-10,0.9999944946758599,1.0897914393977174e-08,0.003318225123670211,-1.0897529809508052e-08,0.9999999999999998,-1.3398093452979948e-10,-0.003318225123670212,9.781973972147166e-11,0.9999944946758599,14.142470689629874,-14.142470689680074,14.143628765446987,-14.143628765396791,14.142456428852093,-14.142456428949249,14.143637352327167,-14.14363735230945,-0.00498012703611191,1.8032294649856984e-10,1.6001991318795379,2.409829716259307e-13,5.559593789789574e-06,0.0,4.499595446036701e-16,0.0,0.005435243710039615,0.00020604919721706587,1.0000311602614687,1.0,1.0,0.0002000258175559306,3600.0,914.0,0.0
11.07,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005419445005221162,-1.7782269868851717e-11,1.4992097221203948,0.004283226929990311,-3.433775878691575e-10,0.0017097823189096693,-9.898815073424793e-11,-0.0033254241569420665,1.0902378784893373e-08,-1.0947962427231255e-10,-0.0004823553450646009,4.858109242252813e-10,0.9999944707821837,1.0902707961874377e-08,0.0033254180279416417,-1.0902318503266352e-08,1.0,-1.3524311769298085e-10,-0.0033254180279416426,9.89876034072013e-11,0.9999944707821837,14.142494460562071,-14.142494460603361,14.14361454648715,-14.143614546445862,14.142480002417972,-14.142480002465494,14.14362292070253,-14.143622920682228,-0.004837589204284125,1.7706706396591545e-10,1.600200688878334,1.9822013081236225e-13,5.3772169354923126e-06,0.0,4.434282019270316e-16,0.0,0.005476762117493314,0.0003023193000229625,1.0000311269619178,1.0,1.0,0.0001998124239755264,3600.0,914.0,0.0
11.08,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005460590428779589,-2.1166617592588483e-11,1.4992267068945468,0.003945915386205192,-3.3348295607316805e-10,0.0016871902516909817,-1.0000041149445296e-10,-0.0033279158777903173,1.0907237394079224e-08,-9.8777011944346e-11,-2.0073294441498966e-05,4.871200548956817e-10,0.9999944624930657,1.0907570186422139e-08,0.003327909735002298,-1.090717699517652e-08,0.9999999999999998,-1.362987130001903e-10,-0.003327909735002299,9.999985774148088e-11,0.9999944624930657,14.142518551422624,-14.142518551466637,14.143600686275084,-14.143600686231075,14.142503908827054,-14.142503908893243,14.143608837127845,-14.143608837044196,-0.004693296073103085,1.7393569277774596e-10,1.600202327666331,2.1129140112151333e-13,5.1950263879651495e-06,0.0,4.2686997867587225e-16,0.0,0.005515072987533405,0.0003949851157415887,1.0000310937188153,1.0,1.0,0.00019961075393991074,3600.0,914.0,0.0
11.09,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549836413172138,-2.445111330612618e-11,1.499243466101063,0.0036089561433778976,-3.234972352381184e-10,0.0016646702873669222,-1.0093691586629893e-10,-0.0033258631237629856,1.0912074796864978e-08,-8.80427269415903e-11,0.00042654411335364277,4.782086641099738e-10,0.9999944693223393,1.0912410498612397e-08,0.003325856992335097,-1.0912014445696663e-08,1.0,-1.3722891613033592e-10,-0.003325856992335098,1.009363576167532e-10,0.9999944693223393,14.14254294120096,-14.142542941247582,14.143587201867074,-14.143587201820456,14.142528127194298,-14.142528127235169,14.143595119451271,-14.143595119377448,-0.004547470014549118,1.7070923251197914e-10,1.6002040450999442,2.2380674629960132e-13,5.013204938373342e-06,0.0,4.085707676769364e-16,0.0,0.005550166814181451,0.00048406440603340544,1.00003106053012,1.0,1.0,0.00019941958565992566,3600.0,914.0,0.0
