time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16]
25.53,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3480724073000911e-14,0.9999999999715244,1.4999999999605236,2.864695886757709e-14,-1.1586719665842108e-11,1.5710758166807282e-10,-1.0907144779683803e-11,-2.554087077024761e-14,4.817518678584694e-09,-1.5647679274314785e-11,5.68541386247906e-14,-1.0262707147851734e-10,1.0,4.817518678584694e-09,2.5540818224873903e-14,-4.817518678584694e-09,1.0,-1.0907144779806847e-11,-2.554087077024761e-14,1.0907144779683803e-11,1.0,14.144641520685086,-14.144641520690437,14.144641520690435,-14.144641520685083,14.14464152068321,-14.144641520688646,14.144641520688646,-14.14464152068321,-2.0840186183331206e-14,2.0073881501792788e-11,1.6005670699901131,2.5693418081180813e-14,-7.797566228296852e-18,0.0,2.8886948729520823e-18,0.0,4.867489427457748e-11,1.6346340841750813e-12,0.9999996845199479,1.0,1.0,-2.0624709103012586e-06,3600.0,914.0
25.54,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376539488614415e-14,0.9999999999714158,1.4999999999620754,2.8010524197444866e-14,-1.0455084581248959e-11,1.54049800776262e-10,-1.1049595117170693e-11,-2.556055313397244e-14,4.816492407833722e-09,-1.3433392326526284e-11,-2.160514405739424e-14,-1.0262707720934201e-10,1.0,4.816492407833722e-09,2.5560499913681444e-14,-4.816492407833722e-09,1.0,-1.1049595117293804e-11,-2.556055313397244e-14,1.1049595117170693e-11,1.0,14.144641520687733,-14.14464152069293,14.144641520692979,-14.144641520687781,14.144641520685873,-14.144641520691183,14.144641520691183,-14.14464152068587,-2.067265290454949e-14,1.9574954289923564e-11,1.6005670699907006,2.4954758992303963e-14,2.291968639400975e-16,0.0,3.992395864664718e-18,0.0,4.749032519682708e-11,1.1804844920005455e-12,0.9999996847553386,1.0,1.0,-2.060932105946621e-06,3600.0,914.0
25.55,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4030221780104419e-14,0.9999999999713184,1.499999999963597,2.5440460195839623e-14,-9.31190751760608e-12,1.5102764370805447e-10,-1.1170174505349323e-11,-2.5803226003437573e-14,4.815466137114954e-09,-1.1264300175068402e-11,-1.9634466477957568e-14,-1.0262706990005999e-10,1.0,4.815466137114954e-09,2.5803172213840493e-14,-4.815466137114954e-09,1.0,-1.1170174505473578e-11,-2.5803226003437573e-14,1.1170174505349323e-11,1.0,14.144641520690408,-14.14464152069544,14.144641520695489,-14.144641520690456,14.144641520688515,-14.144641520693668,14.14464152069373,-14.144641520688575,-1.9548629205383433e-14,1.9064649968455076e-11,1.6005670699912873,2.4159768216463845e-14,2.3556902164535843e-16,0.0,4.7506516471414825e-18,0.0,4.634458965893343e-11,7.411347800820489e-13,0.9999996849905353,1.0,1.0,-2.059394576377333e-06,3600.0,914.0
25.560000000000002,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4270751448365364e-14,0.9999999999712327,1.4999999999650886,2.3088186292936212e-14,-8.158709169320954e-12,1.4804150282493625e-10,-1.1269119871515725e-11,-2.6091970061237175e-14,4.814439866522477e-09,-9.11479257837547e-12,-2.7915003043786513e-14,-1.0262705422670807e-10,1.0,4.814439866522477e-09,2.6091915806737202e-14,-4.814439866522477e-09,1.0,-1.1269119871641343e-11,-2.6091970061237175e-14,1.1269119871515725e-11,1.0,14.144641520693085,-14.144641520697924,14.14464152069798,-14.144641520693142,14.144641520691199,-14.144641520696181,14.144641520696231,-14.144641520691245,-1.8518918047349996e-14,1.8543544411272335e-11,1.6005670699918724,2.3230017766199263e-14,2.725277298008928e-16,0.0,2.629836725364385e-18,0.0,4.5236769956915755e-11,3.168222101391834e-13,0.9999996852255382,1.0,1.0,-2.0578582907190767e-06,3600.0,914.0
25.57,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4466017179981207e-14,0.9999999999711584,1.4999999999665508,1.777230128401443e-14,-7.002185285558793e-12,1.4509262690732332e-10,-1.1348057619032644e-11,-2.5547464203802854e-14,4.8134135960293024e-09,-7.180932199326525e-12,8.909062159473742e-14,-1.0262704734611989e-10,1.0,4.8134135960293024e-09,2.5547409580908018e-14,-4.8134135960293024e-09,1.0,-1.1348057619155613e-11,-2.5547464203802854e-14,1.1348057619032644e-11,1.0,14.144641520695748,-14.144641520700485,14.144641520700473,-14.144641520695734,14.144641520693874,-14.144641520698658,14.144641520698718,-14.144641520693934,-1.601571415434178e-14,1.8015027294057885e-11,1.6005670699924557,2.2747307516576066e-14,-6.52364072399581e-17,0.0,2.6969128774159493e-18,0.0,4.416661339375343e-11,9.394902555692797e-14,0.9999996854603476,1.0,1.0,-2.056323192877043e-06,3600.0,914.0
25.580000000000002,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.463095231234392e-14,0.9999999999710956,1.499999999967983,1.5848794714773304e-14,-5.840245216357181e-12,1.421784529382307e-10,-1.1408044913049514e-11,-2.4772624669324862e-14,4.812387325489876e-09,-5.295529660366417e-12,6.66826459840042e-14,-1.0262705631977498e-10,1.0,4.812387325489876e-09,2.4772569769394112e-14,-4.812387325489876e-09,1.0,-1.1408044913168728e-11,-2.4772624669324862e-14,1.1408044913049514e-11,1.0,14.144641520698372,-14.144641520703,14.144641520703,-14.144641520698372,14.144641520696537,-14.144641520701239,14.14464152070121,-14.144641520696506,-1.515763712861433e-14,1.7478075306265897e-11,1.6005670699930385,2.2232123934274312e-14,-1.1160009788367913e-18,0.0,4.5048840356351165e-18,0.0,4.31341905699692e-11,4.883578797188764e-13,0.9999996856949636,1.0,1.0,-2.0547894734321e-06,3600.0,914.0
25.59,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4783342768521195e-14,0.9999999999710446,1.4999999999693865,1.458831893628766e-14,-4.671357078295096e-12,1.392994070456834e-10,-1.1448412458402628e-11,-2.4489608142661124e-14,4.811361054998173e-09,-3.3145436995993944e-12,1.8341402870436766e-14,-1.026270449930109e-10,1.0,4.811361054998173e-09,2.448955306021528e-14,-4.811361054998173e-09,1.0,-1.1448412458520456e-11,-2.4489608142661124e-14,1.1448412458402628e-11,1.0,14.144641520701025,-14.144641520705452,14.144641520705482,-14.144641520701056,14.144641520699148,-14.144641520703743,14.144641520703745,-14.144641520699148,-1.4617748900433927e-14,1.6931714022857712e-11,1.6005670699936196,2.1251556794954952e-14,1.4461353929483223e-16,0.0,2.220519932157683e-16,0.0,4.213789434076093e-11,8.699759868147336e-13,0.9999996859293864,1.0,1.0,-2.053257018715479e-06,3600.0,914.0
25.6,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.492019506078859e-14,0.9999999999710054,1.4999999999707616,1.2923140509823983e-14,-3.504321569219103e-12,1.3645637755804717e-10,-1.1470269245111085e-11,-2.456465661285992e-14,4.810334784640134e-09,-1.5292013362695672e-12,-1.2794664937093615e-14,-1.0262703251729423e-10,1.0,4.810334784640134e-09,2.456460143702478e-14,-4.810334784640134e-09,1.0,-1.147026924522925e-11,-2.456465661285992e-14,1.1470269245111085e-11,1.0,14.144641520703638,-14.14464152070794,14.14464152070799,-14.144641520703688,14.144641520701809,-14.144641520706179,14.144641520706214,-14.144641520701844,-1.387191186467633e-14,1.6380307275361145e-11,1.6005670699941992,2.06582604573118e-14,2.4505514030404683e-16,0.0,4.918694210933908e-18,0.0,4.1177294391403114e-11,1.236306561932787e-12,0.9999996861636162,1.0,1.0,-2.0517257704613618e-06,3600.0,914.0
25.61,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5041009783752724e-14,0.9999999999709779,1.4999999999721083,1.146055566800774e-14,-2.3361815781965134e-12,1.3364878564613558e-10,-1.147423173433134e-11,-2.4983374236156764e-14,4.809308514335274e-09,2.590159657717969e-13,-5.361274030648412e-14,-1.0262702832644059e-10,1.0,4.809308514335274e-09,2.498331905303639e-14,-4.809308514335274e-09,1.0,-1.1474231734451491e-11,-2.4983374236156764e-14,1.147423173433134e-11,1.0,14.144641520706257,-14.144641520710396,14.144641520710476,-14.144641520706335,14.144641520704411,-14.144641520708676,14.144641520708731,-14.144641520704468,-1.3217126747787464e-14,1.5822463800029446e-11,1.6005670699947767,1.9875993320927285e-14,3.7827092869090245e-16,0.0,2.997866067248249e-18,0.0,4.0252079136829756e-11,1.5887835183915592e-12,0.9999996863976534,1.0,1.0,-2.050195795946438e-06,3600.0,914.0
25.62,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5138977970110303e-14,0.9999999999709619,1.4999999999734277,8.700540066387706e-15,-1.1698279701934705e-12,1.3087669494019107e-10,-1.1460576769752244e-11,-2.5477728827806083e-14,4.808282244004712e-09,2.001713128919337e-12,-4.196086264225942e-14,-1.026270363362085e-10,1.0,4.808282244004712e-09,2.5477673722118295e-14,-4.808282244004712e-09,1.0,-1.1460576769874748e-11,-2.5477728827806083e-14,1.1460576769752244e-11,1.0,14.14464152070889,-14.144641520712856,14.14464152071293,-14.144641520708964,14.14464152070703,-14.14464152071112,14.14464152071121,-14.144641520707117,-1.1915732677454842e-14,1.525965474218314e-11,1.6005670699953523,1.9041590765737516e-14,3.6031197541973945e-16,0.0,4.1877697997366e-18,0.0,3.936113449504709e-11,1.9267559400409618e-12,0.9999996866314979,1.0,1.0,-2.04866707342764e-06,3600.0,914.0
25.63,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521213525744852e-14,0.9999999999709573,1.4999999999747193,6.339557214465662e-15,-6.83373108964527e-15,1.2813982705679757e-10,-1.1429702606027837e-11,-2.5985464686603972e-14,4.807255973635363e-09,3.704514269426903e-12,-4.910290261021906e-14,-1.0262703567765985e-10,1.0,4.807255973635363e-09,2.5985409741097843e-14,-4.807255973635363e-09,1.0,-1.1429702606152754e-11,-2.5985464686603972e-14,1.1429702606027837e-11,1.0,14.144641520711513,-14.14464152071529,14.144641520715373,-14.144641520711595,14.144641520709666,-14.144641520713582,14.144641520713657,-14.14464152070974,-1.0797104189432321e-14,1.469270618479778e-11,1.6005670699959256,1.8136648207278236e-14,3.9742428773872684e-16,0.0,1.9675387332392065e-18,0.0,3.850439277412255e-11,2.250096950245244e-12,0.99999968686515,1.0,1.0,-2.0471396158435983e-06,3600.0,914.0
25.64,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5252659202576655e-14,0.9999999999709646,1.4999999999759837,2.7449583705450092e-15,1.1488342004499566e-12,1.2543887538068094e-10,-1.1382794546225595e-11,-2.6195211519827948e-14,4.806229703223294e-09,5.268736283069809e-12,-5.819848679634985e-15,-1.0262704615906652e-10,1.0,4.806229703223294e-09,2.6195156811502696e-14,-4.806229703223294e-09,1.0,-1.1382794546351495e-11,-2.6195211519827948e-14,1.1382794546225595e-11,1.0,14.144641520714117,-14.144641520717755,14.144641520717814,-14.144641520714176,14.144641520712286,-14.144641520716009,14.144641520716094,-14.144641520712371,-9.058152139159424e-15,1.4123391365062313e-11,1.6005670699964964,1.7458221450443582e-14,2.8442580474833437e-16,0.0,5.935856213551604e-18,0.0,3.7680788898258913e-11,2.558884735506479e-12,0.9999996870986099,1.0,1.0,-2.045613371843248e-06,3600.0,914.0
25.650000000000002,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5253180842876054e-14,0.9999999999709834,1.4999999999772209,-1.407807486846689e-15,2.296408741567324e-12,1.2277340407175115e-10,-1.1320904041726822e-11,-2.5798972952814663e-14,4.805203432714886e-09,6.7254750917519334e-12,6.15874509899726e-14,-1.0262705240676462e-10,1.0,4.805203432714886e-09,2.57989185535677e-14,-4.805203432714886e-09,1.0,-1.1320904041850792e-11,-2.5798972952814663e-14,1.1320904041726822e-11,1.0,14.144641520716705,-14.14464152072023,14.144641520720251,-14.144641520716727,14.144641520714886,-14.144641520718482,14.144641520718537,-14.144641520714941,-7.0257614572127065e-15,1.3552141900558368e-11,1.600567069997065,1.692318594707786e-14,9.356011895396599e-17,0.0,3.2927628681835917e-18,0.0,3.6889691367781804e-11,2.8538965538227217e-12,0.9999996873318778,1.0,1.0,-2.0440883894655214e-06,3600.0,914.0
25.66,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5217191914479934e-14,0.9999999999710136,1.4999999999784321,-4.7807541269015195e-15,3.4356567914383088e-12,1.201424492280122e-10,-1.1244820990203403e-11,-2.4921949026083464e-14,4.804177162202923e-09,8.124495337037069e-12,9.917985630088187e-14,-1.0262705055705442e-10,1.0,4.804177162202923e-09,2.4921895003971267e-14,-4.804177162202923e-09,1.0,-1.1244820990323131e-11,-2.4921949026083464e-14,1.1244820990203403e-11,1.0,14.144641520719276,-14.14464152072269,14.144641520722686,-14.144641520719272,14.144641520717471,-14.14464152072096,14.14464152072097,-14.14464152071748,-5.356602403836587e-15,1.2979240347644158e-11,1.6005670699976315,1.639022148517862e-14,-1.7061304395367636e-17,0.0,2.379950596730598e-18,0.0,3.613007523271963e-11,3.1357440317321827e-12,0.9999996875649539,1.0,1.0,-2.0425647057610853e-06,3600.0,914.0
25.67,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5173469447503462e-14,0.999999999971055,1.4999999999796174,-4.4936797396159085e-15,4.566761552132254e-12,1.175456419498059e-10,-1.115463782720321e-11,-2.4746196773480634e-14,4.803150891701182e-09,9.531658971600094e-12,-1.4943048043882522e-14,-1.0262705002669974e-10,1.0,4.803150891701182e-09,2.4746143196072005e-14,-4.803150891701182e-09,1.0,-1.1154637827322068e-11,-2.4746196773480634e-14,1.115463782720321e-11,1.0,14.144641520721807,-14.14464152072507,14.144641520725136,-14.144641520721873,14.144641520720038,-14.144641520723416,14.144641520723406,-14.144641520720025,-5.475002519651783e-15,1.2404653187888509e-11,1.600567069998195,1.5663216109618377e-14,3.220609608739378e-16,0.0,5.644339939256586e-18,0.0,3.540142014958533e-11,3.404543177018457e-12,0.9999996877978385,1.0,1.0,-2.0410422954717603e-06,3600.0,914.0
25.68,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5121894067632304e-14,0.9999999999711076,1.499999999980777,-5.812810889747999e-15,5.6882894964204194e-12,1.1498271384114865e-10,-1.1050342467322544e-11,-2.5267313209928884e-14,4.802124621233676e-09,1.0944888880900554e-11,-6.280528396817549e-14,-1.026270461183385e-10,1.0,4.802124621233676e-09,2.5267260144807246e-14,-4.802124621233676e-09,1.0,-1.1050342467443881e-11,-2.5267313209928884e-14,1.1050342467322544e-11,1.0,14.144641520724367,-14.144641520727436,14.144641520727538,-14.144641520724466,14.144641520722557,-14.144641520725777,14.144641520725859,-14.144641520722637,-4.8032412363387736e-15,1.182913824343384e-11,1.6005670699987566,1.4742088930406153e-14,4.778783010455615e-16,0.0,4.559138459069841e-18,0.0,3.470302401549794e-11,3.6598181635664715e-12,0.9999996880305317,1.0,1.0,-2.039521146057229e-06,3600.0,914.0
