time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16]
24.96,4.960000000000001,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.959640197446651,1.039706431884472e-10,15.000140139204065,1.0000275878483724,1.613437173694652e-10,-9.21329492283693e-05,2.162265940998626e-11,0.00022983034772519224,1.1750861544817133e-08,-5.475311642716533e-10,-0.0004902255355832878,6.962083894705143e-11,0.9999999735890057,1.175086651436042e-08,-0.00022983034570184263,-1.1750861234465197e-08,1.0,2.4323363981126074e-11,0.0002298303457018429,-2.1622658838910326e-11,0.9999999735890057,14.144533234431394,-14.144533234935547,14.144502267260558,-14.144502266756403,14.144530809381274,-14.144530810362607,14.144498452774387,-14.144498451788028,0.0001684795680702449,-1.3155978439622558e-10,1.6005390627840037,2.420547709609957e-12,-1.486824689562427e-07,0.0,1.5010988854073245e-17,0.0,0.0003861306435817992,0.00012456608274663794,1.0000811286607914,1.0,1.0,0.0005290146408088568,3600.0,914.0
24.97,4.969999999999999,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969640586791918,1.0561114679688294e-10,15.00013920918334,1.0000501953436598,1.6592775400895847e-10,-9.385214015970465e-05,1.775578715306405e-11,0.0002248629316043617,1.175156299410514e-08,-2.7496027689633863e-10,-0.0005030062063997797,7.014041819540226e-11,0.9999999747183312,1.175156698672346e-08,-0.00022486292970939147,-1.1751562697006016e-08,1.0,2.0398278036583006e-11,0.00022486292970939168,-1.775578670416812e-11,0.9999999747183312,14.144537394196144,-14.144537394545619,14.144508809509844,-14.144508809160369,14.144535019996589,-14.144535020424314,14.144505072134232,-14.144505071704867,0.0001572169508990219,-1.3463327634793968e-10,1.6005402753445237,1.677908628260446e-12,-1.3724295747974295e-07,0.0,1.1954382661948765e-17,0.0,0.0003854309936538342,0.00012663550589840793,1.0000810580037398,1.0,1.0,0.0005285792884658162,3600.0,914.0
24.98,4.98,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.979641199635892,1.0726269110816708e-10,15.000138262344251,1.0000722860435776,1.6122850132157745e-10,-9.549706965683062e-05,1.5090916118168775e-11,0.0002197726523648886,1.1752275666892192e-08,-4.040352039365144e-10,-0.0005148032739597675,7.295296267633401e-11,0.9999999758499909,1.1752278983462828e-08,-0.0002197726505957179,-1.1752275383074627e-08,1.0,1.7673744892013237e-11,0.0002197726505957181,-1.5090915753723014e-11,0.9999999758499909,14.144541468830962,-14.144541469265796,14.144515221666044,-14.144515221231208,14.144539207819145,-14.144539208083046,14.144511661293704,-14.144511661020061,0.00014609424713167899,-1.3316846041994153e-10,1.6005414634232555,2.087735713158903e-12,-1.2602046681370184e-07,0.0,1.3064453940134783e-17,0.0,0.0003845181102656472,0.00012849463759178722,1.0000809874260956,1.0,1.0,0.0005281399589915183,3600.0,914.0
24.990000000000002,4.990000000000002,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989642030755151,1.0888729065835064e-10,15.000137299423555,1.000093848820184,1.6299671732918523e-10,-9.70690851713469e-05,1.191623211195296e-11,0.00021456926808970724,1.1753016970907626e-08,-2.7433797493454275e-10,-0.0005256352749949598,7.585652650236614e-11,0.9999999769800145,1.1753019527764808e-08,-0.00021456926644324657,-1.1753016700353345e-08,0.9999999999999998,1.4438068341895637e-11,0.00021456926644324674,-1.1916231837641471e-11,0.9999999769800145,14.144545460135204,-14.14454546050042,14.144521503977,-14.14452150361178,14.144543238543324,-14.14454323898998,14.144518006256602,-14.144518005821316,0.00013511954549226746,-1.3485564845498367e-10,1.6005426272531629,1.7534909459369355e-12,-1.1502055006431454e-07,0.0,1.312927654569334e-17,0.0,0.00038339680745611877,0.00013014818269611154,1.0000809169283187,1.0,1.0,0.0005277077058248302,3600.0,914.0
25.0,5.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.999643074819039,1.1048366318273205e-10,15.000136321141714,1.0001148735017267,1.529786175806323e-10,-9.85696941421368e-05,8.051169524169806e-12,0.00020926231957865343,1.175376679047047e-08,-6.521868881007737e-10,-0.0005355214035036378,7.32382291433366e-11,0.9999999781046407,1.1753768475276866e-08,-0.00020926231805136207,-1.1753766533117523e-08,0.9999999999999998,1.0510790008578774e-11,0.00020926231805136217,-8.051169347886557e-12,0.9999999781046407,14.144549369673674,-14.144549370278499,14.144527657614207,-14.144527657009382,14.144547197331551,-14.144547197677852,14.14452423819535,-14.144524237864422,0.00012430052091778215,-1.307595110773893e-10,1.6005437671456624,2.903901290058819e-12,-1.0424732481660724e-07,0.0,2.224133312746839e-16,0.0,0.0003820720331067042,0.00013160088733290637,1.0000808465093938,1.0,1.0,0.000527275550286035,3600.0,914.0
25.01,5.010000000000002,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009644326399632,1.119652022661747e-10,15.000135328205275,1.0001353508350543,1.4094147525867526e-10,-0.00010000039491575166,-3.1178654407466486e-13,0.00020386117031878547,1.1754486625475677e-08,-1.138737065733308e-09,-0.0005444804241723885,6.970750220231985e-11,0.9999999792203118,1.1754486561914509e-08,-0.00020386116890672832,-1.175448638122111e-08,1.0,2.084496839293311e-12,0.00020386116890672832,3.117865375958377e-13,0.9999999792203118,14.144553199601907,-14.14455320052467,14.144533683179246,-14.144533682256478,14.144551077449721,-14.144551078104382,14.14453034563405,-14.144530344947965,0.00011364444791767922,-1.2561703171174937e-10,1.6005448834149767,4.4304044590072524e-12,-9.370714388968108e-08,0.0,1.1884284612328722e-17,0.0,0.00038054885776000184,0.00013285757049285725,1.0000807761692372,1.0,1.0,0.000526841526335258,3600.0,914.0
25.02,5.02,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.019645779981241,1.1333781803148146e-10,15.000134321306165,1.0001552725560126,1.2780188227500046e-10,-0.00010136263054959668,-1.326448360645864e-11,0.0001983749859076436,1.1755172825987041e-08,-1.7159472033371866e-09,-0.0005525344543293189,6.640099381881268e-11,0.9999999803236825,1.1755170194645309e-08,-0.00019837498460654736,-1.1755172594688528e-08,1.0,-1.0932551378056158e-11,0.0001983749846065472,1.326448334546245e-11,0.9999999803236825,14.144556950943846,-14.144556952252625,14.144539582249582,-14.144539580940803,14.14455487765357,-14.14455487875618,14.14453632356295,-14.144536322483486,0.00010315816130223753,-1.198798439044593e-10,1.6005459763581282,6.283738476188722e-12,-8.33973009236499e-08,0.0,8.217708458692324e-18,0.0,0.0003788324629425623,0.00013392312799322904,1.0000807059080281,1.0,1.0,0.0005264071867371278,3600.0,914.0
25.03,5.030000000000001,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0296474299697325,1.1469576028283139e-10,15.00013330112189,1.000174631197902,1.4442976994624393e-10,-0.00010265782868031776,-2.738345637709496e-11,0.00019281272231568401,1.1755828295259108e-08,-1.103313624728247e-09,-0.0005597017899132103,6.444466983885444e-11,0.9999999814116269,1.1755823015380369e-08,-0.00019281272112099272,-1.1755828076737386e-08,0.9999999999999998,-2.5116783134454887e-11,0.0001928127211209924,2.7383455868081056e-11,0.9999999814116269,14.144560626316437,-14.14456062729556,14.144545354808848,-14.144545353829724,14.14455859903014,-14.144558600477085,14.144542174150285,-14.144542172689953,9.284814523294487e-05,-1.2870552474741364e-10,1.6005470462724052,4.701000118184667e-12,-7.332667659158453e-08,0.0,2.221826605858111e-16,0.0,0.00037692813020628516,0.00013480246510244367,1.0000806357257381,1.0,1.0,0.0005259727336632229,3600.0,914.0
25.04,5.039999999999999,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.039649270700146,1.1617585960944278e-10,15.000132268315555,1.0001934202467198,1.4269217112087073e-10,-0.00010388741388164426,-3.748015559065764e-11,0.0001871831370686947,1.1756477131802629e-08,-1.3096357775105696e-09,-0.0005660042668627368,6.520727022437272e-11,0.9999999824812367,1.1756470116149569e-08,-0.00018718313597562277,-1.1756476925843688e-08,1.0,-3.527954133310114e-11,0.00018718313597562234,3.748015493405167e-11,0.9999999824812367,14.144564226357213,-14.144564227492411,14.144551002867393,-14.144551001732195,14.144562281238844,-14.144562282110002,14.144547954619608,-14.144547953759783,8.272045337200313e-05,-1.2860363526417676e-10,1.6005480934607943,5.450341498794649e-12,-6.349444835385382e-08,0.0,5.6377945973451404e-18,0.0,0.0003748412318243128,0.0001355005576109786,1.0000805656223124,1.0,1.0,0.0005255374253248429,3600.0,914.0
25.05,5.050000000000001,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0496512964479505,1.1765080545963004e-10,15.000131223537064,1.0002116339746734,1.56872142576202e-10,-0.00010505276118912643,-4.934986240159153e-11,0.00018149479081730968,1.1757123474296979e-08,-8.93498122540973e-10,-0.0005714609986311611,6.281896738684514e-11,0.9999999835298206,1.1757114517554075e-08,-0.00018149478982089297,-1.1757123280655047e-08,1.0,-4.721600574772572e-11,0.00018149478982089243,4.9349861588790437e-11,0.9999999835298206,14.144567753547605,-14.144567754467916,14.1445565264533,-14.14455652553299,14.144565849611203,-14.144565850806122,14.144553550141195,-14.14455354896649,7.278078469139468e-05,-1.3629031317916424e-10,1.6005491182109235,4.418626434317592e-12,-5.3908282555210826e-08,0.0,4.783483579291023e-18,0.0,0.0003725772186970629,0.00013602240603458068,1.0000804955977949,1.0,1.0,0.0005251027863317702,3600.0,914.0
25.060000000000002,5.060000000000002,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.059653501435007,1.1932341325823626e-10,15.000130167421673,1.0002292674916955,1.7639554579366963e-10,-0.00010615519036642697,-5.4922524214392515e-11,0.00017575603375436508,1.1757751394631876e-08,-2.9100080152145313e-10,-0.0005760914890231834,6.238809716783337e-11,0.9999999845549081,1.1757741741666904e-08,-0.00017575603284950968,-1.1757751213032325e-08,0.9999999999999998,-5.2856028474041215e-11,0.00017575603284950903,5.4922523366109084e-11,0.9999999845549081,14.144571209659576,-14.144571210236103,14.14456192614991,-14.144561925573383,14.144569341823514,-14.14456934263159,14.144559014492124,-14.144559013691481,6.303445523147072e-05,-1.466924155075998e-10,1.6005501207932387,2.7680390610207477e-12,-4.457504871260297e-08,0.0,1.9974614157117024e-18,0.0,0.00037014161237115676,0.00013637303967562817,1.0000804256520266,1.0,1.0,0.0005246711659607735,3600.0,914.0
25.07,5.07,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.069655879840544,1.2120838618584337e-10,15.00012910059185,1.000246316851928,2.0396136835285338e-10,-0.00010719607471795731,-5.382692566726194e-11,0.0001699750159930604,1.1758445114030177e-08,6.382902483328027e-10,-0.0005799208297212784,7.883650802413788e-11,0.999999985554247,1.175843596479767e-08,-0.0001699750151745886,-1.1758444944170584e-08,1.0,-5.182828378057509e-11,0.000169975015174588,5.3826924889691464e-11,0.999999985554247,14.144574595116218,-14.144574595133555,14.144567204151038,-14.1445672041337,14.144572713042683,-14.144572713526914,14.144564276127946,-14.144564275638421,5.3486340432862404e-05,-1.611384524991905e-10,1.6005511015080334,8.324131896246476e-14,-3.548583024791042e-08,0.0,4.480071267766409e-18,0.0,0.0003675399936879277,0.00013655756303175925,1.0000803557845357,1.0,1.0,0.000524239333145948,3600.0,914.0
25.080000000000002,5.080000000000002,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.079658425804651,1.232364901755485e-10,15.000128023655188,1.000262778783397,1.9811898949671996e-10,-0.00010817676426953472,-4.892247336960485e-11,0.0001641596246884243,1.1759216261284375e-08,1.8352487890459095e-10,-0.0005829695042145384,7.500979772149526e-11,0.9999999865258089,1.1759208230189543e-08,-0.00016415962395111878,-1.1759216102838446e-08,1.0,-4.699208485019253e-11,0.00016415962395111824,4.8922472710414094e-11,0.9999999865258089,14.144577911108176,-14.144577911393284,14.144572361855058,-14.14457236156995,14.144576064301766,-14.144576064080534,14.144569495510765,-14.144569495752302,4.414100569154582e-05,-1.593045690541543e-10,1.6005520606526267,1.3688811244340105e-12,-2.6644634858081652e-08,0.0,2.732138464454625e-18,0.0,0.0003647779971669209,0.0001365810113463642,1.0000802859952813,1.0,1.0,0.000523806902943291,3600.0,914.0
25.09,5.09,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089661133439547,1.2491695317196062e-10,15.000126937207272,1.0002786507695294,1.2732862695346212e-10,-0.00010909861413219145,-6.066139474691066e-11,0.00015831757439862168,1.1760073786957964e-08,-2.9986609163588126e-09,-0.000585257538108576,9.8386525250236e-11,0.9999999874677727,1.1760064183193127e-08,-0.0001583175737372651,-1.1760073639578046e-08,1.0,-5.879956839798826e-11,0.0001583175737372644,6.066139398668828e-11,0.9999999874677727,14.14458115915845,-14.144581161406522,14.144577400398154,-14.144577398150082,14.144579356657227,-14.144579356982753,14.14457461123183,-14.144574610938054,3.500266074675624e-05,-1.2550476080625288e-10,1.6005529985324554,1.0793524543732494e-11,-1.8057488745531968e-08,0.0,4.1256337659133266e-18,0.0,0.000361861299924594,0.00013644846946709007,1.0000802162842737,1.0,1.0,0.000523372583201176,3600.0,914.0
25.1,5.100000000000001,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.099663996836738,1.2650294426520995e-10,15.0001258418304,1.0002939311543002,2.061786756720063e-10,-0.00010996292134648476,-7.888810504609354e-11,0.00015245635322599552,1.1761079348840372e-08,1.1534537451065564e-11,-0.0005868097473116708,1.0243171424674553e-10,0.99999998837853,1.1761067321847609e-08,-0.00015245635263540745,-1.176107921215934e-08,0.9999999999999998,-7.709505378551371e-11,0.00015245635263540653,7.888810412929779e-11,0.99999998837853,14.144584342394976,-14.144584342878163,14.144582319141689,-14.1445823186585,14.144582577882318,-14.144582580834463,14.144579602326285,-14.14457959929707,2.6075104608074363e-05,-1.6490166990036833e-10,1.600553915433877,2.319894711351116e-12,-9.716439190250704e-09,0.0,5.18841267180542e-18,0.0,0.00035879561313000605,0.00013616505239437147,1.000080146651695,1.0,1.0,0.0005229382321602674,3600.0,914.0
25.11,5.109999999999999,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.109667010073935,1.286022608081179e-10,15.000124738093715,1.0003086187760648,2.026013130444084e-10,-0.00011077092733490446,-7.873633228532766e-11,0.0001465832375726689,1.1762127538250017e-08,-4.6014809340841744e-10,-0.0005876413419375088,1.0707314988379023e-10,0.9999999892566773,1.1762115996823557e-08,-0.0001465832370477395,-1.1762127411885686e-08,1.0,-7.701220155620264e-11,0.00014658323704773858,7.873633143943784e-11,0.9999999892566773,14.144587461174208,-14.14458746195055,14.14458712005806,-14.144587119281718,14.144585734398778,-14.144585734359055,14.144584471619162,-14.144584471560258,1.7361901271610462e-05,-1.6421246235901746e-10,1.6005548116251893,3.727402828575156e-12,-1.6415074590052689e-09,0.0,2.6299882150274867e-18,0.0,0.0003555866742214981,0.00013573581025177635,1.0000800770974805,1.0,1.0,0.0005225062894351299,3600.0,914.0
