case_id,controller,lift_scale,mass_scale,inertia_scale,rmse_m,peak_m,p95_m,terminal_mean_m,max_rotation_orthogonality_error,max_rotation_determinant_error,max_body_rate_radps,max_motor_q,physical_pass,absolute_pass,raw_sha256,raw_path
MC20_07,ARDG-RGPC,1.099876083771944,1.063412689564851,0.947035090217913,0.10902969486242921,0.18046152706812424,0.11168226751817167,0.108407938690944,6.661338147750939e-16,8.881784197001252e-16,1.5527824692472515e-08,216.9427343296019,True,False,2081723D625B3AFED4AEBE93F7F2A9FC318108FD5FA3250ECE048EE7B4635F8D,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_07/raw.csv
MC20_08,PID,0.919301670838682,1.082267861351919,0.925177640790480,0.17918656027523305,0.9133598273692318,0.4948149796544085,1.1242522019543345e-10,8.881784197001252e-16,1.1102230246251565e-15,1.2378550732606803e-06,268.0747868978947,True,False,560EA2C9A76C7B99FC84AAA13B6CCD56441CAD5B75CAB2EA3C71BB60BD7A2CDA,06_supplementary_evidence/parameter_random20_raw/PID/MC20_08.csv
MC20_08,ARDG-RGPC,0.919301670838682,1.082267861351919,0.925177640790480,0.028456245996492113,0.1712959581917751,0.05926801632509204,0.00034127431921399196,2.220446049250313e-16,2.220446049250313e-16,1.6474837981282856e-08,251.02035124349604,True,True,2F323D6C9DAEFFFF2916646E1DD31729B73EBF20ACA258A2B47379D436A81046,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_08/raw.csv
MC20_09,PID,0.929783487318464,1.065802758461065,1.052281888404361,0.17719721458753143,0.9051723638815589,0.4888137406815857,3.2083549894925233e-10,8.881784197001252e-16,1.1102230246251565e-15,4.3825129328015856e-07,260.89903644122785,True,False,57B28A595532024C9F27942AD3EFFCDAB54F4420B15210DA0C35D82A6403DC67,06_supplementary_evidence/parameter_random20_raw/PID/MC20_09.csv
MC20_09,ARDG-RGPC,0.929783487318464,1.065802758461065,1.052281888404361,0.02547558658491743,0.15608706097938937,0.05692077602778689,0.00017821165535819873,5.551115123125783e-16,7.771561172376096e-16,1.2694013524825668e-08,246.73512393420015,True,True,474E5B4DBC8364B9CE43421ABA9B34030197A2BF973686F3B1C6A2670A7EEF1E,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_09/raw.csv
MC20_10,PID,1.051353085466218,0.921158660145964,1.001071893636748,0.15828415834648168,0.8257208842173379,0.4258091100910281,1.9320772333927537e-10,8.881784197001252e-16,1.1102230246251565e-15,2.4846584964701464e-08,198.55406694809685,True,False,FA0AD3D2A9B9C83090C7EF95B7FC38E26785DA031DAA855650C4769DBB0ED734,06_supplementary_evidence/parameter_random20_raw/PID/MC20_10.csv
MC20_10,ARDG-RGPC,1.051353085466218,0.921158660145964,1.001071893636748,0.011024408537966936,0.0737130916954758,0.020939997048778913,4.984229992515568e-06,6.661338147750939e-16,8.881784197001252e-16,1.4508730747600454e-08,216.9417596605593,True,True,3B58EEFC3FE4165206E0E90DF4504913A65D53EF86A355F6D2DFB0C5CDCDB7A4,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_10/raw.csv
MC20_11,PID,0.966421248875033,1.011565718626388,0.968889413092035,0.17057280366354116,0.8776105329659833,0.46594760616135816,6.772328162319963e-10,8.881784197001252e-16,1.1102230246251565e-15,2.9307254885395336e-07,237.8691298587956,True,False,B79713A69949D448A9B7FE044131FE7A39B2565F92D031EDF1FE72A62638BA39,06_supplementary_evidence/parameter_random20_raw/PID/MC20_11.csv
MC20_11,ARDG-RGPC,0.966421248875033,1.011565718626388,0.968889413092035,0.017554644058850332,0.09995845240903606,0.04612566468701679,4.373082384818825e-06,6.661338147750939e-16,8.881784197001252e-16,1.3543660925429871e-08,224.69035546852996,True,True,5A519E6247826B7DF5D3BFB1AA3F43F2B6E24E2DBAEB36A86748B6880F865138,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_11/raw.csv
MC20_12,PID,0.973043711936830,1.070406853408159,0.974394420130363,0.17416858383435205,0.8926323485196991,0.47811315108302976,2.3525536563508074e-09,8.881784197001252e-16,1.1102230246251565e-15,7.741523796973312e-08,250.21425644523396,True,False,B3FFA9E65B071B27BD7A6B97A640B7B280E80E1C8E330C0A41145F9203C3048C,06_supplementary_evidence/parameter_random20_raw/PID/MC20_12.csv
MC20_12,ARDG-RGPC,0.973043711936830,1.070406853408159,0.974394420130363,0.02152532325735483,0.13304243111743635,0.051802165500128616,8.160875706753078e-06,6.661338147750939e-16,8.881784197001252e-16,1.4967238464608984e-08,240.80389597938535,True,True,9D49CA76AF807E8EA3DAE5E3C5EC41105802F570579D0E0648B091BDE86E0888,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_12/raw.csv
MC20_13,PID,0.998899220081323,0.945224406851253,0.905786810445201,0.16349108168643445,0.847764370038762,0.4427399649294729,3.7061744857797086e-09,8.881784197001252e-16,1.1102230246251565e-15,1.2613861515859834e-08,214.66559803871655,True,False,7B45784065D6E66BDCBC92CE55A3608A57A88D7E72B77377B98495363FD19AB6,06_supplementary_evidence/parameter_random20_raw/PID/MC20_13.csv
MC20_13,ARDG-RGPC,0.998899220081323,0.945224406851253,0.905786810445201,0.012004775210142487,0.07388458943484832,0.028712300248624922,3.2129179795215706e-06,6.661338147750939e-16,8.881784197001252e-16,1.7022373891875452e-08,216.94229544593605,True,True,B09D6016DC465168BA561896AD209383910FFF4A929990EE939EFC486F2915FC,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_13/raw.csv
MC20_14,PID,1.069579363822805,1.096462761935660,1.025262950811366,0.16908888096241187,0.8713956451653698,0.4618260229155709,7.80665004632656e-10,8.881784197001252e-16,1.1102230246251565e-15,4.146045774227869e-07,232.88428909536083,True,False,5B4964D247A5989D3BE0411FDFADF54CA358EB4FD8A2AE9EECC0903AEDD8F85B,06_supplementary_evidence/parameter_random20_raw/PID/MC20_14.csv
MC20_14,ARDG-RGPC,1.069579363822805,1.096462761935660,1.025262950811366,0.08155027232472868,0.1116186850104473,0.08388129609958339,0.08218998496273788,6.661338147750939e-16,8.881784197001252e-16,1.2481256232889957e-08,216.9432149025562,True,False,A97A37DC747394C36EBD5DAA47E0A30BB1D2A369B68A5D8361B18B69BCC729DD,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_14/raw.csv
MC20_15,PID,0.915660261306453,1.097872695883576,1.061026730702904,0.18056498046761263,0.919067722912287,0.5006096854453254,8.976607204492772e-10,8.881784197001252e-16,1.1102230246251565e-15,9.053762030447146e-08,273.10856265381335,True,False,ED88D7BD9AAE512AE5D22AB7E3FF9A5C221E9B52941DB1D43815C0D8005B6793,06_supplementary_evidence/parameter_random20_raw/PID/MC20_15.csv
MC20_15,ARDG-RGPC,0.915660261306453,1.097872695883576,1.061026730702904,0.0308452412534175,0.18273539601024286,0.0594730074799541,0.00048755817982913663,6.661338147750939e-16,8.881784197001252e-16,1.740290529453054e-08,254.4926730066804,True,True,CAF43A38BEF77EC96F16B3BEFCB27E36120F82CBA429F98FA5CDDDA9DB9A3336,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_15/raw.csv
MC20_16,PID,0.901581550438133,1.073990357092080,0.974568142917412,0.18007121645310875,0.9169950788778818,0.4978127918448699,7.012228491611742e-10,8.881784197001252e-16,1.1102230246251565e-15,1.0108458047136617e-08,271.30664701853664,True,False,7F7253414FECCAE8C85A261A45EA980BBC4E06D8AD56C21D163815B0A1FC2C7A,06_supplementary_evidence/parameter_random20_raw/PID/MC20_16.csv
MC20_16,ARDG-RGPC,0.901581550438133,1.073990357092080,0.974568142917412,0.029959367009752137,0.1785696684038262,0.05963543990648423,0.000431579397739431,6.661338147750939e-16,8.881784197001252e-16,1.4673286727589707e-08,253.22731099217427,True,True,42B783D894E5B4F4AECD3CB9AE95C2E7E0DD38AAC011F50B40591F30D110785E,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_16/raw.csv
MC20_17,PID,0.951738497192313,1.047252029028881,1.022082544371698,0.1741887770770954,0.892725303670765,0.47830357441914506,3.280543200527251e-10,8.881784197001252e-16,1.1102230246251565e-15,7.40332370571078e-08,250.28830977257007,True,False,C3AA8BC9F02C94EC9B07A11BA92B2D8F0D77F7560412AE14144C6E7FF9DD12A6,06_supplementary_evidence/parameter_random20_raw/PID/MC20_17.csv
MC20_17,ARDG-RGPC,0.951738497192313,1.047252029028881,1.022082544371698,0.021550978475164222,0.13324787539814098,0.051900158439804944,8.190127871327923e-06,6.661338147750939e-16,8.881784197001252e-16,2.053278281775502e-08,240.90755503812534,True,True,4879CC3F56CC96C12F4E8104490F2CB54C2C4569CCDC1649ECE2A700B28F60A3,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_17/raw.csv
MC20_18,PID,0.945057984774874,0.999450174645721,0.991104114654558,0.17131074601324214,0.8806831221155372,0.46780870318224055,9.5707661317633e-11,8.881784197001252e-16,1.1102230246251565e-15,8.628314874619636e-08,240.367558313549,True,False,5552FE7396BA539BC7F6CB345F66426E97F15873D4291FED7266E3874C1709A6,06_supplementary_evidence/parameter_random20_raw/PID/MC20_18.csv
MC20_18,ARDG-RGPC,0.945057984774874,0.999450174645721,0.991104114654558,0.018178509746619796,0.10537927579278634,0.04696287625570994,4.922705187451255e-06,4.134394775714217e-25,0.0,2.8487078763686944e-08,228.00256305818408,True,True,A2AA7B2AB064E067AE655480DC595984439BA53027B6F84933FD8A91A9CEEDE1,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_18/raw.csv
MC20_19,PID,1.089855341380157,1.009733080400409,0.988599694539760,0.16204516933412075,0.8416509054979954,0.4378190867705728,2.5712449275930395e-10,8.881784197001252e-16,1.1102230246251565e-15,3.3160773564194067e-08,210.10686900481335,True,False,3433BA064D15F71BD939BDDCFC12ACADDF5BF43454778D65ED5456EE8B966D1C,06_supplementary_evidence/parameter_random20_raw/PID/MC20_19.csv
MC20_19,ARDG-RGPC,1.089855341380157,1.009733080400409,0.988599694539760,0.011190698091147706,0.0738493773160005,0.021550996423092272,3.582001356424045e-06,2.220446049250313e-16,2.220446049250313e-16,1.6387799224838338e-08,216.94231584338704,True,True,2EC73A23277D12248E800A701C1FD6EB041E00FCCDB21505D0B44B0DE469DFCA,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_19/raw.csv
MC20_20,PID,1.059459967827924,0.939137534670619,0.995541328406426,0.15905555337507168,0.828878822790201,0.42823564807142556,3.1509033965617215e-10,8.881784197001252e-16,1.1102230246251565e-15,1.4428857087915257e-08,200.87013996936344,True,False,5A087E0EBBD3498BAB25AFF4FC93993238737C565822383A50801C9E9FD09379,06_supplementary_evidence/parameter_random20_raw/PID/MC20_20.csv
MC20_20,ARDG-RGPC,1.059459967827924,0.939137534670619,0.995541328406426,0.010744360720660892,0.07374665448472606,0.014669142796555512,4.653817641317875e-06,6.661338147750939e-16,8.881784197001252e-16,1.7607743197720028e-08,216.94187076542593,True,True,4A2E73658CD7DE070B63FA84F0F06EDC01EB394E91D823BC58DDB79DBEB1A14F,06_supplementary_evidence/ardg_rgpc_random20_final/cases/MC20_20/raw.csv
