time_s,reference_x_m,reference_y_m,reference_z_m,reference_vx_mps,reference_vy_mps,reference_vz_mps,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,body_rate_x_radps,body_rate_y_radps,body_rate_z_radps,rotation_11,rotation_12,rotation_13,rotation_21,rotation_22,rotation_23,rotation_31,rotation_32,rotation_33,motor_command_1,motor_command_2,motor_command_3,motor_command_4,motor_speed_1,motor_speed_2,motor_speed_3,motor_speed_4,per_rotor_disturbance_n
24.52,0.0,0.0,1.5,0.0,0.0,0.0,-0.16136709277309585,1.8386656121925387e-08,1.5004865924902129,-0.20505338136189272,2.2576164595605076e-08,-0.0008880326366910138,5.06309375801964e-09,0.04523054467574836,-1.551286757011692e-07,6.704484316437051e-10,-0.0139953978723599,-1.4227871868758611e-09,0.9989772732900359,-1.5489974728842411e-07,-0.045215124128782,1.5497002146104955e-07,0.9999999999999882,-1.9510685697422915e-09,0.045215124128781765,-5.0579155967983214e-09,0.9989772732900479,14.15304568462689,-14.153046781477272,14.15175132986824,-14.151752426537334,14.153046909572563,-14.153048006867484,14.151751965311075,-14.151753061529261,0.0
24.53,0.0,0.0,1.5,0.0,0.0,0.0,-0.16339526945861318,1.860988305707342e-08,1.5004778055808188,-0.20060745254084852,2.2079558180956762e-08,-0.0008809532572367208,5.0465001291998776e-09,0.04508793689973829,-1.5514319727693128e-07,7.2900438401817e-10,-0.014526244878331316,-1.400660964155012e-09,0.9989837111602187,-1.5491573808362495e-07,-0.045072661742266894,1.5498552697697202e-07,0.999999999999988,-1.9462167232770247e-09,0.04507266174226666,-5.041371427438677e-09,0.9989837111602307,14.15305343004466,-14.153054526951516,14.151777121396888,-14.15177821821484,14.153054669087151,-14.153055766583371,14.15177772282441,-14.151778819046019,0.0
24.54,0.0,0.0,1.5,0.0,0.0,0.0,-0.1653790163086275,1.882814030128663e-08,1.5004691191808257,-0.19617604511499961,2.158453266396178e-08,-0.0008730442884337639,5.0293980501634925e-09,0.044940062250404936,-1.5515771481985845e-07,7.835669692295282e-10,-0.015049629103204752,-1.3858672697821305e-09,0.9989903653418997,-1.5493176942988959e-07,-0.04492493688402776,1.5500106221350592e-07,0.999999999999988,-1.941052495188623e-09,0.04492493688402752,-5.024320195582725e-09,0.9989903653419117,14.153057501080452,-14.153058598039783,14.151799204707345,-14.151800301678103,14.153058733925514,-14.153059831608466,14.151799791233566,-14.151800887472843,0.0
24.55,0.0,0.0,1.5,0.0,0.0,0.0,-0.16731852581758,1.904144851980661e-08,1.5004605165771816,-0.1917595748746175,2.10912062181783e-08,-0.0008643079304836796,5.011731739735271e-09,0.04478699185576877,-1.551721501082129e-07,8.372336518413071e-10,-0.01556556167296568,-1.3700328280591967e-09,0.998997230316246,-1.5494776475197598e-07,-0.0447720205088564,1.5501654818032272e-07,0.999999999999988,-1.9356389473129772e-09,0.04477202050885616,-5.006706127083617e-09,0.998997230316258,14.153057986330108,-14.153059083340361,14.151817710140847,-14.151818807264796,14.153059211587134,-14.153060309453146,14.151818282282031,-14.151819378541541,0.0
24.560000000000002,0.0,0.0,1.5,0.0,0.0,0.0,-0.16921395005721096,1.9249825227002958e-08,1.5004520057659152,-0.18735854996858822,2.0599623083979622e-08,-0.0008547724231151989,4.993511897776186e-09,0.04462880022735921,-1.5518648657886193e-07,8.895229224339971e-10,-0.016074040127038336,-1.3532924503157604e-09,0.9990043003752993,-1.549637061042159e-07,-0.044613986950674395,1.5503196745241797e-07,0.999999999999988,-1.9299759893741615e-09,0.04461398695067416,-4.988539859853692e-09,0.9990043003753113,14.153054930884648,-14.153056027944794,14.151832680660522,-14.151833777937297,14.153056147187336,-14.153057245231226,14.151833238943816,-14.151834335227425,0.0
24.57,0.0,0.0,1.5,0.0,0.0,0.0,-0.17106544619468048,1.9453288507568223e-08,1.5004435944056627,-0.18297347089023272,2.0109825558659244e-08,-0.0008444658485631254,4.974749406170411e-09,0.044465561873981777,-1.5520070671120947e-07,9.399098171811936e-10,-0.01657506318054857,-1.3358014530957775e-09,0.9990115697789204,-1.5497957457039637e-07,-0.04445091053997929,1.5504730164236446e-07,0.999999999999988,-1.924063323591122e-09,0.04445091053997905,-4.969832213515114e-09,0.9990115697789324,14.15304838145506,-14.153049478564643,14.151844160951091,-14.1518452583795,14.15304958747533,-14.153050685690276,14.151844705901214,-14.151845802214199,0.0
24.580000000000002,0.0,0.0,1.5,0.0,0.0,0.0,-0.17287317642385555,1.9651857008994468e-08,1.5004352898123094,-0.17860483043997455,1.962185395806493e-08,-0.0008334161025748351,4.955455333561442e-09,0.04429735128749882,-1.5521479200801716e-07,9.878245331350087e-10,-0.017068630715050374,-1.3177364499980813e-09,0.9990190327591999,-1.5499535024554394e-07,-0.044282865589851145,1.5506253138177094e-07,0.999999999999988,-1.9179004384862786e-09,0.04428286558985091,-4.950594194216029e-09,0.9990190327592119,14.153038386310463,-14.153039483469662,14.151852197360858,-14.151853294938817,14.153039580772965,-14.153040679150374,14.151852729484995,-14.151853825834158,0.0
24.59,0.0,0.0,1.5,0.0,0.0,0.0,-0.17463730789658952,1.9845549934049085e-08,1.500427098953633,-0.1742531136880226,1.913574657823456e-08,-0.0008216508654168142,4.935640940120869e-09,0.044124242928612306,-1.5522872297622788e-07,1.0326510424627268e-09,-0.01755474376924607,-1.2992961415695388e-09,0.999026683524797,-1.550110122177108e-07,-0.0441099263819562,1.5507763630273162e-07,0.9999999999999882,-1.91148660272561e-09,0.04410992638195597,-4.930836999478222e-09,0.999026683524809,14.153024995217676,-14.153026092427366,14.151856837841645,-14.151857935566099,14.153026176913459,-14.153027275442835,14.151857357614597,-14.151858454008398,0.0
24.6,0.0,0.0,1.5,0.0,0.0,0.0,-0.17635801265401246,2.0034387033251744e-08,1.5004190284439485,-0.16991879793703102,1.8651539657029315e-08,-0.0008091975728811399,4.9153176823493645e-09,0.04394631121264683,-1.552424791077938e-07,1.0737257056228422e-09,-0.018033404529704776,-1.2807021032369296e-09,0.9990345162652072,-1.5502653854976437e-07,-0.04393216715254587,1.550925950192676e-07,0.999999999999988,-1.9048208589898393e-09,0.04393216715254564,-4.910572023075776e-09,0.9990345162652192,14.15300825937873,-14.153009356640538,14.151858131888345,-14.15185922975519,14.153009427180134,-14.153010525848943,14.151858639738325,-14.151859736186985,0.0
24.61,0.0,0.0,1.5,0.0,0.0,0.0,-0.1780354675578103,2.0218388597350148e-08,1.5004110845387495,-0.16560235268478352,1.816926733576972e-08,-0.0007960833872920246,4.894497217909837e-09,0.0437636304953349,-1.552560388605073e-07,1.1103358834692951e-09,-0.018504616321574213,-1.2621995712664729e-09,0.9990425251549593,-1.5504190626117922e-07,-0.04374966207845276,1.5510738510875896e-07,0.999999999999988,-1.8979020178764823e-09,0.043749662078452524,-4.8898108599446254e-09,0.9990425251549713,14.15298823137102,-14.1529893286874,14.15185613047973,-14.151857228483742,14.152989384245178,-14.152990483038703,14.151856626773531,-14.151857723289172,0.0
24.62,0.0,0.0,1.5,0.0,0.0,0.0,-0.1796698542215148,2.039757544979692e-08,1.500403273129353,-0.16130423958685325,1.7688961620868835e-08,-0.0007823351685122944,4.873191410492272e-09,0.0435762750586027,-1.552693796388358e-07,1.141718548275311e-09,-0.01896838359929141,-1.244058226742044e-09,0.9990507043577317,-1.5505709130983144e-07,-0.04356248526308172,1.5512198309336817e-07,0.999999999999988,-1.8907286518323487e-09,0.043562485263081485,-4.868565311122411e-09,0.9990507043577437,14.15296496508538,-14.152966062459667,14.151850886018183,-14.151851984152922,14.152966102108351,-14.152967201009549,14.151851371046805,-14.151852467643584,0.0
24.63,0.0,0.0,1.5,0.0,0.0,0.0,-0.18126135894178294,2.0571968939225446e-08,1.500395599737543,-0.1570249124192872,1.721065234546824e-08,-0.0007679794449499361,4.851412334710094e-09,0.043384319096357996,-1.5528247777476027e-07,1.1670588936688754e-09,-0.019424711937287426,-1.2265729775559672e-09,0.9990590480304005,-1.5507206857379588e-07,-0.043370710722397766,1.5513636442145508e-07,0.999999999999988,-1.8832990891161895e-09,0.04337071072239753,-4.846847388718467e-09,0.9990590480304125,14.152938515665916,-14.152939613102408,14.151842452268586,-14.15184355052633,14.152939636035757,-14.15294073502511,14.151842926234172,-14.151844022928415,0.0
24.64,0.0,0.0,1.5,0.0,0.0,0.0,-0.1828101726296866,2.0741590931926705e-08,1.5003880695102112,-0.15276481704126596,1.6734367131071295e-08,-0.0007530423845645714,4.82917228102753e-09,0.04318783670027872,-1.5529530850861768e-07,1.1854889434742554e-09,-0.019873608020691644,-1.2100647384082763e-09,0.9990675503270052,-1.5508681183314586e-07,-0.043174412370908744,1.5515050344898245e-07,0.9999999999999882,-1.875611407791019e-09,0.04317441237090852,-4.824669320913309e-09,0.9990675503270172,14.152908939449722,-14.152910036953735,14.151830884299752,-14.151831982671402,14.152910042498561,-14.152911141553934,14.151831347301288,-14.15183244411162,0.0
24.650000000000002,0.0,0.0,1.5,0.0,0.0,0.0,-0.184316490741993,2.0906463804325176e-08,1.5003806872140044,-0.14852439135778658,1.6260131349178927e-08,-0.0007375497658740029,4.806483760717795e-09,0.04298690184560375,-1.5530784596994748e-07,1.1960861594547316e-09,-0.020315079636030648,-1.1948812088130981e-09,0.9990762054026379,-1.5510129375175557e-07,-0.04297366400764468,1.5516437342091373e-07,0.9999999999999878,-1.867663429745758e-09,0.042973664007644456,-4.802043556987392e-09,0.9990762054026499,14.15287629390518,-14.152877391483125,14.151816238421395,-14.151817336896391,14.15287737911175,-14.152878478208208,14.15181669044362,-14.151817787391108,0.0
24.66,0.0,0.0,1.5,0.0,0.0,0.0,-0.18578051321245115,2.1066610435455384e-08,1.500373457229964,-0.14430406528233009,1.5787968082923727e-08,-0.0007215269489607122,4.783359510851448e-09,0.04278158837692459,-1.5532006315834093e-07,1.1978720479537807e-09,-0.02074913566192641,-1.181397649112733e-09,0.9990850074172559,-1.5511548585910426e-07,-0.04276853930213203,1.5517794645260097e-07,0.9999999999999882,-1.8594527147456823e-09,0.04276853930213181,-4.778982772378478e-09,0.9990850074172679,14.152840637573139,-14.152841735232599,14.151798572125646,-14.15179967069188,14.152841704572841,-14.152842803682525,14.151799013026645,-14.151800110134957,0.0
24.67,0.0,0.0,1.5,0.0,0.0,0.0,-0.18720244438307806,2.1222054199438404e-08,1.5003663835481722,-0.14010426069952897,1.5317898088704075e-08,-0.0007049988464783542,4.759812499314679e-09,0.04257196999397859,-1.5533193192429648e-07,1.1898107654329774e-09,-0.02117578605979199,-1.1700176545025132e-09,0.9990939505394087,-1.5512935853208396e-07,-0.04255911178036336,1.551911935111651e-07,0.999999999999988,-1.8509765545112413e-09,0.04255911178036314,-4.755499873767217e-09,0.9990939505394207,14.152802030005665,-14.152803127755464,14.151777944024742,-14.151779042668462,14.152803078600662,-14.152804177692591,14.151778373526037,-14.151779470821575,0.0
24.68,0.0,0.0,1.5,0.0,0.0,0.0,-0.18858249293543947,2.13728189579578e-08,1.5003594697623939,-0.13592539142785015,1.4849939757819895e-08,-0.0006879898946583074,4.735855929857008e-09,0.042358120237444154,-1.5534342295007698e-07,1.1708077229064738e-09,-0.021595041864523882,-1.1611739270716549e-09,0.9991030289498903,-1.551428809768083e-07,-0.0423454548107633,1.5520408439686708e-07,0.9999999999999878,-1.842231966824765e-09,0.04234545481076308,-4.7316080041904926e-09,0.9991030289499023,14.152760531706711,-14.152761629556991,14.151754413790142,-14.151755512495862,14.152761561874051,-14.152762660913979,14.151754831467859,-14.151755928979918,0.0
