time_s,reference_1,reference_2,reference_3,position_x_m,position_y_m,position_z_m,angle_roll_rad,angle_pitch_rad,angle_yaw_rad,motor_command_1,motor_command_2,motor_command_3,motor_command_4,rotor_speed_1_radps,rotor_speed_2_radps,rotor_speed_3_radps,rotor_speed_4_radps,event_code,external_torque_body_x_nm,external_torque_body_y_nm,external_torque_body_z_nm
0.32,0.0,0.0,0.096,-3.13799930060989e-13,9.800333575330936e-13,4.701688043872726e-05,4.375467724832635e-11,1.4530908875427648e-11,-4.938974343996968e-11,2.0593427000156224,-2.059342698667514,2.0593426977444045,-2.059342699790884,2.0592977117704683,-2.059297710423871,2.0592977095006515,-2.059297711545617,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.099,-3.551177999393337e-13,1.0918493414709925e-12,4.838947521000169e-05,4.8830883712468427e-11,1.6342258043773186e-11,-5.0452392172986985e-11,2.08918112747845,-2.089181125943149,2.089181124938998,-2.0891811271876954,2.0891361199588463,-2.089136118424811,2.089136117420535,-2.0891361196679648,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.102,-4.0197221322181e-13,1.2157939394457258e-12,4.975674960363534e-05,5.4464363379797636e-11,1.8390254208214884e-11,-5.1585241663408906e-11,2.1191995606893066,-2.119199558930427,2.119199557825684,-2.1191995603139797,2.1191544983384354,-2.119154496580676,2.119154495475924,-2.119154497963114,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.105,-4.529503744874394e-13,1.3508296845318573e-12,5.111872244016434e-05,6.062973604719455e-11,2.0627450243840307e-11,-5.2699227348344105e-11,2.1493979086521344,-2.1493979066591757,2.1493979054524326,-2.149397908190559,2.149352809721913,-2.149352807729969,2.149352806523289,-2.1493528092604275,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.108,-5.078010842024213e-13,1.4971135607679409e-12,5.247543358920691e-05,6.734164215215185e-11,2.3047697277829717e-11,-5.3772019386085874e-11,2.179776137946981,-2.17977613571605,2.179776134410801,-2.1797761374020683,2.1797310379227715,-2.1797310356927952,2.179731034387593,-2.17973103737793,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.1109999999999999,-5.678268363057516e-13,1.6566137112896836e-12,5.3826952891915766e-05,7.468465606570313e-11,2.5702390791993828e-11,-5.4846673171255385e-11,2.210334288810316,-2.2103342863236284,2.2103342849140803,-2.2103342881763,2.2102891957081003,-2.2102891932224256,2.210289191812911,-2.210289195074137,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.114,-6.33364109667178e-13,1.83021096219352e-12,5.51733318845741e-05,8.270284971048048e-11,2.8607566611946908e-11,-5.5921254378760606e-11,2.2410723550732703,-2.241072352312854,2.241072350793388,-2.2410723543445306,2.241027277999878,-2.241027275240682,2.2410272737212367,-2.241027277271173,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.1169999999999999,-7.047493831564484e-13,2.018786139575884e-12,5.651462210346507e-05,9.144029500911582e-11,3.177926056330314e-11,-5.699382868351056e-11,2.27199033056689,-2.2719903275145854,2.2719903258797567,-2.2719903297379536,2.271945279720085,-2.271945276669386,2.2719452750345663,-2.2719452788911645,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.12,-7.822715893455044e-13,2.2231458521388583e-12,5.785087467876625e-05,1.0093906889431637e-10,3.523223942617547e-11,-5.806303698446672e-11,2.303088211260839,-2.3030882078980315,2.3030882061424034,-2.3030882103262216,2.3030431971366583,-2.303043193776041,2.303043192020413,-2.303043196202041,0.0,0.0,0.0,0.0
0.41,0.0,0.0,0.123,-8.649422645002112e-13,2.4421027567993215e-12,5.9182129830071976e-05,1.1118765016647835e-10,3.8947175337974686e-11,-5.914297436130078e-11,2.3343660505799337,-2.334366046880324,2.3343660449939736,-2.3343660495298657,2.334321062678544,-2.334321058981742,2.334321057095511,-2.334321061628586,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.126,-9.535433043095e-13,2.677232953045016e-12,6.05084428980895e-05,1.2224879994397878e-10,4.295199262534706e-11,-6.022631775249112e-11,2.3658238223211505,-2.365823818260771,2.3658238162355185,-2.3658238211474987,2.365778858658695,-2.365778854601871,2.3657788525769403,-2.3657788574853504,0.0,0.0,0.0,0.0
0.43,0.0,0.0,0.129,-1.0481540226784044e-12,2.929015845316431e-12,6.182986322258732e-05,1.341557997927383e-10,4.725586319270537e-11,-6.131424406305087e-11,2.3974615318824277,-2.397461527435669,2.3974615252626035,-2.397461530576345,2.3974165872790136,-2.39741658283668,2.397416580664245,-2.397416585973545,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.132,-1.1488259158864804e-12,3.1978874161311027e-12,6.314643990573618e-05,1.469407640819638e-10,5.186721647167059e-11,-6.240826674085795e-11,2.4292791859129186,-2.429279181052374,2.429279178721756,-2.429279184464754,2.429234251528871,-2.429234246673725,2.429234244344181,-2.429234250081762,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.135,-1.255582662587808e-12,3.4842402260836186e-12,6.445822181210904e-05,1.6063463998414784e-10,5.6793739421071934e-11,-6.351023577665542e-11,2.461276792312905,-2.461276787009208,2.4612767845103742,-2.461276790712106,2.4612318551851127,-2.4612318498878785,2.461231847390722,-2.4612318535859745,0.0,0.0,0.0,0.0
0.46,0.0,0.0,0.138,-1.36842012381099e-12,3.788423413845617e-12,6.576525756868106e-05,1.752672074750694e-10,6.204237652694673e-11,-6.462233770405155e-11,2.493454360233948,-2.493454354455619,2.4934543517768817,-2.4934543584689703,2.4934094028120515,-2.49340939704132,2.493409394365056,-2.4934094010495373,0.0,0.0,0.0,0.0
0.47,0.0,0.0,0.141,-1.4884616139063076e-12,4.111980073613572e-12,6.706760094717364e-05,1.9105031075411302e-10,6.770694601251378e-11,-6.572304775988447e-11,2.525811838139904,-2.525811831858668,2.525811828990983,-2.5258118362015427,2.52576688011187,-2.5257668738391894,2.525766870974498,-2.5257668781764933,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.144,-1.6154818963801793e-12,4.455111727972912e-12,6.836530025135786e-05,2.0795742429891917e-10,7.376867527170298e-11,-6.682074204901294e-11,2.5583492486085797,-2.5583492417931666,2.558349238725794,-2.5583492464860527,2.558304293352049,-2.558304286546057,2.5583042834821086,-2.558304291232937,0.0,0.0,0.0,0.0
