case_id,controller,time_s,position_error_m
Scene03,RA-GCA-CGHTE,8.8,1.0011161164694933e-06
Scene03,RA-GCA-CGHTE,8.9,1.4318704933394533e-06
Scene03,RA-GCA-CGHTE,9.0,1.7218338380191454e-06
Scene03,RA-GCA-CGHTE,9.1,1.8965415582693621e-06
Scene03,RA-GCA-CGHTE,9.2,1.979207779729984e-06
Scene03,RA-GCA-CGHTE,9.3,1.9895905570245033e-06
Scene03,RA-GCA-CGHTE,9.4,1.944673783308907e-06
Scene03,RA-GCA-CGHTE,9.5,1.858855270814427e-06
Scene03,RA-GCA-CGHTE,9.6,1.7441772495073318e-06
Scene03,RA-GCA-CGHTE,9.7,1.6105675807289847e-06
Scene03,RA-GCA-CGHTE,9.8,1.4660701978874583e-06
Scene03,RA-GCA-CGHTE,9.9,1.3170964220616087e-06
Scene03,RA-GCA-CGHTE,10.0,1.1686748583858944e-06
Scene03,RA-GCA-CGHTE,10.1,0.21644909058349532
Scene03,RA-GCA-CGHTE,10.2,0.36019479783611436
Scene03,RA-GCA-CGHTE,10.3,0.4769139152456793
Scene03,RA-GCA-CGHTE,10.4,0.555815585011915
Scene03,RA-GCA-CGHTE,10.5,0.594278342277961
Scene03,RA-GCA-CGHTE,10.6,0.5950773781481843
Scene03,RA-GCA-CGHTE,10.7,0.5644726760030275
Scene03,RA-GCA-CGHTE,10.8,0.5106681611672599
Scene03,RA-GCA-CGHTE,10.9,0.44251191145470525
Scene03,RA-GCA-CGHTE,11.0,0.36841248002275145
Scene03,RA-GCA-CGHTE,11.1,0.2955483229410149
Scene03,RA-GCA-CGHTE,11.2,0.2294239523720699
Scene03,RA-GCA-CGHTE,11.3,0.17372371511354245
Scene03,RA-GCA-CGHTE,11.4,0.1303060866229894
Scene03,RA-GCA-CGHTE,11.5,0.0991379807652361
Scene03,RA-GCA-CGHTE,11.6,0.07820024111807836
Scene03,RA-GCA-CGHTE,11.7,0.06398330138860119
Scene03,RA-GCA-CGHTE,11.8,0.05294297960105998
Scene03,RA-GCA-CGHTE,11.9,0.04280592663209557
Scene03,RA-GCA-CGHTE,12.0,0.032753742821141546
Scene03,RA-GCA-CGHTE,12.1,0.022951374219235106
Scene03,RA-GCA-CGHTE,12.2,0.014171315776686176
Scene03,RA-GCA-CGHTE,12.3,0.008208212097463705
Scene03,RA-GCA-CGHTE,12.4,0.008284739441398863
Scene03,RA-GCA-CGHTE,12.5,0.01172265599973976
Scene03,RA-GCA-CGHTE,12.6,0.014728742090827657
Scene03,RA-GCA-CGHTE,12.7,0.016480503194164487
