time_s,uav1_actual_x_m,uav1_actual_y_m,uav1_actual_z_m,uav2_actual_x_m,uav2_actual_y_m,uav2_actual_z_m,uav3_actual_x_m,uav3_actual_y_m,uav3_actual_z_m,uav1_commanded_x_m,uav1_commanded_y_m,uav1_commanded_z_m,uav2_commanded_x_m,uav2_commanded_y_m,uav2_commanded_z_m,uav3_commanded_x_m,uav3_commanded_y_m,uav3_commanded_z_m,formation_error_follower2_m,formation_error_follower3_m,formation_error_max_m,centroid_commanded_error_m,member1_commanded_error_m,member2_commanded_error_m,member3_commanded_error_m,minimum_pairwise_distance_m
12.93,-5.849179528158578e-12,4.089937008262229e-12,1.4999999870703045,-1.0000000000825153,-5.5927920495316684e-11,1.4999996546332925,1.0000000000158131,-2.7726156033687527e-12,1.4999996546314909,0.0,0.0,1.5,-1.000000000006228,3.4279492296364092e-12,1.499999985698728,0.9999999999937722,3.4279492296364092e-12,1.499999985698728,3.3243702617654955e-7,3.32438814364958e-7,3.32438814364958e-7,2.2502079115948868e-7,1.292969750635923e-8,3.3106544962076167e-7,3.310672379721058e-7,1.0000000000217175
12.94,-5.742566301395496e-12,4.213332011928971e-12,1.4999999873296843,-1.000000000080437,-5.6727390738899316e-11,1.4999996639133562,1.0000000000108142,-3.4141931234520226e-12,1.4999996639115887,0.0,0.0,1.5,-1.0000000000061742,3.5652694254624423e-12,1.4999999859832718,0.9999999999938258,3.5652694254624423e-12,1.4999999859832718,3.2341634252989263e-7,3.2341809615170127e-7,3.2341809615170127e-7,2.1893730674680168e-7,1.2670317687418593e-8,3.2206992983114423e-7,3.220716836246147e-7,1.000000000016609
12.950000000000001,-5.626931427290447e-12,4.333147069313911e-12,1.499999987584272,-1.0000000000783615,-5.740586428582239e-11,1.4999996729676919,1.000000000005933,-4.006676128416371e-12,1.4999996729659386,0.0,0.0,1.5,-1.000000000006109,3.70050989650093e-12,1.4999999862626188,0.9999999999938911,3.70050989650093e-12,1.4999999862626188,3.1461659458684616e-7,3.1461833370865633e-7,3.1461833370865633e-7,2.1300244723029401e-7,1.2415730032492995e-8,3.1329494118099273e-7,3.1329668048067336e-7,1.0000000000116094
12.96,-5.5025205704687836e-12,4.449071266007358e-12,1.4999999878341457,-1.0000000000763127,-5.796715719632405e-11,1.4999996818013794,1.0000000000011824,-4.577834204686499e-12,1.4999996817996397,0.0,0.0,1.5,-1.0000000000060327,3.833350205079088e-12,1.4999999865368523,0.9999999999939673,3.833350205079088e-12,1.4999999865368523,3.0603278079670174e-7,3.060345061652596e-7,3.060345061652596e-7,2.0721284907903696e-7,1.2165856381842666e-8,3.047354872266046e-7,3.047372127767849e-7,1.0000000000067317
12.97,-5.370182983915992e-12,4.560605400658652e-12,1.4999999880793824,-1.0000000000743001,-5.839501912639598e-11,1.4999996904194033,0.9999999999965622,-5.157049836667664e-12,1.4999996904176758,0.0,0.0,1.5,-1.000000000005946,3.963281313185755e-12,1.4999999868060538,0.9999999999940541,3.963281313185755e-12,1.4999999868060538,2.9765999374812423e-7,2.976617067812784e-7,2.976617067812784e-7,2.0156521781755642e-7,1.1920619686155365e-8,2.9638666499768654e-7,2.963883782136085e-7,1.0000000000019766
12.98,-5.229955461448563e-12,4.667654753677309e-12,1.4999999883200583,-1.0000000000723384,-5.873302349790572e-11,1.4999996988266397,0.9999999999920811,-5.7080824994260185e-12,1.4999996988249147,0.0,0.0,1.5,-1.000000000005849,4.089937008262229e-12,1.4999999870703045,0.9999999999941508,4.089937008262229e-12,1.4999999870703045,2.8949343329126953e-7,2.894951438333912e-7,2.894951438333912e-7,1.9605633490934594e-7,1.1679943784080037e-8,2.882436792291802e-7,2.8824538995296443e-7,0.9999999999973529
12.99,-5.082380844704861e-12,4.77030644840922e-12,1.4999999885562492,-1.0000000000703948,-5.897022470601866e-11,1.4999997070278546,0.9999999999877266,-6.240790179562117e-12,1.499999707026132,0.0,0.0,1.5,-1.0000000000057425,4.213332011928971e-12,1.4999999873296843,0.9999999999942575,4.213332011928971e-12,1.4999999873296843,2.8152840938842036e-7,2.8153011752593436e-7,2.8153011752593436e-7,1.9068304754175595e-7,1.144375295867389e-8,2.803018443243168e-7,2.8030355264010635e-7,0.9999999999928486
13.0,-4.928048869628005e-12,4.868153356514169e-12,1.499999988788028,-1.0000000000684859,-5.909601067691275e-11,1.4999997150277156,0.9999999999835307,-6.721633117434639e-12,1.4999997150259956,0.0,0.0,1.5,-1.0000000000056268,4.333147069313911e-12,1.499999987584272,0.9999999999943731,4.333147069313911e-12,1.499999987584272,2.7376032726981605e-7,2.737620328653277e-7,2.737620328653277e-7,1.8544227151203274e-7,1.1211974157358765e-8,2.7255657106453984e-7,2.7255827683278267e-7,0.9999999999884962
13.01,-4.767468449652135e-12,4.961144433839988e-12,1.4999999890154683,-1.0000000000666,-5.910344494422383e-11,1.4999997228307933,0.9999999999794827,-7.158868184286013e-12,1.4999997228290745,0.0,0.0,1.5,-1.0000000000055025,4.449071266007358e-12,1.4999999878341457,0.9999999999944975,4.449071266007358e-12,1.4999999878341457,2.6618468985957e-7,2.661863945576801e-7,2.661863945576801e-7,1.8033098878896475e-7,1.0984533883578715e-8,2.6500336703688234e-7,2.6500507190010033e-7,0.9999999999842857
13.02,-4.601378434244913e-12,5.048813992143875e-12,1.4999999892386424,-1.0000000000647649,-5.901709784681181e-11,1.4999997304415755,0.9999999999755862,-7.579897154728001e-12,1.4999997304398511,0.0,0.0,1.5,-1.0000000000053701,4.560605400658652e-12,1.4999999880793824,0.9999999999946299,4.560605400658652e-12,1.4999999880793824,2.587970818107371e-7,2.587987923525903e-7,2.587987923525903e-7,1.753462357457565e-7,1.076135975091332e-8,2.576378215572714e-7,2.5763953225464316e-7,0.999999999980221
13.030000000000001,-4.430029025802678e-12,5.130894488229286e-12,1.499999989457622,-1.0000000000629563,-5.880981307586614e-11,1.499999737864433,0.9999999999718417,-8.000329806774914e-12,1.4999997378627057,0.0,0.0,1.5,-1.00000000000523,4.667654753677309e-12,1.4999999883200583,0.9999999999947701,4.667654753677309e-12,1.4999999883200583,2.515932038813951e-7,2.5159491769564724e-7,2.5159491769564724e-7,1.7048512291349912e-7,1.0542380260981773e-8,2.504556400468357e-7,2.5045735400504643e-7,0.9999999999763034
13.040000000000001,-4.253780103848696e-12,5.207498046082762e-12,1.4999999896724772,-1.000000000061172,-5.850896006876022e-11,1.4999997451036524,0.9999999999682319,-8.38839727640191e-12,1.4999997451019196,0.0,0.0,1.5,-1.0000000000050824,4.77030644840922e-12,1.4999999885562492,0.9999999999949176,4.77030644840922e-12,1.4999999885562492,2.4456883967080806e-7,2.445705595093488e-7,2.445705595093488e-7,1.6574482055554275e-7,1.0327525025858067e-8,2.43452611433951e-7,2.4345433140300326e-7,0.9999999999725155
13.05,-4.07322210590863e-12,5.278692096906962e-12,1.4999999898832848,-1.000000000059418,-5.809938281444013e-11,1.4999997521638018,0.9999999999647495,-8.748826232623447e-12,1.4999997521620674,0.0,0.0,1.5,-1.000000000004928,4.868153356514169e-12,1.499999988788028,0.9999999999950719,4.868153356514169e-12,1.499999988788028,2.3771949787837773e-7,2.3772121983596963e-7,2.3772121983596963e-7,1.6112230531198034e-7,1.0116717440455668e-8,2.3662424086513175e-7,2.366259629381115e-7,0.9999999999688509
