case_id,controller,time_s,position_error_m
Scene01,RA-GCA-CGHTE,18.2,0.0007582607393033055
Scene01,RA-GCA-CGHTE,18.25,0.0006521988500445409
Scene01,RA-GCA-CGHTE,18.3,0.0005549988201103597
Scene01,RA-GCA-CGHTE,18.35,0.00046622357579375787
Scene01,RA-GCA-CGHTE,18.4,0.0003854318076559654
Scene01,RA-GCA-CGHTE,18.45,0.0003121816446523396
Scene01,RA-GCA-CGHTE,18.5,0.00024603386440352526
Scene01,RA-GCA-CGHTE,18.55,0.00018655467850343948
Scene01,RA-GCA-CGHTE,18.6,0.00013331811771176045
Scene01,RA-GCA-CGHTE,18.65,8.590806988464793e-05
Scene01,RA-GCA-CGHTE,18.7,4.3919977043925065e-05
Scene01,RA-GCA-CGHTE,18.75,6.962240247151801e-06
Scene01,RA-GCA-CGHTE,18.8,2.5342614611669175e-05
Scene01,RA-GCA-CGHTE,18.85,5.3357146486184454e-05
Scene01,RA-GCA-CGHTE,18.9,7.742826410083257e-05
Scene01,RA-GCA-CGHTE,18.95,9.788669037121198e-05
Scene01,RA-GCA-CGHTE,19.0,0.00011504673585532793
Scene01,RA-GCA-CGHTE,19.05,0.0001292062155969119
Scene01,RA-GCA-CGHTE,19.1,0.00014064630749825662
Scene01,RA-GCA-CGHTE,19.15,0.0001496317078526886
Scene01,RA-GCA-CGHTE,19.2,0.0001564109674845736
Scene01,RA-GCA-CGHTE,19.25,0.0001612166259246533
Scene01,RA-GCA-CGHTE,19.3,0.000164265619398355
Scene01,RA-GCA-CGHTE,19.35,0.00016575982670380068
Scene01,RA-GCA-CGHTE,19.4,0.0001658864428844573
Scene01,RA-GCA-CGHTE,19.45,0.00016481857314871426
Scene01,RA-GCA-CGHTE,19.5,0.00016271578465428124
Scene01,RA-GCA-CGHTE,19.55,0.0001597246924483715
Scene01,RA-GCA-CGHTE,19.6,0.0001559795674205011
Scene01,RA-GCA-CGHTE,19.65,0.0001516029527764751
Scene01,RA-GCA-CGHTE,19.7,0.00014670628555366944
Scene01,RA-GCA-CGHTE,19.75,0.00014139051902627007
Scene01,RA-GCA-CGHTE,19.8,0.00013574673824844164
Scene01,RA-GCA-CGHTE,19.85,0.00012985676864483785
Scene01,RA-GCA-CGHTE,19.9,0.0001237937749182128
Scene01,RA-GCA-CGHTE,19.95,0.0001176228381912778
Scene01,RA-GCA-CGHTE,20.0,0.00011140150679990181
Scene01,RA-GCA-CGHTE,20.05,0.05065279792008453
Scene01,RA-GCA-CGHTE,20.1,0.1010751189931868
Scene01,RA-GCA-CGHTE,20.15,0.14934356462607865
Scene01,RA-GCA-CGHTE,20.2,0.19399313195218376
Scene01,RA-GCA-CGHTE,20.25,0.2339177620711126
Scene01,RA-GCA-CGHTE,20.3,0.2683371472915151
Scene01,RA-GCA-CGHTE,20.35,0.2967626094034044
Scene01,RA-GCA-CGHTE,20.4,0.3189597982438293
Scene01,RA-GCA-CGHTE,20.45,0.33491077629671234
Scene01,RA-GCA-CGHTE,20.5,0.3447777263615676
Scene01,RA-GCA-CGHTE,20.55,0.34886939799651656
Scene01,RA-GCA-CGHTE,20.6,0.3476105680880479
Scene01,RA-GCA-CGHTE,20.65,0.341514338368214
Scene01,RA-GCA-CGHTE,20.7,0.3311569435565388
Scene01,RA-GCA-CGHTE,20.75,0.31715480030541504
Scene01,RA-GCA-CGHTE,20.8,0.3001436736573744
Scene01,RA-GCA-CGHTE,20.85,0.2807600007002332
Scene01,RA-GCA-CGHTE,20.9,0.25962446647026344
Scene01,RA-GCA-CGHTE,20.95,0.23732800802018153
Scene01,RA-GCA-CGHTE,21.0,0.21442035786402733
Scene01,RA-GCA-CGHTE,21.05,0.1914012039167003
Scene01,RA-GCA-CGHTE,21.1,0.1687139385276257
Scene01,RA-GCA-CGHTE,21.15,0.14674187573083458
Scene01,RA-GCA-CGHTE,21.2,0.12580677417037694
Scene01,RA-GCA-CGHTE,21.25,0.10616943921644287
Scene01,RA-GCA-CGHTE,21.3,0.08803223923029273
Scene01,RA-GCA-CGHTE,21.35,0.0715434516866369
Scene01,RA-GCA-CGHTE,21.4,0.056803629932029955
Scene01,RA-GCA-CGHTE,21.45,0.04387482863672115
Scene01,RA-GCA-CGHTE,21.5,0.03279506523772526
Scene01,RA-GCA-CGHTE,21.55,0.023604293070798223
Scene01,RA-GCA-CGHTE,21.6,0.016396414173547487
Scene01,RA-GCA-CGHTE,21.65,0.011407725694098038
Scene01,RA-GCA-CGHTE,21.7,0.008963083845536339
Scene01,RA-GCA-CGHTE,21.75,0.008735934420055025
Scene01,RA-GCA-CGHTE,21.8,0.009471746916832724
Scene01,RA-GCA-CGHTE,21.85,0.010190860396832289
Scene01,RA-GCA-CGHTE,21.9,0.010522284010594707
Scene01,RA-GCA-CGHTE,21.95,0.010402188408853008
Scene01,RA-GCA-CGHTE,22.0,0.009889698901852801
Scene01,RA-GCA-CGHTE,22.05,0.00909818661764499
Scene01,RA-GCA-CGHTE,22.1,0.008173605887864855
Scene01,RA-GCA-CGHTE,22.15,0.007290193915340197
Scene01,RA-GCA-CGHTE,22.2,0.006642048989136817
Scene01,RA-GCA-CGHTE,22.25,0.006398263220951547
Scene01,RA-GCA-CGHTE,22.3,0.006616152336348636
Scene01,RA-GCA-CGHTE,22.35,0.007205445554275243
Scene01,RA-GCA-CGHTE,22.4,0.00800363327618417
Scene01,RA-GCA-CGHTE,22.45,0.008862653028263268
Scene01,RA-GCA-CGHTE,22.5,0.009677918487633663
Scene01,RA-GCA-CGHTE,22.55,0.010383421008558748
Scene01,RA-GCA-CGHTE,22.6,0.01094068791574801
Scene01,RA-GCA-CGHTE,22.65,0.011330145521081546
Scene01,RA-GCA-CGHTE,22.7,0.011545333313987653
Scene01,RA-GCA-CGHTE,22.75,0.011589090135264437
Scene01,RA-GCA-CGHTE,22.8,0.011470892476834164
Scene01,RA-GCA-CGHTE,22.85,0.011204896416476609
Scene01,RA-GCA-CGHTE,22.9,0.010808425753622286
