time_s,reference_correction_max_m,reference_correction_rms_m,pp_cbf_active,hocbf_residual,projection_correction_mps2,infeasible,output_hold,minimum_pairwise_distance_m,project_evaluation_distance_m
33.57,0.3070281526808621,0.2506874369124794,0.0,2.877144139837072,0.0,0.0,0.0,1.079373261020607,0.6
33.58,0.30672693109900395,0.2504414905207906,0.0,2.8780154685470194,0.0,0.0,0.0,1.0795701826702297,0.6
33.59,0.3064259817066437,0.2501957663708962,0.0,2.878886036743551,0.0,0.0,0.0,1.0797669287670015,0.6
33.6,0.30612530437674584,0.24995026435907206,0.0,2.879755841207942,0.0,0.0,0.0,1.0799634987544735,0.6
33.61,0.30582489898167514,0.24970498438110472,0.0,2.8806249788403764,0.0,0.0,0.0,1.08015991368693,0.6
33.62,0.30552476539320284,0.24945992633229558,0.0,2.8814932378109086,0.0,0.0,0.0,1.0803561273431934,0.6
33.63,0.3052249034825094,0.2492150901074639,0.0,2.882360728873764,0.0,0.0,0.0,1.080552163834716,0.6
33.64,0.3049253131201896,0.2489704756009509,0.0,2.8832274749153486,0.0,0.0,0.0,1.0807480282907516,0.6
33.65,0.3046259941762557,0.24872608270662194,0.0,2.8840934393818847,0.0,0.0,0.0,1.0809437127412254,0.6
33.660000000000004,0.30432694652014286,0.2484819113178713,0.0,2.8849586320857417,0.0,0.0,0.0,1.0811392192722005,0.6
33.67,0.3040281700207123,0.2482379613276248,0.0,2.8858231734362567,0.0,0.0,0.0,1.0813345740838725,0.6
33.68,0.30372966454625566,0.24799423262834272,0.0,2.8866868380817667,0.0,0.0,0.0,1.081529727990516,0.6
33.69,0.30343142996449923,0.24775072511202417,0.0,2.887549747376127,0.0,0.0,0.0,1.0817247074114233,0.6
33.7,0.3031334661426077,0.24750743867020963,0.0,2.8884118942324823,0.0,0.0,0.0,1.0819195109502997,0.6
33.71,0.3028357729471889,0.24726437319398467,0.0,2.889273379549196,0.0,0.0,0.0,1.0821141605654985,0.6
33.72,0.3025383502442964,0.24702152857398266,0.0,2.8901339913302575,0.0,0.0,0.0,1.0823086099384043,0.6
33.730000000000004,0.30224119789943493,0.24677890470038868,0.0,2.8909938398071313,0.0,0.0,0.0,1.0825028830955092,0.6
33.74,0.3019443157775638,0.2465365014629423,0.0,2.8918529457016007,0.0,0.0,0.0,1.0826969847083547,0.6
33.75,0.30164770374310074,0.2462943187509412,0.0,2.8927112757978666,0.0,0.0,0.0,1.0828909075201623,0.6
33.76,0.3013513616599257,0.24605235645324378,0.0,2.893568838027087,0.0,0.0,0.0,1.0830846532145384,0.6
33.77,0.30105528939138543,0.24581061445827312,0.0,2.8944257519966667,0.0,0.0,0.0,1.0832782478525333,0.6
33.78,0.3007594868002963,0.24556909265401924,0.0,2.8952817945909826,0.0,0.0,0.0,1.0834716426690818,0.6
33.79,0.3004639537489494,0.24532779092804344,0.0,2.8961370854183635,0.0,0.0,0.0,1.083664863742527,0.6
33.8,0.3001686900991133,0.24508670916747996,0.0,2.8969916187223035,0.0,0.0,0.0,1.0838579099637202,0.6
33.81,0.29987369571203826,0.24484584725904035,0.0,2.8978454937201064,0.0,0.0,0.0,1.084050802956873,0.6
33.82,0.29957897044846055,0.24460520508901615,0.0,2.8986985004267725,0.0,0.0,0.0,1.0842434967769612,0.6
33.83,0.29928451416860535,0.24436478254328164,0.0,2.899550747263581,0.0,0.0,0.0,1.084436015094445,0.6
33.84,0.29899032673219095,0.2441245795072974,0.0,2.9004022565796794,0.0,0.0,0.0,1.0846283629364122,0.6
33.85,0.2986964079984328,0.24388459586611322,0.0,2.9012529944427525,0.0,0.0,0.0,1.0848205328860532,0.6
33.86,0.29840275782604636,0.24364483150437088,0.0,2.902102968190409,0.0,0.0,0.0,1.085012526501085,0.6
33.87,0.29810937607325183,0.2434052863063076,0.0,2.902952297664695,0.0,0.0,0.0,1.085204369925665,0.6
33.88,0.29781626259777694,0.24316596015575853,0.0,2.903800760976196,0.0,0.0,0.0,1.0853960146037955,0.6
33.89,0.29752341725686143,0.24292685293616037,0.0,2.9046484763835902,0.0,0.0,0.0,1.085587486348783,0.6
33.9,0.29723083990725996,0.24268796453055377,0.0,2.905495439007108,0.0,0.0,0.0,1.0857787842449647,0.6
33.910000000000004,0.2969385304052459,0.24244929482158664,0.0,2.9063417468089656,0.0,0.0,0.0,1.085969929670547,0.6
33.92,0.2966464886066154,0.24221084369151685,0.0,2.907187191570629,0.0,0.0,0.0,1.086160877013051,0.6
33.93,0.2963547143666906,0.2419726110222154,0.0,2.908031880496077,0.0,0.0,0.0,1.0863516497033001,0.6
33.94,0.296063207540323,0.24173459669516917,0.0,2.9088758362566436,0.0,0.0,0.0,1.0865422528448845,0.6
33.95,0.2957719679818973,0.24149680059148373,0.0,2.9097190253333323,0.0,0.0,0.0,1.0867326791069263,0.6
33.96,0.2954809955453353,0.24125922259188667,0.0,2.910561454198938,0.0,0.0,0.0,1.0869229298564735,0.6
