axis,time_s,reference_m,response_m,raw_sha256
X,8.81,0.0,1.9534509414045e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.82,0.0,1.93802271078454e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.83,0.0,1.92242075364675e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.84,0.0,1.90664844914e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.85,0.0,1.89070917641316e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.86,0.0,1.8746063146151e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.87,0.0,1.85834324289468e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.88,0.0,1.84192334040078e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.89,0.0,1.82532905160477e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.9,0.0,1.80856695740627e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.91,0.0,1.79165361119215e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.92,0.0,1.77459214850098e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.93,0.0,1.75738569955841e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.94,0.0,1.74003738927726e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.95,0.0,1.72255033725745e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.96,0.0,1.70492765778604e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.97,0.0,1.6871724598372e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
X,8.98,0.0,1.66928784707225e-10,E47015E640592CD88AC831E732742867DF5AD3A7918D63F24C64D5ED574C725F
