time_s,pp_cbf_off_minimum_distance_m,pp_cbf_on_minimum_distance_m,project_evaluation_distance_m,pp_cbf_off_cumulative_exposure_s,pp_cbf_on_cumulative_exposure_s
35.19,1.2806248216841916,1.1090313712879925,0.6,2.040000000000001,0.0
35.2,1.2806248220282204,1.1092008743605597,0.6,2.040000000000001,0.0
35.21,1.28062482236903,1.1093702315973621,0.6,2.040000000000001,0.0
35.22,1.2806248227066486,1.1095394080116872,0.6,2.040000000000001,0.0
35.230000000000004,1.2806248230411028,1.1097084297446598,0.6,2.040000000000001,0.0
35.24,1.2806248233724162,1.1098772889265176,0.6,2.040000000000001,0.0
35.25,1.2806248237006088,1.110045989966883,0.6,2.040000000000001,0.0
35.26,1.280624824025699,1.110214531940177,0.6,2.040000000000001,0.0
35.27,1.2806248243477025,1.1103829110791275,0.6,2.040000000000001,0.0
35.28,1.2806248246666323,1.1105511526900484,0.6,2.040000000000001,0.0
35.29,1.2806248249824994,1.1107192182272898,0.6,2.040000000000001,0.0
35.300000000000004,1.2806248252953132,1.1108871208131144,0.6,2.040000000000001,0.0
35.31,1.2806248256050807,1.1110548807179659,0.6,2.040000000000001,0.0
35.32,1.2806248259118076,1.1112224821732462,0.6,2.040000000000001,0.0
35.33,1.280624826215498,1.1113899060250898,0.6,2.040000000000001,0.0
35.34,1.2806248265161546,1.111557192407091,0.6,2.040000000000001,0.0
35.35,1.280624826813778,1.1117243047604464,0.6,2.040000000000001,0.0
35.36,1.2806248271083696,1.111891273721192,0.6,2.040000000000001,0.0
35.37,1.2806248273999277,1.1120580654925705,0.6,2.040000000000001,0.0
35.38,1.2806248276884504,1.112224716385972,0.6,2.040000000000001,0.0
35.39,1.2806248279739356,1.112391208849733,0.6,2.040000000000001,0.0
35.4,1.28062482825638,1.1125575267570809,0.6,2.040000000000001,0.0
35.410000000000004,1.2806248285357795,1.112723701102356,0.6,2.040000000000001,0.0
35.42,1.2806248288121307,1.1128896973578724,0.6,2.040000000000001,0.0
35.43,1.2806248290854285,1.113055541012145,0.6,2.040000000000001,0.0
35.44,1.2806248293556688,1.1132212247238211,0.6,2.040000000000001,0.0
35.45,1.2806248296228464,1.1133867525325936,0.6,2.040000000000001,0.0
35.46,1.280624829886957,1.1135521236357904,0.6,2.040000000000001,0.0
35.47,1.2806248301479952,1.1137173345287597,0.6,2.040000000000001,0.0
35.480000000000004,1.2806248304059573,1.1138824097875013,0.6,2.040000000000001,0.0
35.49,1.280624830660839,1.114047311547291,0.6,2.040000000000001,0.0
35.5,1.280624830912636,1.114212052704261,0.6,2.040000000000001,0.0
35.51,1.2806248311613453,1.1143766356495801,0.6,2.040000000000001,0.0
35.52,1.280624831406964,1.114541062761578,0.6,2.040000000000001,0.0
35.53,1.2806248316494893,1.114705354047911,0.6,2.040000000000001,0.0
35.54,1.2806248318889197,1.1148694729755309,0.6,2.040000000000001,0.0
35.550000000000004,1.2806248321252545,1.1150334318958746,0.6,2.040000000000001,0.0
35.56,1.2806248323584934,1.1151972540982003,0.6,2.040000000000001,0.0
35.57,1.280624832588637,1.1153609179299413,0.6,2.040000000000001,0.0
35.58,1.2806248328156866,1.1155244062767722,0.6,2.040000000000001,0.0
35.59,1.2806248330396444,1.1156877384819495,0.6,2.040000000000001,0.0
35.6,1.2806248332605141,1.1158509160724912,0.6,2.040000000000001,0.0
35.61,1.2806248334783,1.1160139398972988,0.6,2.040000000000001,0.0
35.62,1.2806248336930073,1.1161768069999225,0.6,2.040000000000001,0.0
