time,referenceVector[3],quadChassisTest17_1.body.r_0[3],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],max_motor_q,q_domain_usage_percent
12.9,1.5,1.4994955411373263,1.1109528373205948,1.1109528373205948,1.0,-0.000931280721101,3600.0,222.3011367889837,6.17503157747177
12.95,1.5,1.4994975673331137,1.1109535824160548,1.1109535824160548,1.0,-0.0009268952655825,3600.0,222.30112773466266,6.175031325962852
13.0,1.5,1.499499609723306,1.1109543221030134,1.1109543221030134,1.0,-0.0009225421802277,3600.0,222.30111777175637,6.1750310492154545
13.05,1.5,1.4995016672014656,1.1109550564427093,1.1109550564427093,1.0,-0.0009182207947322,3600.0,222.30110709459788,6.175030752627719
13.1,1.5,1.4995037385878145,1.1109557854955134,1.1109557854955134,1.0,-0.0009139307185692,3600.0,222.30109588894152,6.175030441359487
13.15,1.5,1.4995058226459073,1.110956509320698,1.110956509320698,1.0,-0.0009096716279755,3600.0,222.3010843079418,6.175030119665051
13.2,1.5,1.499507918099022,1.1109572279766735,1.1109572279766735,1.0,-0.0009054432179563,3600.0,222.30107249660134,6.17502979157226
13.25,1.5,1.4995100236445598,1.110957941521016,1.110957941521016,1.0,-0.0009012449994528,3600.0,222.30106058261515,6.175029460628198
13.3,1.5,1.4995121379674954,1.110958650010352,1.110958650010352,1.0,-0.0008970765606262,3600.0,222.30104866780172,6.1750291296611595
13.35,1.5,1.4995142597530675,1.1109593535002644,1.1109593535002644,1.0,-0.0008929378091729,3600.0,222.30103684373125,6.175028801214758
13.4,1.5,1.4995163876963318,1.110960052045821,1.110960052045821,1.0,-0.0008888280350612,3600.0,222.3010251987144,6.175028477742067
13.45,1.5,1.499518520511971,1.110960745700917,1.110960745700917,1.0,-0.0008847473742512,3600.0,222.30101380421272,6.175028161228131
13.5,1.5,1.4995206569412145,1.110961434518992,1.110961434518992,1.0,-0.0008806950726694,3600.0,222.30100271920472,6.175027853311243
13.55,1.5,1.499522795759286,1.110962118552349,1.110962118552349,1.0,-0.0008766710581434,3600.0,222.30099199646767,6.175027555457436
13.6,1.5,1.499524935780749,1.1109627978526548,1.1109627978526548,1.0,-0.000872675168607,3600.0,222.3009816619468,6.175027268387411
13.65,1.5,1.4995270758636423,1.1109634724708968,1.1109634724708968,1.0,-0.0008687065203814,3600.0,222.3009717640267,6.1750269934451865
13.7,1.5,1.4995292149140296,1.1109641424570262,1.1109641424570262,1.0,-0.0008647652936508,3600.0,222.30096231941772,6.1750267310949365
13.75,1.5,1.4995313518882076,1.1109648078604806,1.1109648078604806,1.0,-0.0008608509233238,3600.0,222.30095335329415,6.175026482035948
13.8,1.5,1.4995334857949898,1.110965468729975,1.110965468729975,1.0,-0.0008569634168166,3600.0,222.30094486531686,6.175026246258802
13.85,1.5,1.4995356156968245,1.1109661251134275,1.1109661251134275,1.0,-0.0008531022600889,3600.0,222.30093687117744,6.175026024199373
13.9,1.5,1.4995377407108692,1.1109667770580811,1.1109667770580811,1.0,-0.0008492671025669,3600.0,222.30092937861346,6.175025816072597
13.95,1.5,1.4995398599997083,1.1109674246103924,1.1109674246103924,1.0,-0.0008454580843764,3600.0,222.30092237494722,6.175025621526312
14.0,1.5,1.4995419727818304,1.1109680678163685,1.1109680678163685,1.0,-0.0008416743564256,3600.0,222.30091586463593,6.1750254406843315
14.05,1.5,1.499544078333415,1.1109687067212022,1.1109687067212022,1.0,-0.0008379159576552,3600.0,222.3009098380548,6.1750252732793
14.1,1.5,1.499546175984222,1.1109693413694033,1.1109693413694033,1.0,-0.0008341827509372,3600.0,222.3009042828383,6.1750251189677305
14.15,1.5,1.499548265116048,1.1109699718049753,1.1109699718049753,1.0,-0.0008304741185981,3600.0,222.30089919025517,6.175024977507087
14.2,1.5,1.499550345161906,1.1109705980711766,1.1109705980711766,1.0,-0.0008267900979888,3600.0,222.30089454365944,6.175024848434985
14.25,1.5,1.4995524156040752,1.11097122021072,1.11097122021072,1.0,-0.0008231302400049,3600.0,222.30089032635982,6.175024731287772
14.3,1.5,1.4995544759726354,1.1109718382656724,1.1109718382656724,1.0,-0.0008194944382027,3600.0,222.3008865248122,6.175024625689228
14.35,1.5,1.4995565258481736,1.110972452277543,1.110972452277543,1.0,-0.0008158823792655,3600.0,222.30088311834038,6.175024531065011
14.4,1.5,1.4995585648460843,1.1109730622872451,1.1109730622872451,1.0,-0.0008122938729956,3600.0,222.30088008893216,6.175024446914782
14.45,1.5,1.499560592627865,1.1109736683351297,1.1109736683351297,1.0,-0.0008087286069399,3600.0,222.30087741844454,6.175024372734571
14.5,1.5,1.4995626088948064,1.1109742704609868,1.1109742704609868,1.0,-0.0008051864122581,3600.0,222.3008750883133,6.175024308008703
14.55,1.5,1.499564613175727,1.1109748687040204,1.1109748687040204,1.0,-0.000801667025608,3600.0,222.30087309169932,6.175024252547203
14.6,1.5,1.4995666054590877,1.1109754631029822,1.1109754631029822,1.0,-0.0007981702406379,3600.0,222.30087139540947,6.175024205428041
14.65,1.5,1.4995685855596814,1.110976053695997,1.110976053695997,1.0,-0.000794695760194,3600.0,222.30086997782547,6.175024166050707
14.7,1.5,1.4995705533252237,1.1109766405206944,1.1109766405206944,1.0,-0.0007912434647128,3600.0,222.3008688224062,6.175024133955728
14.75,1.5,1.4995725086489946,1.110977223614203,1.110977223614203,1.0,-0.0007878131413251,3600.0,222.30086790809608,6.175024108558224
14.8,1.5,1.4995744514440577,1.110977803013164,1.110977803013164,1.0,-0.0007844043986966,3600.0,222.30086721824424,6.175024089395674
14.85,1.5,1.4995763816199996,1.11097837875365,1.11097837875365,1.0,-0.0007810172362508,3600.0,222.3008667340987,6.175024075947185
14.9,1.5,1.4995782990556006,1.1109789508713508,1.1109789508713508,1.0,-0.0007776513047277,3600.0,222.30086644731344,6.175024067980929
14.95,1.5,1.4995802038184445,1.11097951940141,1.11097951940141,1.0,-0.0007743065503597,3600.0,222.30086633300087,6.17502406480558
15.0,1.5,1.499582095802575,1.1109800843785045,1.1109800843785045,1.0,-0.0007709825886536,3600.0,222.3008663807994,6.175024066133316
15.05,1.5,1.4995839750613598,1.1109806458368574,1.1109806458368574,1.0,-0.0007676793270264,3600.0,222.30086657592335,6.175024071553427
15.1,1.5,1.4995858417063197,1.1109812038102238,1.1109812038102238,1.0,-0.0007643965566861,3600.0,222.30086689790204,6.17502408049728
15.15,1.5,1.4995876954493794,1.1109817583320032,1.1109817583320032,1.0,-0.0007611341530445,3600.0,222.30086735496803,6.1750240931935565
15.2,1.5,1.4995895365428489,1.1109823094350029,1.1109823094350029,1.0,-0.0007578917001965,3600.0,222.30086792035706,6.175024108898807
15.25,1.5,1.4995913650686918,1.1109828571516542,1.1109828571516542,1.0,-0.0007546692555109,3600.0,222.30086858154144,6.17502412726504
15.3,1.5,1.4995931810963945,1.1109834015140316,1.1109834015140316,1.0,-0.0007514664580561,3600.0,222.30086932576472,6.175024147937909
15.35,1.5,1.4995949847048118,1.1109839425536976,1.1109839425536976,1.0,-0.0007482831924177,3600.0,222.30087014617234,6.17502417072701
15.4,1.5,1.499596775951985,1.1109844803018714,1.1109844803018714,1.0,-0.0007451193653802,3600.0,222.30087103144567,6.175024195317936
15.45,1.5,1.4995985549097406,1.1109850147893416,1.1109850147893416,1.0,-0.0007419746520518,3600.0,222.300871976469,6.175024221568584
15.5,1.5,1.4996003217238207,1.1109855460464857,1.1109855460464857,1.0,-0.0007388489351601,3600.0,222.30087297137527,6.175024249204869
15.55,1.5,1.499602076504842,1.1109860741032933,1.1109860741032933,1.0,-0.0007357420260962,3600.0,222.30087400684812,6.175024277968004
15.6,1.5,1.4996038193676615,1.1109865989893726,1.1109865989893726,1.0,-0.0007326537678964,3600.0,222.30087507645212,6.175024307679225
15.65,1.5,1.499605550430663,1.1109871207339574,1.1109871207339574,1.0,-0.0007295839489905,3600.0,222.30087617421512,6.175024338172642
15.7,1.5,1.499607269815162,1.1109876393658995,1.1109876393658995,1.0,-0.0007265324678768,3600.0,222.30087729262544,6.175024369239596
15.75,1.5,1.499608977644755,1.1109881549136886,1.1109881549136886,1.0,-0.0007234991094389,3600.0,222.30087842694832,6.175024400748565
15.8,1.5,1.4996106740448254,1.1109886674054437,1.1109886674054437,1.0,-0.0007204837343257,3600.0,222.30087957341118,6.175024432594755
15.85,1.5,1.4996123591419812,1.1109891768689433,1.1109891768689433,1.0,-0.0007174861468634,3600.0,222.3008807271423,6.175024464642841
15.9,1.5,1.499614033063616,1.1109896833315982,1.1109896833315982,1.0,-0.0007145062075917,3600.0,222.3008818837571,6.17502449677103
15.95,1.5,1.4996156959374538,1.1109901868204897,1.1109901868204897,1.0,-0.0007115437753366,3600.0,222.30088304002413,6.175024528889559
16.0,1.5,1.499617347891166,1.1109906873623565,1.1109906873623565,1.0,-0.0007085986859843,3600.0,222.3008841941501,6.175024560948613
